ID	QUESTION	ANSWER	CHOICES	LLM_Answers
1001	तृणधान्यम् कस्य पर्यायः अस्ति	क्षुद्रधान्यम्	क्षुद्रधान्यम् / धान्यम् / शाकम् / व्रीहिधान्यम्	"धान्यम् 

तृणधान्यम् इति शब्दः सर्वेषानां धान्यानां कृते प्रयुक्तः भवति; तृणधान्यस्य पर्यायः क्षुद्रधान्यम्; धान्यम् 

तृणधान्यम् इति पदं सर्वविधधान्यानां सङ्ग्रहवाची शब्दः अस्ति; question तृणधान्यम् कस्य पर्यायः अस्ति choices क्षुद्रधान्यम्  धान्यम्  शाकम्  व्रीहिधान्यम्; क्षुद्रधान्यस्य; answer क्षुद्रधान्यम् answer क्षुद्रधान्यम्; धान्यम्; क्षुद्रधान्यम्; तृणधान्यम् कस्य पर्यायः अस्ति

धान्यम्"
1002	कृष्णतण्डुलः कस्य पर्यायः अस्ति ? 	शालामुखः	कृष्णः / जतुमुखः / व्रीहि / शालामुखः	"शालामुखः; शालामुखः

कथम्

यतः शालिधान्यानां मुखे कृष्णवर्णः भवति; शालामुखः  शालिधान्यस्य मुखे कृष्णवर्णत्वात्; कृष्णः; कृष्णतण्डुलः जतुमुखः पर्यायः अस्ति; question कृष्णतण्डुलः कस्य पर्यायः अस्ति   choices कृष्णः  जतुमुखः  व्रीहि  शालामुखः; कृष्णतण्डुलः कृष्णस्य पर्यायः अस्ति; जतुमुखः; कृष्णतण्डुलः कस्य पर्यायः अस्ति 

व्रीहिः; व्रीहि; तण्डुलः; शालामुखः

कथम् 

कृष्णतण्डुलः शालिधान्यस्य अन्यत् नाम अस्ति शालिधान्यस्य मुखं कृष्णवर्णीयं भवति अतः एतस्य नाम शालाम; शालामुखस्य"
1003	वनमुद्गः कस्य पर्यायः ? 	मकुष्ठकः	मुद्गः / माषः / क्षुद्रधान्यम् / मकुष्ठकः	"माषः; answer माषः answer माषः; मकुष्ठकः; मकुष्ठकः 

वनमुद्गः मकुष्ठकस्य पर्यायः अस्ति; मकुष्ठकस्य; मकुष्ठकः 

वनमुद्गः मकुष्ठकस्य पर्यायः यतः उभौ अपि वने भवन्ति ; question वनमुद्गः कस्य पर्यायः   choices मुद्गः  माषः  क्षुद्रधान्यम्  मकुष्ठकः; मुद्गः; मकुष्ठकः  मकुष्ठकाः वने जायन्ते"
1004	शालिधान्यस्य प्रकाराः के सन्ति	रक्तशालिः + कलमः + पाण्डुकः + शकुनाहृतः + सुगन्धकः + कर्दमकः + महाशालिः + दूषकः + पुष्पाण्डकः + पुण्डरीकः + महिषमस्तकः + दीर्घशूकः + काञ्चनकः + हायनः + लोध्रपुष्पक		"शालिधान्यस्य प्रकाराः बहवः सन्ति तेषु प्रमुखाः 

1 रक्तशालिः
2 श्वेतशालिः; शालि; शालिधान्यस्य प्रकाराः सन्ति  तण्डुलः यवः गोधूमः चणकः माषः तिलः प्रियङ्गुः कोद्रवः वरकः राज; षड्विधाः; शालिधान्यस्य प्रकाराः सन्ति  तण्डुलः यवः गोधूमः चणकः माषः तिलः प्रियङ्गुः कोद्रवः वरकः उर; रक्तशालिः कर्दमकः दूषकः; शालिधान्यस्य प्रकाराः सन्ति  तण्डुलः यवः गोधूमः चणकः माषः तिलः प्रियङ्गुः कोद्रवः वरकः उड; शालिधान्यस्य प्रकाराः

शाल्यः रक्तशाल्यः व्रीहयः षष्टिकाः यवादिकम् शूकधान्यम् मुद्गादिकम् शिम्बिधान्यकम् कङ्ग्वादिक; शालिधान्यस्य प्रकाराः के सन्ति इति प्रश्नस्य उत्तरं षड्विधाः; शालिधान्यस्य प्रकाराः बहवः सन्ति; पुण्डरीक महाशालि महिषमस्तक; शालिधान्यस्य प्रकाराः बहवः सन्ति तेषु प्रमुखाः

1 रक्तशालि
2 श्वेतशालि
3; धान्याः; question शालिधान्यस्य प्रकाराः के सन्ति answer शालिधान्यस्य प्रकाराः सन्ति  रक्तशाल्याद्याः षष्टिकादयः यवाद; धान्यम्; रक्तशाल्याद्या; षण्णवतिः; विविधाः; बहवः; क्षमस्व रामायणसम्बद्धः प्रश्नोऽयं न भवति शालिधान्यस्य प्रकारविषये प्रश्नोऽय; रक्तशाल्यादयः; नानाविधाः; तण्डुलः; शालिधान्यस्य प्रकाराः अनेके सन्ति; प्रश्नस्य उत्तरं दातुं न शक्नोमि यतः सन्दर्भेषु शालिधान्यस्य प्रकाराणां विषये स्; शालिधान्यस्य प्रकाराः रक्तशालिः दीर्घशूकः सुगन्धकश्च सन्ति; question शालिधान्यस्य प्रकाराः के सन्ति answer शालिधान्यस्य प्रकाराः शालि व्रीहिः यवः गोधूमः कोद्रवः उर; नानाविधानाः; तण्डुलाः; षष्टिकादयः; question शालिधान्यस्य प्रकाराः के सन्ति answer शालिधान्यस्य प्रकाराः त्रिविधाः सन्ति  ते  शालिः व्रीहिः य; षष्टी धान्यप्रकाराः; क्षमस्व अत्र शालिधान्यप्रकाराणां विषये स्पष्टं किमपि न दृश्यते दत्तसन्दर्भेषु श; कुनटी धेनुका छत्रा कुस्तुम्बुरु वितुन्नकम्; चत्वारः; षष्टधा  शालिधान्यस्य षट् भेदाः भवन्ति; शालिधान्यस्य प्रकाराः षट् सन्ति"
1005	धान्यस्य कति प्रकाराः उक्ताः	पञ्च		रामायणे धान्यस्य प्रकाराणां विषये विशेषतः उल्लेखः न दृश्यते रामायणं मुख्यतया रामस्य जीव; रामायणे धान्यस्य प्रकाराणां विषये विशेषोल्लेखो न दृश्यते रामायणं मुख्यतया रामकथां वर्ण; षट्; त्रयः; षड्; धान्यस्य त्रयः प्रकाराः उक्ताः; question धान्यस्य कति प्रकाराः उक्ताः answer धान्यस्य द्वौ प्रकारौ उक्तौ  शूकधान्यं फलधान्यं च question धान; षट्   षड्विधा धान्यानि; पञ्च; अष्टौ; चत्वारः; सप्त; अष्टादश; धान्यस्य प्रकाराः नाना; रामायणे धान्यस्य विषये विशेषतः उल्लेखः न दृश्यते तथापि सामान्यतया प्राचीन भारतीय साहित्
1006	धान्यस्य के प्रकाराः उक्ताः	शालिधान्यम् + व्रीहिधान्यम् + शूकधान्यम् + शिम्बिधान्यम् + क्षुद्रधान्यम्		शालिः यवः मुद्गः माषः तिलः; रामायणस्य कथायाम् धान्यस्य प्रकाराः न वर्णिताः रामायणं महाकाव्यम् अस्ति यत्र मुख्; रामायणे धान्यस्य प्रकाराः विशेषतया न वर्णिताः रामायणं मुख्यतया रामस्य जीवनकथां वर्णयति; षट्; धान्यकं धानकं धान्यं धाना धानेयकं कुनटी धेनुका छत्रा कुस्तुम्बुरु वितुन्नकम्; धान्यस्य प्रकाराः शालि व्रीहि शूक शिम्बी क्षुद्र; जीरकत्रितयम्; धान्यकं धानकं धान्यं धाना धानेयकं तथा; क्षुद्रधान्याः शिम्बिधान्याः शूकधान्याः; धान्यस्य प्रकाराः न उक्ताः; रामायणे धान्यस्य विशिष्टाः प्रकाराः न वर्णिताः रामायणं मुख्यतः महाकाव्यम् अस्ति य; पञ्चधा; धान्यस्य सात् प्रकाराः उक्ताः सन्ति; शालिः यवः गोधूमः माषः चणकः मुद्गः तिलः प्रियङ्गुः कोद्रवः उर्वरुकः श्यामाकः नीवारः वर; धान्यस्य प्रकाराः अष्टौ उक्ताः; धान्यकम्; धान्यस्य प्रकाराः क्षुद्रधान्य शिम्बिधान्य शूकधान्य उक्ताः; शूकधान्यम् शिम्बिधान्यम् क्षुद्रधान्यम् च; question धान्यस्य के प्रकाराः उक्ताः answer धान्यकं धानकं धान्यं धाना धानेयकं तथा कुनटी धेनुका छत्रा कुस्तुम्ब; धान्यस्य प्रकाराः शालिधान्यं व्रीहिधान्यं शूकधान्यं शिम्बीधान्यं क्षुद्रधान्यम्; धान्याः; शष्कुली; धान्यम्; पञ्च; धान्यानि; धान्यस्य यवः गोधूमः तिलः शालिः इति; मण्ठः; धान्यस्य प्रकाराः उक्ताः नहि
1007	शालामुखः कस्य प्रकारः अस्ति? 	व्रीहिधान्यम्	शालिधान्यम् / व्रीहिधान्यम् / शूकधान्यम् / शिम्बिधान्यम्	"व्रीहिधान्यम्; शालिधान्यम् 

शालिधान्यम् इति नाम शाल्मले मुखस्य सादृश्यात्; शालामुखः शूकधान्यम्; व्रीहिधान्यम्  शालिः नाम धान्यविशेषः तत् व्रीहिधान्यम् एव; शूकधान्यम्; व्रीहिधान्यम्  यतः रामायणे स्पष्टम् उक्तं यत् शालिः व्रीहिः इति; शालिधान्यम्; शिम्बिधान्यम्"
1008	मुद्गस्य कति भेदाः उक्ताः? 	पञ्च		"त्रयः

मुद्गस्य त्रयो भेदाः उक्ताः  रक्तमुद्गः श्वेतमुद्गः पीतकमुद्गश्च; सप्त  मुद्गस्य सप्त भेदाः उक्ताः; द्वौ; रामायणे मुद्गस्य भेदाः विशेषतया न वर्णिताः रामायणं मुख्यतया रामकथाप्रधानं महाकाव्; त्रयः; question मुद्गस्य कति भेदाः उक्ताः  answer पञ्च question मुद्गस्य कति भेदाः उक्ताः  answer पञ्च; द्वौ

मुद्गपर्णी काकपर्णी इति द्वौ भेदौ उक्तौ; पञ्च; मुद्गस्य त्रयः भेदाः उक्ताः; question मुद्गस्य कति भेदाः उक्ताः  answer द्वौ question मुद्गस्य कति भेदाः उक्ताः  answer द्वौ; रामायणे मुद्गस्य भेदाः विशेषतया न वर्णिताः रामायणं मुख्यतया रामस्य चरितं वर्णयति न तु; चत्वारः; दश; नव"
1009	दग्धमृत्-जात-शाली शाली च अनयोः को भेदः?	शालिः स्निग्धा अस्ति, दग्धमृज्जातशालिः रूक्षा		"दग्धमृत्जातशाली च साधारणशाली च अनयोः मुख्यः भेदः उत्पत्तिप्रक्रियायाम् अस्; दग्धमृत्जातशाली रूक्षः; दग्धमृत्जातशाली ज्वलितमृत्तिकायां जातः
शाली सामान्यतः भूमौ उत्पन्नः धान्यः; पाकः; भेदः नास्ति; दग्धमृत्जातशाली अयोध्यायाः राजा दशरथः अस्ति शाली तु धान्यविशेषः अस्ति; रसः; भेदः; कषायः; दग्धमृत्जातशालीः → नष्टः

शालीः → जीवन्; कषाया; दग्धमृत्जातशाली शाली च अनयोः को भेदः; दग्धमृज्जाताः शालयः कषायाः लघुपाकिनः सृष्टमूत्रपुरीषाः रूक्षाः श्लेष्मापकर; रूक्षः; जीवन्तः; दग्धमृत्जातशाली; दग्धमृत्जातशालीः; दग्धमृत्जातशाली शाली च अनयोः भेदः अस्ति; दग्धमृत्जातशाली शाली च अनयोः भेदः कषायत्वम्; दग्धमृत्जातशालीः अपचयः; दग्धमृत्जातशाली शाली च अनयोः भेदः नास्ति; दग्धमृत्जातशाली शाली च अनयोः को भेदः

उत्तरम् दग्धमृत्जातशाली शाली च अनयोः भेदः नास्ति; दग्धमृत्जातशाली अग्निना दग्धभूमौ उत्पन्नः शालिः भवति सामान्यः शालिः तु केवलं स; दग्धमृत्जातशाली गोधूम; दग्धमृत्जातशालिः नूतनधान्यम् अस्ति शाली तु पुरातनधान्यम्; उत्तरम् दग्धमृत्जातशालिः विशेषप्रक्रियया उत्पादितः सामान्यशालिस्तु प्राकृतिकरूपेण कृषितः; यद्यपि उभौ अपि दग्धमृत्जाताव् एव तथापि शालिः वनस्पतिः शालिः च नाम एव भेदः; दग्धमृत्जातशाली शाली च अनयोः भेदः प्रक्रियायाम् अस्ति

दग्धमृत्जातशाली इति वि; दग्धमृत्जातशाली शाली च अनयोः को भेदः

दग्धमृत् जातश; नास्ति"
1010	शालिधान्यस्य कः प्रकारः श्रेष्ठः ? 	रक्तशालिः		"षष्टिकः; शाष्टिकः; रक्तशालिः; हायनः; सालिधान्यस्य श्रेष्ठः प्रकारः शालि; शालिधान्यस्य श्रेष्ठः प्रकारः शालपर्णी; question शालिधान्यस्य कः प्रकारः श्रेष्ठः   answer शालिधान्यस्य श्वेतः प्रकारः श्रेष्ठः  question शालिधान्यस्य कः प; षष्टिकः   षष्टिदिनानाम् अन्तरे परिपक्वः भवति इति; शालिधान्यस्य प्रकारः श्रेष्ठः नवः; षष्टिकः   यतः सः सुगन्धः सुस्वादुः सुपाच्यः च; शालिधान्यस्य श्रेष्ठः प्रकारः शालि अस्ति; question शालिधान्यस्य कः प्रकारः श्रेष्ठः   answer रक्तशालि question शालिधान्यस्य कः प्रकारः श्रेष्ठः   answer र; शालिः; नवधान्यम्; षष्टिकः   यतः सः सुगन्धः  स्वादिष्ठः  पचनार्थं च सुकरः; शालपर्णी; शालिधान्यस्य श्रेष्ठः प्रकारः शालि; शालिधान्यः; हैमन्ताः; शालिधान्यस्य श्रेष्ठः प्रकारः रक्तशालिः; सुगन्धः; महाशालिः; शालिधान्यस्य कः प्रकारः श्रेष्ठः   
 महाशालिः; हेमन्तः; question शालिधान्यस्य कः प्रकारः श्रेष्ठः   answer रक्तशालिः question शालिधान्यस्य कः प्रकारः श्रेष्ठः   answer ; शालिधान्यस्य श्रेष्ठः प्रकारः बासमती इति मन्ये बासमती तन्दुलाः सुगन्धिताः दीर्घ; नवशालिः; नव; शालेः श्रेष्ठः प्रकारः बासमती इति मन्ये बासमती तन्दुलाः सुगन्धयुक्ताः दीर्घाः"
