:START_ID,:TYPE,:END_ID,annotator,line_id,line_text,detail
3325,IS_ABSOLUTE_QUANTITY_OF,4459,3,253827,ततो दिव्यात्समुत्पन्ना सप्तजातिर्हरीतकी ५,
4460,IS_SYNONYM_OF,4459,3,253828,हरीतक्यभया पथ्या कायस्था पूतनाऽमृता,
4461,IS_SYNONYM_OF,4459,3,253828,हरीतक्यभया पथ्या कायस्था पूतनाऽमृता,
4462,IS_SYNONYM_OF,4459,3,253828,हरीतक्यभया पथ्या कायस्था पूतनाऽमृता,
4463,IS_SYNONYM_OF,4459,3,253828,हरीतक्यभया पथ्या कायस्था पूतनाऽमृता,
4464,IS_SYNONYM_OF,4459,3,253828,हरीतक्यभया पथ्या कायस्था पूतनाऽमृता,
4465,IS_SYNONYM_OF,4459,3,253829,हैमवत्यव्यथा चापि चेतकी श्रेयसी शिवा ६,
4466,IS_SYNONYM_OF,4459,3,253829,हैमवत्यव्यथा चापि चेतकी श्रेयसी शिवा ६,
4467,IS_SYNONYM_OF,4459,3,253829,हैमवत्यव्यथा चापि चेतकी श्रेयसी शिवा ६,
4468,IS_SYNONYM_OF,4459,3,253829,हैमवत्यव्यथा चापि चेतकी श्रेयसी शिवा ६,
4469,IS_SYNONYM_OF,4459,3,253829,हैमवत्यव्यथा चापि चेतकी श्रेयसी शिवा ६,
4470,IS_SYNONYM_OF,4459,3,253830,वयस्था विजया चापि जीवन्ती रोहिणीति च ७,
4471,IS_SYNONYM_OF,4459,3,253830,वयस्था विजया चापि जीवन्ती रोहिणीति च ७,
4472,IS_SYNONYM_OF,4459,3,253830,वयस्था विजया चापि जीवन्ती रोहिणीति च ७,
4473,IS_SYNONYM_OF,4459,3,253830,वयस्था विजया चापि जीवन्ती रोहिणीति च ७,
4460,IS_VARIANT_OF,4459,3,253831,विजया रोहिणी चैव पूतना चामृताऽभया,
4461,IS_VARIANT_OF,4459,3,253831,विजया रोहिणी चैव पूतना चामृताऽभया,
4464,IS_VARIANT_OF,4459,3,253831,विजया रोहिणी चैव पूतना चामृताऽभया,
4470,IS_VARIANT_OF,4459,3,253831,विजया रोहिणी चैव पूतना चामृताऽभया,
4472,IS_VARIANT_OF,4459,3,253831,विजया रोहिणी चैव पूतना चामृताऽभया,
4467,IS_VARIANT_OF,4459,3,253832,जीवन्ती चेतकी चेति पथ्यायाः सप्तजातयः ८,
