:START_ID,:TYPE,:END_ID
3325,IS_ABSOLUTE_QUANTITY_OF,4459
4460,IS_SYNONYM_OF,4459
4461,IS_SYNONYM_OF,4459
4462,IS_SYNONYM_OF,4459
4463,IS_SYNONYM_OF,4459
4464,IS_SYNONYM_OF,4459
4465,IS_SYNONYM_OF,4459
4466,IS_SYNONYM_OF,4459
4467,IS_SYNONYM_OF,4459
4468,IS_SYNONYM_OF,4459
4469,IS_SYNONYM_OF,4459
4470,IS_SYNONYM_OF,4459
4471,IS_SYNONYM_OF,4459
4472,IS_SYNONYM_OF,4459
4473,IS_SYNONYM_OF,4459
4460,IS_VARIANT_OF,4459
4461,IS_VARIANT_OF,4459
4464,IS_VARIANT_OF,4459
4470,IS_VARIANT_OF,4459
4472,IS_VARIANT_OF,4459
4467,IS_VARIANT_OF,4459
4471,IS_VARIANT_OF,4459
717,HAS_SAME_SHAPE_PROPERTY_AS,4472
3774,IS_SHAPE_PROPERTY_OF,4470
3774,IS_SHAPE_PROPERTY_OF,4472
4474,IS_SVARUUPA_PROPERTY_OF,4461
4475,IS_SIZE_PROPERTY_OF,4461
4476,IS_SVARUUPA_PROPERTY_OF,4460
4471,HAS_SAME_VARNA_PROPERTY_AS,3317
4477,IS_RUUPA_PROPERTY_OF,4464
4478,IS_RUUPA_PROPERTY_OF,4467
4479,IS_CURED_BY,4472
4480,IS_KARMA_OF,4470
4460,IS_APPROPRIATE_FOR_KALPANA,951
4461,IS_APPROPRIATE_FOR_KALPANA,4481
4184,IS_CURED_BY,4464
4479,IS_CURED_BY,4471
4467,IS_APPROPRIATE_FOR_KALPANA,4483
150,IS_VARNA_PROPERTY_OF,4484
253,IS_VARNA_PROPERTY_OF,4485
4484,IS_VARIANT_OF,4467
4485,IS_VARIANT_OF,4467
4486,IS_ABSOLUTE_QUANTITY_OF,4484
4487,IS_ABSOLUTE_QUANTITY_OF,4485
4490,IS_MANNER_OF_USE_OF,4495
4491,IS_MANNER_OF_USE_OF,4496
4492,IS_KARMA_OF,4495
4492,IS_KARMA_OF,4496
4495,IS_APPLICATION_VARIANT_OF,4465
4496,IS_APPLICATION_VARIANT_OF,4465
4418,IS_MANNER_OF_USE_OF,4498
4492,IS_KARMA_OF,4497
4492,IS_KARMA_OF,4498
4493,IS_MANNER_OF_USE_OF,4497
4497,IS_APPLICATION_VARIANT_OF,4465
4498,IS_APPLICATION_VARIANT_OF,4465
4499,IS_APPLICATION_VARIANT_OF,4467
4492,IS_EFFECT_PROPERTY_OF,4499
4500,IS_BENEFITTED_BY,4467
4501,IS_BENEFITTED_BY,4467
4502,IS_BENEFITTED_BY,4467
4503,IS_BENEFITTED_BY,4467
769,IS_KARMA_OF,4467
4472,IS_BEST_AMONG,4459
36,IS_RASA_PROPERTY_OF,4459
41,IS_RASA_PROPERTY_OF,4459
101,IS_RASA_PROPERTY_OF,4459
103,IS_RASA_PROPERTY_OF,4459
579,IS_RASA_PROPERTY_OF,4459
84,IS_SNIGDHA_RUUKSHA_GUNA_OF,4459
94,IS_BENEFITTED_BY,4459
258,IS_VIPAAKA_PROPERTY_OF,4459
294,IS_VIIRYA_PROPERTY_OF,4459
666,IS_KARMA_OF,4459
2573,IS_KARMA_OF,4459
42,IS_LAGHU_GURU_GUNA_OF,4459
46,IS_KARMA_OF,4459
1717,IS_BENEFITTED_BY,4459
2567,IS_BENEFITTED_BY,4459
4505,IS_KARMA_OF,4459
138,IS_CURED_BY,4459
139,IS_CURED_BY,4459
300,IS_CURED_BY,4459
320,IS_CURED_BY,4459
578,IS_CURED_BY,4459
582,IS_CURED_BY,4459
654,IS_CURED_BY,4459
4176,IS_CURED_BY,4459
595,IS_CURED_BY,4459
785,IS_CURED_BY,4459
1940,IS_CURED_BY,4459
4506,IS_CURED_BY,4459
345,IS_CURED_BY,4459
378,IS_CURED_BY,4459
581,IS_CURED_BY,4459
655,IS_CURED_BY,4459
667,IS_CURED_BY,4459
1587,IS_CURED_BY,4459
1906,IS_CURED_BY,4459
348,IS_CURED_BY,4459
521,IS_CURED_BY,4459
643,IS_CURED_BY,4459
646,IS_CURED_BY,4459
3443,IS_CURED_BY,4459
346,IS_CURED_BY,4459
663,IS_CURED_BY,4459
4507,IS_CURED_BY,4459
76,IS_PASSIVISED_BY,4465
63,IS_PASSIVISED_BY,4465
75,IS_PASSIVISED_BY,4465
4512,IS_EFFECT_PROPERTY_OF,4465
98,IS_RASA_PROPERTY_OF,4513
4513,IS_PART_OF,4463
103,IS_RASA_PROPERTY_OF,4514
4514,IS_PART_OF,4463
37,IS_SNIGDHA_RUUKSHA_GUNA_OF,4517
914,IS_STATE_OF_SUBSTANCE_OF,4515
3774,IS_SHAPE_PROPERTY_OF,4519
4056,IS_WEIGHT_PROPERTY_OF,4520
4159,IS_PROPERTY_OF,4518
4515,IS_VARIANT_OF,4463
4515,IS_BEST_AMONG,4463
4516,IS_OUTPUT_OF_MAJJANA_SANSKAARA_ON,4515
4517,IS_VARIANT_OF,4463
4517,IS_BEST_AMONG,4463
4518,IS_VARIANT_OF,4463
4518,IS_BEST_AMONG,4463
4519,IS_VARIANT_OF,4463
4519,IS_BEST_AMONG,4463
4520,IS_VARIANT_OF,4463
4520,IS_BEST_AMONG,4463
2522,IS_DRAVA_MAADHYAMA_FOR,4516
4516,IS_BEST_AMONG,4463
4516,IS_OUTPUT_OF_MAJJANA_SANSKAARA_ON,4463
4521,IS_ABSOLUTE_QUANTITY_OF,4522
4522,IS_VARIANT_OF,4463
4522,IS_BEST_AMONG,4463
367,IS_INCREASED_BY,4523
4523,IS_APPLICATION_VARIANT_OF,4463
4524,IS_OUTPUT_OF_PESHANA_SANSKAARA_ON,4463
