:ID,:LABEL,lemma,annotator,line_id,line_text
1,TOWN,अयोध्या,3,1,https://archive.org/details/dli.ernet.199817/
2,KINGDOM,कोसल,3,1,https://archive.org/details/dli.ernet.199817/
3,RIVER,शरयू,3,1,https://archive.org/details/dli.ernet.199817/
5,HUMAN,राम,3,1,https://archive.org/details/dli.ernet.199817/
6,HUMAN,दशरथ,3,1,https://archive.org/details/dli.ernet.199817/
70,EPITHET,दशरथ,3,1,https://archive.org/details/dli.ernet.199817/
7,HUMAN,ऋष्यशृङ्ग,3,1,https://archive.org/details/dli.ernet.199817/
8,HUMAN,जनक 1,3,1,https://archive.org/details/dli.ernet.199817/
9,HUMAN,सुमन्त्र,3,1,https://archive.org/details/dli.ernet.199817/
10,HUMAN,भरत,3,1,https://archive.org/details/dli.ernet.199817/
11,HUMAN,ऋषभ,3,1,https://archive.org/details/dli.ernet.199817/
12,VILLAGE,अंशुधान,3,1,https://archive.org/details/dli.ernet.199817/
13,RAKSHASA,अकम्पन,3,1,https://archive.org/details/dli.ernet.199817/
14,HUMAN,अकोप,3,1,https://archive.org/details/dli.ernet.199817/
104,PROFESSIONAL,अकोप,3,1,https://archive.org/details/dli.ernet.199817/
15,RAKSHASA,अक्ष,3,1,https://archive.org/details/dli.ernet.199817/
16,DEVA,अग्नि,3,1,https://archive.org/details/dli.ernet.199817/
17,RISHI,अगस्ति,3,1,https://archive.org/details/dli.ernet.199817/
18,RAKSHASA,अग्निकेतु,3,1,https://archive.org/details/dli.ernet.199817/
19,HUMAN,अग्निवर्ण,3,1,https://archive.org/details/dli.ernet.199817/
20,HUMAN,मनु,3,1,https://archive.org/details/dli.ernet.199817/
21,HUMAN,मरीचि,3,1,https://archive.org/details/dli.ernet.199817/
22,HUMAN,कश्यप,3,1,https://archive.org/details/dli.ernet.199817/
64,DEVA,ब्रह्मा,3,1,https://archive.org/details/dli.ernet.199817/
24,HUMAN,विवस्वान्,3,1,https://archive.org/details/dli.ernet.199817/
25,HUMAN,इक्ष्वाकु,3,1,https://archive.org/details/dli.ernet.199817/
26,HUMAN,कुक्षि,3,1,https://archive.org/details/dli.ernet.199817/
27,HUMAN,विकुक्षि,3,1,https://archive.org/details/dli.ernet.199817/
28,HUMAN,बाण,3,1,https://archive.org/details/dli.ernet.199817/
29,HUMAN,अनरण्य,3,1,https://archive.org/details/dli.ernet.199817/
30,HUMAN,पृथु,3,1,https://archive.org/details/dli.ernet.199817/
31,HUMAN,त्रिशङ्क,3,1,https://archive.org/details/dli.ernet.199817/
32,HUMAN,धुन्धुमार,3,1,https://archive.org/details/dli.ernet.199817/
33,HUMAN,युवनाश्व,3,1,https://archive.org/details/dli.ernet.199817/
34,HUMAN,मान्धाता,3,1,https://archive.org/details/dli.ernet.199817/
35,HUMAN,सुसन्धि,3,1,https://archive.org/details/dli.ernet.199817/
36,HUMAN,ध्रुवसन्धि,3,1,https://archive.org/details/dli.ernet.199817/
37,HUMAN,प्रसेनजित्,3,1,https://archive.org/details/dli.ernet.199817/
