:START_ID,:TYPE,:END_ID
1,IS_CAPITAL_OF,2
1,IS_SITUTATED_ON_THE_BANKS_OF,3
1,IS_DEVELOPED_BY,6
1,IS_ESTABLISHED_BY,20
1,HAS_LENGTH,86
1,HAS_BREADTH,87
1,HAD,90
1,IS_REACHED_BY,97
1,IS_PRAISED_BY,98
1,IS_PRAISED_BY,99
1,HAD,100
1,HAS_A_SHAPE_OF,126
2,IS_SITUTATED_ON_THE_BANKS_OF,3
4,IS_FATHER_OF,45
5,WENT_TO,1
5,RETURNED_TO,1
6,IS_KNOWN_AS,70
14,IS_A_CONUSELLOR_OF,6
19,IS_FATHER_OF,53
20,IS_FATHER_OF,25
20,IS_KNOWN_AS,66
20,IS_KNOWN_AS,85
21,IS_FATHER_OF,22
22,IS_FATHER_OF,24
24,IS_FATHER_OF,20
25,IS_FATHER_OF,26
26,IS_FATHER_OF,27
27,IS_FATHER_OF,28
28,IS_FATHER_OF,29
29,IS_FATHER_OF,30
30,IS_FATHER_OF,65
32,IS_FATHER_OF,33
32,IS_FATHER_OF,34
33,IS_FATHER_OF,34
34,IS_FATHER_OF,35
34,IS_KNOWN_AS,71
35,IS_FATHER_OF,36
35,IS_FATHER_OF,37
36,IS_BROTHER_OF,37
36,IS_FATHER_OF,38
38,IS_FATHER_OF,39
39,IS_ENEMY_OF,40
39,IS_ENEMY_OF,41
39,IS_ENEMY_OF,42
39,IS_FATHER_OF,43
43,IS_POISONED_BY,76
43,IS_FATHER_OF,78
45,IS_FATHER_OF,46
46,IS_FATHER_OF,47
47,IS_FATHER_OF,82
49,IS_KNOWN_AS,50
49,IS_FATHER_OF,51
49,BECAME,80
51,IS_FATHER_OF,52
52,IS_FATHER_OF,19
53,IS_FATHER_OF,54
54,IS_FATHER_OF,55
55,IS_FATHER_OF,56
56,IS_FATHER_OF,57
57,IS_FATHER_OF,58
58,IS_FATHER_OF,59
59,IS_FATHER_OF,60
60,IS_FATHER_OF,6
61,IS_KNOWN_AS,70
61,IS_REAL_NAME_OF,70
64,IS_FATHER_OF,21
65,IS_FATHER_OF,32
70,IS_FATHER_OF,5
70,IS_FATHER_OF,62
72,IS_WIFE_OF,39
72,IS_MOTHER_OF,43
72,MET_WITH,73
72,IS_COWIFE_OF,76
72,MET_AT,77
73,BELONGED_TO,74
73,MET_AT,77
78,IS_FATHER_OF,4
82,IS_FATHER_OF,49
83,IS_QUALITY_OF,49
83,IS_QUALITY_OF,80
84,IS_QUALITY_OF,2
88,IS_QUALITY_OF,87
91,IS_QUALITY_OF,1
92,IS_QUALITY_OF,1
93,IS_QUALITY_OF,1
94,IS_QUALITY_OF,90
95,IS_QUALITY_OF,90
96,IS_QUALITY_OF,90
100,HAD,102
103,IS_QUALITY_OF,1
127,FOUGHT_WITH,123
127,IS_A_GENERAL_OF,128
127,IS_KILLED_BY,132
5,HAS_TRAVELLED_TO,1
5,WAS_APPROACHED_TO_BE_THE_KING_BY,10
5,FORMED_AN_ACQUAINTANCE_WITH,123
5,BURNT_THE_CARCASS_OF,190
5,DID_INQUIRE_ABOUT,218
5,IS_DIRECTED_BY,330
5,IS_DIRECTED_TO,331
5,WAS_ATTACKED_BY,333
5,DID_INQUIRE_TO,462
5,SET_UP_HIS_ABODE_AT,493
5,HAS_TRAVELLED_BY,558
5,VISITED_THE_TEMPLE_OF,626
5,IS_VISITED_BY,642
5,FORMED_AN_ACQUAINTANCE_AT_THE_BANK_OF,695
5,HAS_DESCRIBED_THE_BEAUTY_OF,750
5,VISITED_THE_TEMPLE_OF,784
5,WAS_ATTACKED_BY,851
7,IS_SON_OF,303
7,IS_GRANDSON_OF,304
10,ENTERTAINED_BY,464
10,DID_BREAK_HIS_JOURNEY_AT,517
10,IS_PASSED_BY,554
10,ARRIVED_TO,630
10,SET_UP_HIS_ABODE_AT,655
10,LEFT_HIS_ARMY_AT,746
12,IS_SITUTATED_ON_THE_BANKS_OF,105
13,IS_KILLED_BY,116
16,IS_FATHER_OF,108
21,IS_FATHER_OF,869
46,PRACTICED_AUSTERITIES_AT,461
47,IS_SON_OF,46
50,IS_FATHER_OF,51
54,IS_SON_OF,53
56,WAS_SEEN_BY,286
56,BROKE_HIS_JOURNEY_AT,721
56,WAS_SEEN_AT,802
58,IS_SON_OF,57
60,IS_SON_OF,59
62,SPENT_A_NIGHT_NEAR,421
65,DEPUTED_ON_THE_RESPONSIBILITY_OF,288
65,BECAME,479
65,DEPUTED_TO,560
105,IS_DAUGHTER_OF,273
105,WAS_RELEASED_BY,325
105,WAS_RELEASED_INTO,772
106,IS_THE_DIRECTOR_TO_POSSES_DIVINE_WEAPONS,5
106,DWELT_IN,133
108,IS_SON_OF,16
109,LIVED_AT_FOUR_YOJANA_SOUTH_OF,110
110,HIS_ASHRAMA_WAS_VISITED_BY,5
111,IS_RULED_BY,112
114,IS_HUSBAND_OF,115
115,IS_WIFE_OF,114
115,IS_SON_OF,379
116,IS_SON_OF,114
116,WAS_SENT_BY,136
116,IS_SENT_BY,136
116,IS_ASKED_TO_GO_TO,211
116,IS_SENT_TO,301
116,IS_ASKED_TO_GO_TO,342
116,WAS_SENT_TO,499
116,IS_ASKED_TO_GO_TO,580
116,IS_ASKED_TO_GO_TO,666
116,IS_SENT_TO,703
116,IS_SENT_TO,704
116,IS_ASKED_TO_GO_TO,714
116,IS_ASKED_TO_GO_TO,724
116,WAS_ASKED_TO_VISIT,811
116,WAS_ASKED_TO_VISIT,847
116,WAS_ASKED_TO_VISIT,878
116,IS_ASKED_TO_GO_TO,887
117,IS_SON_OF,62
117,IS_THE_KING_OF,118
118,IS_CAPITAL_OF,119
123,WAS_FAVOURED_BY,64
123,WAS_SENT_BY,136
123,IS_SENT_TO,264
123,VISIT_WAS_FORESEEN_BY,409
123,BURNT_THE_HOUSE_OF,475
123,VISITED_TO,504
123,HAS_SEATED_ON,555
123,IS_ATTACKED_BY,596
123,SET_FIRE_TO_THE_HOUSE_OF,624
123,IS_ASKED_TO_GO_TO,634
123,SET_FIRE_TO_THE_HOUSE_OF,648
123,BURNT_THE_HOUSE_OF,665
123,WAS_SENT_TO,691
123,SET_FIRE_TO_THE_HOUSE_OF,779
123,IS_ASKED_TO_GO_TO,852
123,WAS_PRODUCED_BY,870
123,BURNT_THE_HOUSE_OF,902
128,ASKED_THE_HELP_OF,13
128,IS_CHALLENGED_BY,395
128,PRACTICED_AUSTERITIES_AT,461
128,WAS_ACCOMPANIED_BY,562
128,IS_THE_DESTROYER_OF,652
128,WAS_CURSED_BY,653
128,LAUGHED_AT,653
128,WAS_ACCOMPANIED_BY,710
131,IS_MINISTER_OF,128
134,WAS_SENT_TO,120
134,WAS_SENT_BY,136
134,IS_SENT_TO,212
134,WAS_SENT_TO,490
134,WAS_SENT_TO,505
134,WAS_ASKED_TO_VISIT,771
134,IS_ASKED_TO_GO_TO,882
136,SPENT_A_LIFE_OF_EXILE_AT,302
136,WAS_ACCOMPANIED_TO,544
136,WAS_ACCOMPANIED_BY,545
136,IS_ACCOMPANIED_BY,667
139,IS_HUSBAND_OF,140
139,IS_FATHER_OF,314
140,IS_WIFE_OF,141
141,LIVED_AT,350
142,IS_SON_OF,128
142,IS_NEPHEW_OF,129
144,IS_HUSBAND_OF,145
145,IS_WIFE_OF,144
146,CAME_TO_GREET,5
147,IS_MOTHER_OF,148
147,IS_WIFE_OF,149
148,IS_SON_OF,147
148,WAS_ACCOMPANIED_BY,679
149,IS_WELCOMED_BY,148
150,IS_A_FOLLOWER_OF,151
152,IS_FATHER_OF,150
153,IS_WIFE_OF,152
155,IS_KNOWN_AS,69
157,IS_WIFE_OF,149
157,IS_DAUGHTER_OF,155
159,IS_MATERNAL_UNCLE_OF,128
159,IS_FATHER_OF,158
160,IS_SON_OF,107
161,DWELT_IN,162
161,DWELT_AT,162
162,IS_SITUATED_TO_THE_NORTH_OF,526
163,IS_COUNSELLOR_OF,151
163,IS_SON_OF,153
165,IS_KILLED_BY,148
166,IS_VISITED_BY,116
167,IS_KILLED_BY,168
169,IS_TRAVERSED_BY,10
170,IS_VISITED_BY,171
171,IS_DISCIPLE_OF,173
173,WAS_ADVISED_BY,896
174,IS_THE_TOWN_OF,148
175,IS_VISITED_BY,116
176,IS_DISFIGURED_BY,62
177,IS_THE_PRIEST_OF,566
178,IS_DAUGHTER_OF,177
179,IS_CLIMBED_BY,123
180,IS_FATHER_OF,328
180,IS_FATHER_OF,516
181,IS_DAUGHTER_OF,149
181,IS_WIFE_OF,180
181,IS_SISTER_OF,188
182,IS_FATHER_OF,181
187,IS_BROTHER_OF,188
187,IS_SON_OF,189
187,IS_FATHER_OF,190
189,IS_ASKED_TO_GO_TO,290
189,IS_ASKED_TO_GO_TO,430
189,WAS_ASKED_TO_VISIT,664
189,IS_ASKED_TO_GO_TO,713
189,WAS_ASKED_TO_VISIT,776
189,WAS_ASKED_TO_VISIT,806
189,WAS_ASKED_TO_VISIT,846
189,IS_ASKED_TO_GO_TO,856
189,IS_ASKED_TO_GO_TO,872
189,IS_ASKED_TO_GO_TO,909
190,IS_KILLED_BY,128
190,IS_BROTHER_OF,191
190,LIVED_AT,463
191,WENT_TO_SEE,681
192,IS_WIFE_OF,173
193,IS_A_VANARA_SOLDIER_OF,5
194,IS_SENT_BY,136
194,IS_SENT_TO,195
196,IS_SENT_BY,136
196,IS_SENT_TO,195
197,IS_KILLED_BY,200
198,ANOTHER_NAME_OF,197
199,IS_KILLED_BY,197
199,IS_FATHER_OF,511
202,IS_MINISTER_OF,10
203,IS_SITUATED_IN,195
204,PROTECTION_INVOKED_FOR,5
204,PROTECTION_INVOKED_BY,205
205,IS_MOTHER_OF,5
205,HAS_INVOKED_THE_PROTECTION_OF,677
205,HAS_INVOKED_THE_PROTECTION_OF,709
206,IS_WIFE_OF,25
207,IS_SON_OF,25
208,IS_REFERRED_BY,209
209,IS_MOTHER_OF,10
211,IS_SITUATED_IN,210
212,IS_SITUATED_IN,195
213,IS_COUNSELLOR_OF,128
214,IS_KILLED_BY,215
215,IS_HONOURED_BY,5
215,IS_SON_OF,224
216,IS_A_MESSENGER_OF,173
217,IS_CONFINEMENT_OF,218
218,IS_DAUGHTER_OF,8
218,IS_PLACED_BY,557
218,WAS_PLACED_AT,558
218,WAS_THREATENED_BY,727
221,IS_WIFE_OF,149
221,IS_DAUGHTER_OF,154
222,IS_SON_OF,221
222,IS_SON_OF,570
223,IS_MATERNAL_UNCLE_OF,10
223,IS_FATHER_IN_LAW_OF,70
223,IS_THE_KING_OF,417
224,ARE_SONS_OF,147
224,ARE_SONS_OF,149
225,IS_OCCUPIED_BY,128
225,IS_SITUATED_IN,226
227,IS_VISITED_BY,136
227,IS_SITUATED_IN,195
229,IS_SON_OF,230
230,WAS_EMANCIPATED_BY,229
231,IS_SON_OF,232
232,IS_FATHER_OF,376
233,IS_MOTHER_OF,231
233,IS_MOTHER_OF,374
234,WAS_RAPED_BY_INDRA,148
234,IS_WIFE_OF,235
235,IS_HUSBAND_OF,234
235,PRACTICED_AUSTERITIES_AT,472
236,ARE_SONS_OF,147
237,IS_VISITED_BY,116
237,IS_SITUATED_IN,210
238,LIVED_AT,239
238,DWELT_AT,621
240,IS_SON_OF,242
240,IS_SON_OF,715
242,HAS_BECAME_WIFE_OF,715
242,WAS_CURSED_BY,879
244,IS_VISITED_BY,136
244,IS_SITUATED_IN,243
247,IS_SITUTATED_ON_THE_BANKS_OF,246
248,IS_THE_PROGENITOR_OF,5
248,LIVED_AT_THE_BANK_OF,246
249,IS_KILLED_BY,148
250,IS_HONOURED_BY,5
251,WAS_READY_TO_KILL,5
253,IS_FAMOUS_FOR,254
255,IS_FATHER_OF,256
256,IS_SON_OF,255
256,IS_THE_KING_OF,257
258,IS_KILLED_BY,106
258,LIVED_AT,133
259,IS_RIDING_ANIMAL_OF,260
261,IS_VISITED_BY,10
261,IS_ABOUNDING_WITH,262
263,IS_VISITED_BY,116
263,IS_SITUATED_IN,210
264,IS_VISITED_BY,136
265,IS_SON_OF,8
265,IS_FATHER_OF,266
266,IS_FATHER_OF,267
268,IS_SON_OF,159
269,IS_WIFE_OF,159
270,IS_MOTHER_OF,269
271,IS_ANOTHER_NAME_OF,200
272,IS_DAUGHTER_OF,273
275,IS_MOTHER_OF,105
275,IS_MOTHER_OF,272
275,IS_WIFE_OF,273
275,IS_DAUGHTER_OF,274
276,IS_WIFE_OF,62
276,IS_DAUGHTER_OF,277
277,IS_BROTHER_OF,8
278,IS_SON_OF,279
281,LIVED_AT,280
282,IS_SEEN_BY,116
283,IS_FATHER_OF,114
283,IS_FATHER_OF,136
285,IS_HONOURED_BY,5
285,DWELT_AT,284
286,IS_HUSBAND_OF,287
287,IS_SISTER_OF,288
287,IS_DAUGHTER_OF,447
288,PRACTICED_AUSTERITIES_AT,721
289,IS_FATHER_OF,199
290,IS_SITUATED_IN_THE_MIDST_OF,291
293,IS_PROTECTED_BY,294
295,IS_A_KING_OF,1
296,IS_KILLED_BY,297
297,PLACE_WAS_VISITED_BY,123
298,WENT_IN_THE_SEARCH_OF,299
299,IS_SON_OF,128
299,DID_SACRIFICES_AT,678
300,WENT_IN_THE_SEARCH_OF,218
302,IS_VISITED_BY,5
303,IS_SON_OF,304
305,WAS_A_GUARD_OF,218
306,IS_SITUATED_NEAR,307
307,IS_CROSSED_BY,10
308,IS_MOTHER_OF,254
309,IS_VISITED_BY,10
310,CAME_TO_VISIT,311
312,IS_CREATED_BY,64
314,IS_ASKED_BY,312
314,IS_ASKED_TO_GO_TO,313
317,ARE_KILLED_BY,316
318,LIVED_AT,210
319,CAME_TO_GREET,5
320,IS_DAUGHTER_OF,149
321,IS_MOTHER_OF,320
321,IS_MOTHER_OF,884
321,IS_MOTHER_OF,885
323,REDUCED_TO_ASHES_BY,325
325,IS_THE_DESTROYER_OF,559
326,PLACE_WAS_VISITED_BY,314
327,IS_THE_DESTROYER_OF,328
329,IS_CROSSED_BY,10
330,IS_KILLED_BY,5
330,IS_SON_OF,570
333,IS_A_GENERAL_OF,334
334,IS_KILLED_BY,5
334,IS_BROTHER_OF,431
335,PLACE_WAS_VISITED_BY,314
336,HAS_RECEIVED_THE_HUNGER_OF,148
336,DEVASTATED_BY,337
337,IS_WIFE_OF,542
338,IS_SON_OF,337
340,IS_DAUGHTER_OF,151
341,IS_VISITED_BY,10
343,FORMED_AN_ALLIANCE_WITH,128
344,CAME_TO_GREET,5
347,IS_FATHER_OF,181
347,BORN_IN_THE_ROYAL_HOUSE_OF,348
347,IS_SON_OF,349
351,APPOINTED_BY,63
353,IS_A_PRIEST_TO,6
355,IS_ASKED_BY,136
355,WAS_SENT_TO,362
355,IS_ASKED_TO_GO_TO,576
355,WAS_ASKED_TO_VISIT,618
355,IS_ASKED_TO_GO_TO,719
355,WAS_ASKED_TO_VISIT,749
355,IS_ASKED_TO_GO_TO,793
355,WAS_ASKED_TO_VISIT,816
355,WAS_ASKED_TO_VISIT,867
357,IS_KILLED_BY,116
357,IS_OFFICER_OF,356
358,IS_DEFEATED_BY,128
358,IS_WIFE_OF,359
358,WAS_ABDUCTED_BY,818
360,IS_FATHER_OF,358
360,IS_HUSBAND_OF,361
361,IS_MOTHER_OF,13
361,IS_MOTHER_OF,356
361,IS_WIFE_OF,360
361,IS_DAUGHTER_OF,418
364,IS_BROTHER_OF,128
364,IS_OWNER_OF,365
364,IS_SON_OF,372
364,DWELT_AT,426
364,WAS_TAKEN_TO,652
364,WAS_CARRIED_TO,652
364,WAS_ACCOMPANIED_BY,689
364,WAS_CARRIED_BY,689
364,WAS_ACCOMPANIED_BY,759
365,IS_SITUATED_IN,363
366,IS_PASSED_BY,171
367,A_COURTIER_OF,5
368,IS_SITUATED_NEAR,369
371,IS_CROSSED_BY,10
372,IS_SON_OF,716
373,IS_FATHER_OF,374
373,IS_FATHER_OF,375
373,IS_FATHER_OF,376
373,IS_FATHER_OF,377
374,IS_SON_OF,232
377,IS_SON_OF,232
378,IS_SON_OF,379
378,IS_FATHER_OF,380
379,IS_FATHER_OF,774
382,IS_WIFE_OF,149
382,IS_DAUGHTER_OF,154
382,IS_MOTHER_OF,383
384,PRACTICED_AT,381
384,PRACTICED_BY,382
385,IS_BUILT_BY,5
