:START_ID,:TYPE,:END_ID
1,IS_CAPITAL_OF,2
1,IS_SITUTATED_ON_THE_BANKS_OF,3
64,IS_FATHER_OF,21
21,IS_FATHER_OF,22
22,IS_FATHER_OF,24
24,IS_FATHER_OF,20
20,IS_FATHER_OF,25
25,IS_FATHER_OF,26
26,IS_FATHER_OF,27
27,IS_FATHER_OF,28
28,IS_FATHER_OF,29
29,IS_FATHER_OF,30
30,IS_FATHER_OF,65
65,IS_FATHER_OF,32
32,IS_FATHER_OF,33
32,IS_FATHER_OF,34
20,IS_KNOWN_AS,66
61,IS_KNOWN_AS,70
6,IS_KNOWN_AS,70
33,IS_FATHER_OF,34
34,IS_FATHER_OF,35
34,IS_KNOWN_AS,71
35,IS_FATHER_OF,36
35,IS_FATHER_OF,37
36,IS_BROTHER_OF,37
36,IS_FATHER_OF,38
38,IS_FATHER_OF,39
39,IS_ENEMY_OF,40
39,IS_ENEMY_OF,41
39,IS_ENEMY_OF,42
72,IS_WIFE_OF,39
39,IS_FATHER_OF,43
72,IS_MOTHER_OF,43
73,BELONGED_TO,74
43,IS_POISONED_BY,76
72,IS_COWIFE_OF,76
72,MET_WITH,73
72,MET_AT,77
73,MET_AT,77
43,IS_FATHER_OF,78
78,IS_FATHER_OF,4
4,IS_FATHER_OF,45
45,IS_FATHER_OF,46
46,IS_FATHER_OF,47
49,BECAME,80
49,IS_KNOWN_AS,50
49,IS_FATHER_OF,51
51,IS_FATHER_OF,52
52,IS_FATHER_OF,19
19,IS_FATHER_OF,53
53,IS_FATHER_OF,54
47,IS_FATHER_OF,82
82,IS_FATHER_OF,49
83,IS_QUALITY_OF,49
83,IS_QUALITY_OF,80
54,IS_FATHER_OF,55
55,IS_FATHER_OF,56
56,IS_FATHER_OF,57
57,IS_FATHER_OF,58
58,IS_FATHER_OF,59
59,IS_FATHER_OF,60
60,IS_FATHER_OF,6
70,IS_FATHER_OF,5
70,IS_FATHER_OF,62
5,WENT_TO,1
84,IS_QUALITY_OF,2
2,IS_SITUTATED_ON_THE_BANKS_OF,3
20,IS_KNOWN_AS,85
1,IS_ESTABLISHED_BY,20
1,HAS_LENGTH,86
1,HAS_BREADTH,87
88,IS_QUALITY_OF,87
61,IS_REAL_NAME_OF,70
5,RETURNED_TO,1
1,HAD,90
1,IS_DEVELOPED_BY,6
91,IS_QUALITY_OF,1
92,IS_QUALITY_OF,1
93,IS_QUALITY_OF,1
94,IS_QUALITY_OF,90
96,IS_QUALITY_OF,90
95,IS_QUALITY_OF,90
1,IS_REACHED_BY,97
1,IS_PRAISED_BY,98
1,IS_PRAISED_BY,99
1,HAD,100
100,HAD,102
103,IS_QUALITY_OF,1
14,IS_A_CONUSELLOR_OF,6
12,IS_SITUTATED_ON_THE_BANKS_OF,105
106,IS_THE_DIRECTOR_TO_POSSES_DIVINE_WEAPONS,5
108,IS_SON_OF,16
16,IS_FATHER_OF,108
109,LIVED_AT_FOUR_YOJANA_SOUTH_OF,110
110,HIS_ASHRAMA_WAS_VISITED_BY,5
111,IS_RULED_BY,112
114,IS_HUSBAND_OF,115
116,IS_SON_OF,114
117,IS_SON_OF,62
118,IS_CAPITAL_OF,119
117,IS_THE_KING_OF,118
1,HAS_A_SHAPE_OF,126
127,IS_A_GENERAL_OF,128
127,FOUGHT_WITH,123
127,IS_KILLED_BY,132
60,IS_SON_OF,59
106,DWELT_IN,133
134,WAS_SENT_BY,136
134,WAS_SENT_TO,120
140,IS_WIFE_OF,141
142,IS_SON_OF,128
142,IS_NEPHEW_OF,129
144,IS_HUSBAND_OF,145
146,CAME_TO_GREET,5
147,IS_MOTHER_OF,148
147,IS_WIFE_OF,149
150,IS_A_FOLLOWER_OF,151
153,IS_WIFE_OF,152
152,IS_FATHER_OF,150
155,IS_KNOWN_AS,69
157,IS_DAUGHTER_OF,155
157,IS_WIFE_OF,149
159,IS_MATERNAL_UNCLE_OF,128
159,IS_FATHER_OF,158
160,IS_SON_OF,107
161,DWELT_AT,162
161,DWELT_IN,162
163,IS_SON_OF,153
163,IS_COUNSELLOR_OF,151
145,IS_WIFE_OF,144
165,IS_KILLED_BY,148
166,IS_VISITED_BY,116
167,IS_KILLED_BY,168
169,IS_TRAVERSED_BY,10
171,IS_DISCIPLE_OF,173
170,IS_VISITED_BY,171
174,IS_THE_TOWN_OF,148
116,IS_SENT_BY,136
175,IS_VISITED_BY,116
176,IS_DISFIGURED_BY,62
178,IS_DAUGHTER_OF,177
179,IS_CLIMBED_BY,123
181,IS_WIFE_OF,180
182,IS_FATHER_OF,181
187,IS_BROTHER_OF,188
187,IS_SON_OF,189
190,IS_BROTHER_OF,191
187,IS_FATHER_OF,190
192,IS_WIFE_OF,173
193,IS_A_VANARA_SOLDIER_OF,5
194,IS_SENT_TO,195
194,IS_SENT_BY,136
196,IS_SENT_TO,195
196,IS_SENT_BY,136
198,ANOTHER_NAME_OF,197
199,IS_KILLED_BY,197
197,IS_KILLED_BY,200
202,IS_MINISTER_OF,10
203,IS_SITUATED_IN,195
204,PROTECTION_INVOKED_FOR,5
205,IS_MOTHER_OF,5
204,PROTECTION_INVOKED_BY,205
206,IS_WIFE_OF,25
207,IS_SON_OF,25
208,IS_REFERRED_BY,209
211,IS_SITUATED_IN,210
116,IS_ASKED_TO_GO_TO,211
212,IS_SITUATED_IN,195
134,IS_SENT_TO,212
213,IS_COUNSELLOR_OF,128
214,IS_KILLED_BY,215
216,IS_A_MESSENGER_OF,173
218,IS_DAUGHTER_OF,8
217,IS_CONFINEMENT_OF,218
222,IS_SON_OF,221
221,IS_DAUGHTER_OF,154
221,IS_WIFE_OF,149
223,IS_MATERNAL_UNCLE_OF,10
224,ARE_SONS_OF,149
224,ARE_SONS_OF,147
225,IS_SITUATED_IN,226
225,IS_OCCUPIED_BY,128
227,IS_SITUATED_IN,195
227,IS_VISITED_BY,136
229,IS_SON_OF,230
231,IS_SON_OF,232
233,IS_MOTHER_OF,231
234,IS_WIFE_OF,235
236,ARE_SONS_OF,147
237,IS_SITUATED_IN,210
237,IS_VISITED_BY,116
238,LIVED_AT,239
240,IS_SON_OF,241
240,IS_SON_OF,242
244,IS_SITUATED_IN,243
244,IS_VISITED_BY,136
247,IS_SITUTATED_ON_THE_BANKS_OF,246
248,LIVED_AT_THE_BANK_OF,246
248,IS_THE_PROGENITOR_OF,5
249,IS_KILLED_BY,148
148,IS_SON_OF,147
250,IS_HONOURED_BY,5
251,WAS_READY_TO_KILL,5
253,IS_FAMOUS_FOR,254
256,IS_SON_OF,255
256,IS_THE_KING_OF,257
258,LIVED_AT,133
258,IS_KILLED_BY,106
259,IS_RIDING_ANIMAL_OF,260
261,IS_ABOUNDING_WITH,262
261,IS_VISITED_BY,10
263,IS_SITUATED_IN,210
263,IS_VISITED_BY,116
123,IS_SENT_TO,264
264,IS_VISITED_BY,136
265,IS_SON_OF,8
265,IS_FATHER_OF,266
266,IS_FATHER_OF,267
268,IS_SON_OF,159
269,IS_WIFE_OF,159
270,IS_MOTHER_OF,269
271,IS_ANOTHER_NAME_OF,200
275,IS_DAUGHTER_OF,274
275,IS_WIFE_OF,273
272,IS_DAUGHTER_OF,273
105,IS_DAUGHTER_OF,273
277,IS_BROTHER_OF,8
276,IS_DAUGHTER_OF,277
276,IS_WIFE_OF,62
278,IS_SON_OF,279
281,LIVED_AT,280
282,IS_SEEN_BY,116
283,IS_FATHER_OF,114
283,IS_FATHER_OF,136
285,DWELT_AT,284
287,IS_SISTER_OF,288
286,IS_HUSBAND_OF,287
289,IS_FATHER_OF,199
290,IS_SITUATED_IN_THE_MIDST_OF,291
189,IS_ASKED_TO_GO_TO,290
293,IS_PROTECTED_BY,294
295,IS_A_KING_OF,1
296,IS_KILLED_BY,297
299,IS_SON_OF,128
300,WENT_IN_THE_SEARCH_OF,218
298,WENT_IN_THE_SEARCH_OF,299
116,IS_SENT_TO,301
136,SPENT_A_LIFE_OF_EXILE_AT,302
302,IS_VISITED_BY,5
7,IS_SON_OF,303
303,IS_SON_OF,304
7,IS_GRANDSON_OF,304
305,WAS_A_GUARD_OF,218
306,IS_SITUATED_NEAR,307
307,IS_CROSSED_BY,10
308,IS_MOTHER_OF,254
309,IS_VISITED_BY,10
310,CAME_TO_VISIT,311
314,IS_ASKED_TO_GO_TO,313
314,IS_ASKED_BY,312
47,IS_SON_OF,46
317,ARE_KILLED_BY,316
318,LIVED_AT,210
319,CAME_TO_GREET,5
320,IS_DAUGHTER_OF,149
321,IS_MOTHER_OF,320
323,REDUCED_TO_ASHES_BY,325
326,PLACE_WAS_VISITED_BY,314
180,IS_FATHER_OF,328
327,IS_THE_DESTROYER_OF,328
329,IS_CROSSED_BY,10
330,IS_KILLED_BY,5
5,IS_DIRECTED_TO,331
5,IS_DIRECTED_BY,330
128,ASKED_THE_HELP_OF,13
13,IS_KILLED_BY,116
334,IS_KILLED_BY,5
333,IS_A_GENERAL_OF,334
5,WAS_ATTACKED_BY,333
335,PLACE_WAS_VISITED_BY,314
336,DEVASTATED_BY,337
336,HAS_RECEIVED_THE_HUNGER_OF,148
255,IS_FATHER_OF,256
340,IS_DAUGHTER_OF,151
341,IS_VISITED_BY,10
116,IS_ASKED_TO_GO_TO,342
50,IS_FATHER_OF,51
343,FORMED_AN_ALLIANCE_WITH,128
344,CAME_TO_GREET,5
149,IS_WELCOMED_BY,148
230,WAS_EMANCIPATED_BY,229
347,BORN_IN_THE_ROYAL_HOUSE_OF,348
347,IS_SON_OF,349
347,IS_FATHER_OF,181
141,LIVED_AT,350
351,APPOINTED_BY,63
353,IS_A_PRIEST_TO,6
357,IS_OFFICER_OF,356
357,IS_KILLED_BY,116
358,IS_WIFE_OF,359
358,IS_DEFEATED_BY,128
360,IS_HUSBAND_OF,361
360,IS_FATHER_OF,358
355,WAS_SENT_TO,362
364,IS_OWNER_OF,365
365,IS_SITUATED_IN,363
366,IS_PASSED_BY,171
367,A_COURTIER_OF,5
368,IS_SITUATED_NEAR,369
371,IS_CROSSED_BY,10
364,IS_BROTHER_OF,128
364,IS_SON_OF,372
373,IS_FATHER_OF,374
373,IS_FATHER_OF,375
373,IS_FATHER_OF,376
373,IS_FATHER_OF,377
378,IS_SON_OF,379
378,IS_FATHER_OF,380
382,IS_MOTHER_OF,383
384,PRACTICED_BY,382
384,PRACTICED_AT,381
385,IS_CAPITAL_OF,232
374,IS_SON_OF,232
233,IS_MOTHER_OF,374
385,IS_BUILT_BY,5
386,IS_FOUNDED_BY,232
387,IS_SON_OF,388
389,CAME_TO_GREET,5
390,IS_VISITED_BY,116
391,CAME_TO_VISIT,5
393,IS_SON_OF,16
394,HAS_LIVED_WITH,364
128,IS_CHALLENGED_BY,395
396,IS_VISITED_BY,5
396,IS_VISITED_BY,62
397,IS_VISITED_BY,355
399,IS_DAUGHTER_OF,154
399,IS_WIFE_OF,149
398,IS_DAUGHTER_OF,399
400,IS_CHURNED_BY,79
400,IS_CHURNED_BY,404
401,CAME_OUT_OF,400
406,IS_ALIAS_OF,287
406,IS_SISTER_OF,288
406,IS_WIFE_OF,286
407,IS_SON_OF,218
408,BELONGED_TO,409
408,IS_BIRTHPLACE_OF,407
410,ARE_DAUGHTERS_OF,154
410,ARE_APPOINTED_BY,148
411,WAS_FED_BY,410
413,ARE_PRODUCED_BY,412
415,LIVED_AT,414
416,IS_VISITED_BY,116
223,IS_THE_KING_OF,417
223,IS_FATHER_IN_LAW_OF,70
361,IS_WIFE_OF,360
361,IS_DAUGHTER_OF,418
361,IS_MOTHER_OF,356
361,IS_MOTHER_OF,13
419,IS_VISITED_BY,116
420,IS_WIFE_OF,180
62,SPENT_A_NIGHT_NEAR,421
139,IS_FATHER_OF,314
139,IS_HUSBAND_OF,140
209,IS_MOTHER_OF,10
423,IS_DAUGHTER_OF,360
423,IS_DAUGHTER_OF,361
424,IS_KILLED_BY,200
426,IS_SITUATED_NEAR,425
364,DWELT_AT,426
426,IS_INVADED_BY,128
428,FLOWED_THROUGH,427
429,IS_THE_KING_OF,427
189,IS_ASKED_TO_GO_TO,430
334,IS_BROTHER_OF,431
432,IS_SITUTATED_ON_THE_BANKS_OF,105
433,IS_SITUATED_NEAR,105
434,PARTICIPATED_THE_CORONATION_CEREMONY_OF,136
435,ASSEMBLED_AT,436
436,IS_SACRIFICE_OF,70
437,IS_DAUGHTER_OF,438
438,IS_MOTHER_OF,439
435,COMPLAINED_AGAINST_THE_ACTS_OF,128
440,ACCEPTED_THE_SUBMISSION_OF,128
441,IS_THE_KINGDOM_OF,440
181,IS_SISTER_OF,188
181,IS_DAUGHTER_OF,149
442,CAME_TO_VISIT,5
443,CAME_TO_VISIT,136
443,APPOINTED_BY,5
443,IS_APPOINTED_AS,444
445,IS_APPOINTED_AS,444
446,BELONGED_TO,445
446,IS_SEEN_BY,62
447,BORN_BECAUSE_OF,436
447,IS_FATHER_OF,288
287,IS_DAUGHTER_OF,447
448,IS_SON_OF,364
440,ADMITTED_THE_SUPREMACY_OF,128
449,IS_LAND_OF,435
449,IS_CONQUERED_BY,10
450,CAME_TO_GREET,5
451,IS_THE_KING_OF,417
450,IS_SON_OF,122
453,CAME_TO_GREET,5
454,DWELT_IN,290
456,IS_FOUNDED_BY,377
377,IS_SON_OF,232
457,IS_ANOTHER_NAME_OF,456
458,IS_MESSENGER_OF,173
459,MET_WITH,5
459,MET_AT,432
460,ARE_ATTENDANTS_OF,364
46,PRACTICED_AUSTERITIES_AT,461
128,PRACTICED_AUSTERITIES_AT,461
462,FLOWED_BY_THE,463
5,DID_INQUIRE_ABOUT,218
5,DID_INQUIRE_TO,462
10,ENTERTAINED_BY,464
466,IS_CROSSED_BY,5
466,SITUATED_TO_THE_SOUTH_OF,427
469,WAS_CHARIOTEER_OF,148
468,IS_SON_OF,469
469,HAD_A_FIGHT_WITH,299
470,IS_KILLED_BY,114
471,ATTENDED_THE_DEMISE_COURT_OF,6
235,PRACTICED_AUSTERITIES_AT,472
235,IS_HUSBAND_OF,234
234,WAS_RAPED_BY_INDRA,148
473,PLACE_WAS_VISITED_BY,314
474,IS_WIFE_OF,375
123,BURNT_THE_HOUSE_OF,475
476,PLACE_WAS_VISITED_BY,123
477,IS_VISITED_BY,134
478,FOUGHT_AGAINST,128
65,BECAME,479
480,WAS_THE_GUARD_OF,218
482,LIVED_AT,481
482,JOINED_THE_FORCE_OF,5
483,IS_SITUATED_NEAR,400
484,BORN_OF,400
487,IS_SON_OF,62
487,MADE_KING_OF,486
488,IS_SITUATED_IN,486
134,WAS_SENT_TO,490
491,DWELT_IN_THE_HERMITAGE_OF,173
492,ARE_PRODUCED_BY,491
492,ARE_PRODUCED_TO_HELP,5
5,SET_UP_HIS_ABODE_AT,493
494,IS_COUNSELLOR_OF,5
494,IS_A_CHARIOTEER_OF,5
495,GARDEN_OF,364
496,IS_CROSSED_BY,62
497,IS_TENDED_BY,498
116,WAS_SENT_TO,499
116,WAS_SENT_BY,136
501,PRACTICED_AUSTERITIES_AT,502
501,A_SCION_OF_THE_FAMILY_OF,503
123,VISITED_TO,504
123,VISIT_WAS_FORESEEN_BY,409
134,WAS_SENT_TO,505
190,LIVED_AT,463
190,IS_KILLED_BY,128
5,BURNT_THE_CARCASS_OF,190
409,FORESEEN_THE_DEATH_OF,190
506,IS_DEFEATED_BY,128
507,IS_MOTHER_OF,8
508,IS_THE_KING_OF,472
431,IS_AN_INHABITANT_OF,510
199,IS_FATHER_OF,511
512,WAS_RECEIVED_BY,509
512,WAS_RECEIVED_FROM,286
513,PLACE_WAS_VISITED_BY,123
514,LIES_TO_THE_NORTH_OF,515
180,IS_FATHER_OF,516
514,IS_DUG_UPON_BY,516
10,DID_BREAK_HIS_JOURNEY_AT,517
518,DID_MARCH_TO,519
520,IS_COUNSELLOR_OF,6
521,A_MESSENGER_SENT_BY,173
523,IS_SON_OF,148
524,IS_WIFE_OF,148
524,IS_MOTHER_OF,523
525,IS_DAUGHTER_OF,154
526,IS_SITUATED_AFTER,400
527,CAME_OUT_FROM_THE_WRATH_OF,528
527,WAS_PLACED_AT,526
527,WAS_PLACED_BY,64
529,IS_FATHER_OF,530
531,SACRIFICIAL_AREA_WAS_OVERFLOODED_BY,105
532,IS_A_PRIEST_OF,6
