:ID,:LABEL,lemma,annotator,line_id,line_text
1,Town,अयोध्या,3,1,https://archive.org/details/dli.ernet.199817/
2,Kingdom,कोसल,3,1,https://archive.org/details/dli.ernet.199817/
3,River,शरयू,3,1,https://archive.org/details/dli.ernet.199817/
4,Human,अंशुमान,4,1,https://archive.org/details/dli.ernet.199817/
5,Human,राम,3,1,https://archive.org/details/dli.ernet.199817/
6,Human,दशरथ,3,1,https://archive.org/details/dli.ernet.199817/
7,Human,ऋष्यशृङ्ग,3,1,https://archive.org/details/dli.ernet.199817/
8,Human,जनक 1,3,1,https://archive.org/details/dli.ernet.199817/
9,Human,सुमन्त्र,3,1,https://archive.org/details/dli.ernet.199817/
10,Human,भरत,3,1,https://archive.org/details/dli.ernet.199817/
11,Human,ऋषभ,3,1,https://archive.org/details/dli.ernet.199817/
12,Village,अंशुधान,3,1,https://archive.org/details/dli.ernet.199817/
13,Rakshasa,अकम्पन,3,1,https://archive.org/details/dli.ernet.199817/
14,Human,अकोप,3,1,https://archive.org/details/dli.ernet.199817/
15,Rakshasa,अक्ष,3,1,https://archive.org/details/dli.ernet.199817/
16,Deva,अग्नि,3,1,https://archive.org/details/dli.ernet.199817/
17,Rishi,अगस्ति,3,1,https://archive.org/details/dli.ernet.199817/
18,Rakshasa,अग्निकेतु,3,1,https://archive.org/details/dli.ernet.199817/
19,Human,अग्निवर्ण,3,1,https://archive.org/details/dli.ernet.199817/
20,Human,मनु,3,1,https://archive.org/details/dli.ernet.199817/
21,Human,मरीचि,3,1,https://archive.org/details/dli.ernet.199817/
22,Human,कश्यप,3,1,https://archive.org/details/dli.ernet.199817/
24,Human,विवस्वान्,3,1,https://archive.org/details/dli.ernet.199817/
25,Human,इक्ष्वाकु,3,1,https://archive.org/details/dli.ernet.199817/
26,Human,कुक्षि,3,1,https://archive.org/details/dli.ernet.199817/
27,Human,विकुक्षि,3,1,https://archive.org/details/dli.ernet.199817/
28,Human,बाण,3,1,https://archive.org/details/dli.ernet.199817/
29,Human,अनरण्य,3,1,https://archive.org/details/dli.ernet.199817/
30,Human,पृथु,3,1,https://archive.org/details/dli.ernet.199817/
31,Human,त्रिशङ्क,3,1,https://archive.org/details/dli.ernet.199817/
32,Human,धुन्धुमार,3,1,https://archive.org/details/dli.ernet.199817/
33,Human,युवनाश्व,3,1,https://archive.org/details/dli.ernet.199817/
34,Human,मान्धाता,3,1,https://archive.org/details/dli.ernet.199817/
35,Human,सुसन्धि,3,1,https://archive.org/details/dli.ernet.199817/
36,Human,ध्रुवसन्धि,3,1,https://archive.org/details/dli.ernet.199817/
37,Human,प्रसेनजित्,3,1,https://archive.org/details/dli.ernet.199817/
38,Human,भरत-१,3,1,https://archive.org/details/dli.ernet.199817/
39,Human,असित,3,1,https://archive.org/details/dli.ernet.199817/
40,Kingdom,हैहय,3,1,https://archive.org/details/dli.ernet.199817/
41,Kingdom,तालजङ्घ,3,1,https://archive.org/details/dli.ernet.199817/
42,Kingdom,शशबिन्दु,3,1,https://archive.org/details/dli.ernet.199817/
