sentence	gold	id
एक्लिप्स् इति प्रोग्रामर् कृते दोषान्वेषणे अपि साहाय्यं करोति।	Eclipse also helps the programmer to find out errors.	1
विश्वासकारणादेव समभाषि मया वचः। इति यथा शास्त्रे लिखितं तथैवास्माभिरपि विश्वासजनकम् आत्मानं प्राप्य विश्वासः क्रियते तस्माच्च वचांसि भाष्यन्ते।	"""""""We having the same spirit of faith, according as it is written, I believed, and therefore have I spoken; we also believe, and therefore speak;"""""""	2
"""तदा, तत्स्वयं ड्रैवर निमित्तम् अन्वेष्यति। अहं 'Cancel' इत्यस्योपरि नुदामि।"""	Then it will automatically begin searching for drivers. I will click on Cancel.	3
"""सर्वेभ्यः इटरेशन्-अर्थम्, iterator इतीदं प्रत्येकस्मै इण्डेक्स्-वेल्यू-इत्यस्मै सेट् क्रियते । 1,1 पश्चात् 1,2  एवम्…"""	"""The iterator will be set to each of the indices values for each iteration- say, 1 comma 1, then 1 comma 2 and so on."""	4
अपरं द्वितीयमुद्रायां तेन मोचितायां द्वितीयस्य प्राणिन आगत्य पश्येति वाक् मया श्रुता।	"""""""And when he had opened the second seal, I heard the second beast say, Come and see."""""""	5
"""वयम्, ओब्जेक्ट्स् स्वकीयान् स्थितीन्  फील्ड्स् मध्ये स्टोर् कुर्वन्तीति ज्ञातवन्तः ।"""	We know that objects store their individual states in fields.	6
बाल: युष्मासु विश्वासं करोति ।	Boy has belief on you all.	7
प्रकृति का अवलोकन करने से आप आश्चर्य चकित हो सकते है ।	Observing the nature helps create a sense of wonder in you.	8
यूयं कीदृक् तस्याज्ञा अपालयत भयकम्पाभ्यां तं गृहीतवन्तश्चैतस्य स्मरणाद् युष्मासु तस्य स्नेहो बाहुल्येन वर्त्तते।	"""""""And his inward affection is more abundant toward you, whilst he remembereth the obedience of you all, how with fear and trembling ye received him."""""""	9
"""""""वर्षाया: जलस्य कश्चन अंश: भूमौ शुष्को भूत्वा अन्तर्भवति,तदेव एकत्र आगत्य भौमं जलं भवति।"""""""	A part of rain water is absorbedby earth. Water collected under the earth is called undergroundwater.	10
तौ पुस्तकं द्रक्ष्यतः ।	They both are looking at the book.	11
पितामहः ग्रन्थालयात् आगतवान् ।	Paternal grandfather came home from library.	12
"""पुन: उपरितनसीमां प्रति गच्छन्तु । तथा, 0 त:  9 पर्यन्तं ट्याब्-मध्ये   7 उपरि क्लिक् कुर्वन्तु ।"""	"""Go back to the top again and from the tabs 0 to 9, click on the tab 7."""	13
"""align and distribute  डैलाग्-बोक्स् , इण्टर्फेस् इत्यस्य दक्षिणपार्श्वे उघट्यते ।"""	The Align and Distribute dialog box opens on the right side of the interface.	14
ब्रेक्-पोइण्ट् सेट् कर्तुं लैन्-नम्बर् इत्यस्योपरि क्लिक् करोतु ।	"""To set a break point, click on the line number."""	15
"""अस्माभिः Borrowed Books निमित्तं यथा कृतम्, तद्वदेव अत्र कृतम् अस्ति ।"""	This is done in the same way as we did for Borrowed Books.	16
"""""""शास्त्रीय काल को पतंजलि के योग सूत्र, योग की पहली व्यवस्थित प्रस्तुति द्वारा परिभाषित किया गया है ।"""""""	"""""""The classical period is defined by Patanjali's Yoga Sutras, the first systematic presentation of yoga"""""""	17
ताः लताः ।	Those are creepers.	18
"""XAMPP 5.5.19 द्वारा प्राप्तानि Apache, MySQL  तथा PHP च,"""	"""Apache, MySQL and PHP obtained through XAMPP 5.5.19"""	19
"""अत्र वयं, अस्माकं डोक्यूमेण्ट् इत्यस्मै  योग्यां शीर्षिकां दातुं शक्नुमः ।"""	"""Here, we can type a suitable title for our document."""	20
सेना एतान् अनुसरति ।	Small army follows them.	21
1. कोशिका: केषु प्राप्यन्ते	1. cells are found in:	22
लोञ्चर् मध्ये वयं शोर्ट्-कट् संयोजितुं शक्नुमः ।	This is how we can add shortcuts on the Launcher.	23
छद्या: उच्चता एतादृशी भवितव्या येन तस्यां सस्यभण्डारं भवेत तथा गाव: न भक्षितुं शक्नुयात ।	The roof must be high enough so that it cannot be eaten by a cow if it is made of grass or if hay is stored under it.	24
