sentence	gold	id
"""मम प्रियाः देशवासिनः, नमस्कारः।"""	"""My  dear countrymen, Namaskar."""	1
भवन्तः सर्वे lockdown इति सञ्चाररोधे ‘मन की बात’-‘मनोगतं’ शृण्वन्ति।	All of you are tuned into this episode of  ‘Mann Ki Baat ‘during the lockdown.	2
"""अस्य मनोगतस्य कृते सम्प्राप्यमाणा परामर्श-दूरभाषाकारणानां संख्या, सामान्यतः अनेकधा अधिकास्ति।"""	The number of suggestions and phone  calls for this episode is many times the usual.	3
"""अनेकान् विषयान् स्वस्मिन् समाकलय्य, भवतामिदं ‘मनोगतम्’, मम पार्श्वे, आगतम्।"""	"""Matters close to your  heart; your own Mann Ki Baat, comprising a number of issues has reached  out to me."""	4
"""मया प्रयतितं, यदहं एतान् विषयान् अधिकाधिकान् पठेयम्, शृणुयाम् च।"""	"""I’ve tried to the best possible extent to read them, listen  to them."""	5
भवद्भिस्सर्वैः अनुभूतं स्यात् यदनेन संकटकालेन कथं पृथक्-पृथक् विषयेषु अस्माकं दृष्टिः चेतना च जागरिते।	One has come to know of certain aspects which do not get  noticed during the course of this flurry of exigencies.	6
"""नूनं समीहे, यत् सङ्घर्षमयेsस्मिन् काले, प्रसार्यमाणे ‘मनोगते’, तान् एव काँचन् पक्षान्, भवद्भ्यः देशवासिभ्यः सम्विभाजयेयम्।"""	"""I wish to touch  upon and share a few of those aspects with our countrymen in this ‘Mann  ki Baat’, taking place amidst a battle."""	7
"""सखायः, कोरोना-विरोधि भारतीयं युद्धं वस्तुतस्तु people driven- इति जन-सञ्चालितमस्ति।"""	"""Friends,  India’s fight against Corona is people-driven, in the truest sense of  the term."""	8
"""भारते कोरोना-विरोधि युद्धं जनाः सञ्चालयन्ति, भवन्तः प्रवर्तयन्ति, जनैः सम्भूय शासनम्, प्रशासनञ्च सञ्चालयतः।"""	"""In India it is the people who are fighting the Corona; it is  you who are putting up a fight …..along with the people, the government  and the administration are fighting as well."""	9
"""भारत-सदृशः विशालोsयं देशः, यो हि विकासार्थं सततं प्रयतते, निर्धनतां विरुद्ध्य निर्णायक-सङ्घर्षं विदधाति।"""	"""A vast country such as  India, with its proactive endeavor on the path of development is  fighting a decisive battle against poverty."""	10
"""अस्य पार्श्वे, कोरोना-विषाणुना योद्धुं तञ्च जेतुम् अयमेव पन्था।"""	This is the only medium it  possesses to fight the Corona and triumph over it.	11
"""सम्पूर्णेsपि देशे, प्रति-प्रतोली, सर्वत्र, साम्प्रतं जनाः अन्योन्य-साहाय्यार्थम् अग्रेसृताः सन्ति।"""	"""And we are fortunate  that today the whole country; each and every citizen of the country;  every person is a soldier in this battle; nay, leading the battle."""	12
"""भविष्यति काले, यदा एतद्विषयिणी चर्चा भविता, एतद्-प्रतिरोधस्य पद्धति-सम्बद्धा च चर्चा भविता, दृढं विश्वसिमि यत् भारतस्य अस्य जन-सञ्चालितस्य सङ्घर्षस्य चर्चा नूनं भविता।"""	"""In future when it will be dwelt upon in  hindsight; when ways and means will be reflected upon, I do believe that  India’s people driven fight will also be touched upon."""	13
"""सम्पूर्णेsपि देशे, प्रति-प्रतोली, सर्वत्र, साम्प्रतं जनाः अन्योन्य-साहाय्यार्थम् अग्रेसृताः सन्ति।"""	"""Today at each  and every place, in neighbourhood lanes, people have come forward to  help each other."""	14
"""निर्धनानां कृते भोजनम्, भवतु तत् भोजन-सामग्री वा सञ्चार-रोधस्य अनुपालनम्, चिकित्सालयानां व्यवस्था भवतु वा, चिकित्सकीयानाम् उपकरणानां देशे एव निर्माणं स्याद्वा – सम्प्रति पूर्णोsपि देशः, एकमेव लक्ष्यम्, एकामेव दिशम्, संलक्ष्य युगपदेव अग्रेसरति।"""	"""From food for the underprivileged, arranging rations,  ensuring lockdown, arrangements in hospitals to manufacturing medical  equipments indigenously…the entire country is marching ahead together in  the same direction, towards a single common objective."""	15
"""भवतु नाम पुरं वा ग्रामः, एवं प्रतीयते - यथा देशे कश्चन बृहत्तमः महायज्ञः प्रवर्तते, यस्मै स्वीयं योगदानमर्पयितुं प्रत्येकमपि जनः समुत्साही दृश्यते।"""	"""From metropolises to villages, it comes across as a  ’Mahayagya’ being performed in the realm of our national ethos where  every individual is eager to contribute."""	16
"""अस्मदीयान् कृषक भगिनी-भ्रातॄन् एव अवलोकयन्तु – एकतः ते, अस्यां महामार्यां निजक्षेत्रेषु अहर्निशं परिश्रमन्ते, युगपदेव एवमपि चिन्तयन्ति यत् देशे न कश्चन अपि क्षुधितः एव शयीत।"""	"""A case in point are our farmer  brothers and sisters – on the one hand , they are toiling day and night  amidst the scourge of the pandemic; on the other displaying due concern  to ensure that none in the country goes to bed hungry."""	17
"""प्रत्येकमपि, स्वीय सामर्थ्यानुसारं, युद्धमिदं युध्यते।"""	"""Everyone is  putting up a fight, as per one’s capacity and ability."""	18
"""कश्चन स्वीयं भाटकं नैवादत्ते, तर्हि कश्चन नैजं पूर्णमपि सेवानिवृत्ति वेतनम् आहोस्वित् पुरस्कार राशिमेव, PM CARES इति प्रधानमन्त्रिणः कोषाय ददाति।"""	There are some  who are waiving off rent; there are others depositing entire amounts  received through prizes and pension in PM CARES.	19
"""कश्चन स्वीय क्षेत्रस्य सर्वमपि शाकादि जातं दानवृत्या ददाति, तर्हि अपरत्र कश्चन अपरः, प्रतिदिनं सहस्रशो निर्धनेभ्यः निःशुल्कं भोजनं परिवेषयति।"""	Some are donating  vegetables grown on farms; others are feeding a multitude of the under  privileged.	20
"""कश्चन मुखाच्छादकानि निर्माति, कुत्रचिच्च अस्मदीयाः श्रमिकाः भगिनी-भ्रातरो यत्र विद्यालयीय भवनेषु quarantine इति सङ्ग रोधे निवसन्ति, तानि धातु-चूर्णैः लेपयन्ति रञ्जयन्ति च।"""	"""Some are making masks; at places, our construction workers  are whitewashing and painting schools meant for their quarantine stay."""	21
"""प्रत्युत कोटिभिः जनैः वात्यर्थ साहाय्यत्यागः भवेत्, लक्षैः वरिष्ठनागरिकैः रेलयात्रार्थ-साहाय्यत्यागो वा, स्वच्छभारताभियानस्य नेतृत्वं भवेत् ,शौचालय-निर्माणं वा,ईदृशाः अगणिताः विषयाः सन्ति।"""	"""And we have seen in recent years in our  country, this altruistic bent of mind is gaining strength…it could be in  the form of crores of people giving up Gas Subsidy, lakhs of senior  citizen leaving Railway Subsidy, leading the ‘Swachcha Bharat Abhiyan’  or getting toilets constructed …there are innumerable examples."""	22
एतैः वृत्तैः ज्ञायते यद्वयं सर्वे अस्माकं मनांसि चैकेन सुदृढेन सूत्रेण आविष्टाः।	"""All  these are reflective of the fact that we, our minds and hearts have been  intertwined along a common strong thread."""	23
"""मम प्रियाः देशवासिनः, अहं विनम्रतया बह्वादरेण च अद्य त्रिंशदुत्तरैकशतकोटिमितानां देशवासिनां एतद्भावनां शिरसा नमामि।"""	"""My dear countrymen, with utmost  humility and deepest respect, I bow to this sentiment displayed by a  130 crore countrymen."""	24
भवन्तः स्वीयभावनया रुचिपुरस्सरं समयानुसारेण च देशाय किमपि कर्तुमिच्छन्ति चेत्तर्हि सर्वकारेण एतस्य कृते एकं डिजिटल इति अन्तर्जालीयं पटलं उपकल्पितम्।	"""To facilitate your selfless endeavor towards our  country, as per your inclination and time, the government has come up  with a Digital Platform."""	25
"""सर्वकारेण एतत्पटलमाध्यमेन सर्वासामपि सामाजिक-संस्थानां स्वयंसेवकाः, जनसमाजस्य प्रतिनिधयः स्थानीयप्रशासनं च परस्परं सम्बद्धीकृतमस्ति।"""	"""Through the medium of this platform, the  government has linked volunteers of social organizations,  representatives of civil society and local administration with each  other."""	26
अत्यल्पसमये एतत्पटलेन सपादैक-कोटिजनाः संयुक्ताः।	It did not take long for 1.25 crore people to be part of this  portal.	27
"""एतेषु चिकित्सकैः परिचारिकाभिः आशा-ए.एन्.एम्.भगिनीभिः अस्माकम् एन्.सी.सी., अपि च, एन्.एस्.एस्. मित्रैः, भिन्नक्षेत्रेभ्यश्च नैकैः व्यवसायिभिः एषः आत्मीय-पटलत्वेन अंगीकृतः।"""	"""They comprise Doctors, Nurses, ASHA-ANM workers, our friends  from NCC and NSS, professionals from myriad fields…all of them have made  the platform their own."""	28
एते जनाः संकटप्रबन्धनयोजनाकारैः साकं आपूर्तिकार्येषु साहाय्यं कुर्वन्ति।	These people are of immense help at the local  level in preparing Crisis Management Plans and implementing them.	29
भवन्तोऽपि covidwarriors.gov.in इत्येतेन संयुज्य कोविड योद्धृरूपेण देशसेवां कर्तुं पारयन्ति।	You  too can join covidwarriors.gov.in to be a Covid warrior and serve the  country.	30
"""कासाञ्चन संभावनानां मार्गं प्रदर्शयति, केषांचन लक्ष्याणां च दिशासूचनं करोति।"""	"""It paves the way for  further possibilities, shaping the course for newer goals."""	31
अस्यां परिस्थितौ भवद्भिः देशवासिभिः या संकल्पशक्तिः प्रदर्शितास्ति तया भारते नूतनपरिवर्तनस्य समारम्भः जातः।	The strength  of the resolve the countrymen have displayed during the crisis has led  to the beginning of a new transformation too in India.	32
"""अस्माकं व्यवसायाः, कार्यालयाः शिक्षणसंस्थानानि चिकित्साक्षेत्रं च प्रत्येकमपि नूतनं प्राविधिक- परिवर्तनम् अनुसरति।"""	"""Our businesses,  offices, educational institutions, our medical sector are rapidly  advancing towards new operational changes."""	33
प्राविधिकसन्दर्भे तु वस्तुतः प्रतीयते यद्देशस्य प्रत्येकं नवप्रवर्तनकर्ता सद्यः उपस्थापित-परिस्थित्यनुसारेण किमपि नूतनं परिकल्पयति।	"""On the technology front, it  actually seems every innovator in the country is coming up anew with  something or the other amid emerging situations."""	34
"""मित्राणि, देशं यदा एकदलरूपेण कार्यमाचरति तदा किं भवतीति वयमद्यत्वेऽनुभवामः।"""	Friends we are  experiencing the results of the entire country in unison as a team.	35
"""सम्पूर्णेsपि देशे, प्रति-प्रतोली, सर्वत्र, साम्प्रतं जनाः अन्योन्य-साहाय्यार्थम् अग्रेसृताः सन्ति।"""	"""Today, the Central Government, State Governments; each and every  department and institution are working hand in hand for relief at full  speed."""	36
"""अस्माकं वैमानिकक्षेत्रस्य कर्मकराः, रेलविभागीयाः वा कर्मचारिणः, सर्वे अहर्निशं परिश्रमं कुर्वन्ति येन देशवासिनां समस्याः स्वल्पाः भवेयुः।"""	"""People working in the aviation sector, Railway employees are  working day and night to alleviate hurdles confronting our countrymen.."""	37
भवत्सु अत्यल्पेभ्यः एव जनेभ्यः ज्ञातं स्यात् यत् देशस्य प्रत्येकं क्षेत्रे औषधीनां आपूर्तये लाइफलाइनउड़ान नाम्ना एकं विशेषाभियानं प्रचलति।	Many of you might be aware of a special campaign called ‘Lifeline Udan’  undertaken for ensuring supply of medicines to every corner of the  country.	38
अस्माकमेतैः मित्रैः अत्यल्पसमये देशाभ्यन्तरे त्रिलक्ष-किलोमीटर-विमानसंचालनेन पंचशत-टनमितोsप्यधिकानां औषधीनाम् आपूर्तिः अशेषदेशे सम्पादितास्ति।	"""Within a short span of time, our colleagues clocked a flight  distance of three lakh kilometers, delivering over five hundred tons of  medical supplies to you in the farthest corners of the country."""	39
