sentence	gold	id
ὁμοῦ δὲ Κάδμου παισὶν ἀναμεμειγμέναι χλωραῖς ὑπʼ ἐλάταις ἀνορόφοις ἧνται πέτραις .	O O B-PERSON O O O O O O O O O	1
ἥκω Διὸς παῖς τήνδε Θηβαίων χθόνα Διόνυσος , ὃν τίκτει ποθʼ ἡ Κάδμου κόρη Σεμέλη λοχευθεῖσʼ ἀστραπηφόρῳ πυρί ·	O B-GOD O O B-NORP O B-GOD O O O O O B-PERSON O B-PERSON O O O O	2
μορφὴν δʼ ἀμείψας ἐκ θεοῦ βροτησίαν πάρειμι Δίρκης νάματʼ Ἰσμηνοῦ θʼ ὕδωρ .	O O O O O O O B-PERSON O B-GOD O O O	3
ὁρῶ δὲ μητρὸς μνῆμα τῆς κεραυνίας τόδʼ ἐγγὺς οἴκων καὶ δόμων ἐρείπια τυφόμενα Δίου πυρὸς ἔτι ζῶσαν φλόγα , ἀθάνατον Ἥρας μητέρʼ εἰς ἐμὴν ὕβριν .	O O O O O O O O O O O O O B-GOD O O O O O O B-GOD O O O O O	4
αἰνῶ δὲ Κάδμον , ἄβατον ὃς πέδον τόδε τίθησι , θυγατρὸς σηκόν ·	O O B-PERSON O O O O O O O O O O	5
ἀμπέλου δέ νιν πέριξ ἐγὼ ʼκάλυψα βοτρυώδει χλόῃ .	O O O O O O O O O	6
λιπὼν δὲ Λυδῶν τοὺς πολυχρύσους γύας Φρυγῶν τε , Περσῶν θʼ ἡλιοβλήτους πλάκας Βάκτριά τε τείχη τήν τε δύσχιμον χθόνα Μήδων ἐπελθὼν Ἀραβίαν τʼ εὐδαίμονα Ἀσίαν τε πᾶσαν , ἣ παρʼ ἁλμυρὰν ἅλα κεῖται μιγάσιν Ἕλλησι βαρβάροις θʼ ὁμοῦ πλήρεις ἔχουσα καλλιπυργώτους πόλεις , ἐς τήνδε πρῶτον ἦλθον Ἑλλήνων πόλιν , τἀκεῖ χορεύσας καὶ καταστήσας ἐμὰς τελετάς , ἵνʼ εἴην ἐμφανὴς δαίμων βροτοῖς .	O O B-NORP O O O B-NORP O O B-NORP O O O B-NORP O O O O O O B-NORP O B-LOC O O B-LOC O O O O O O O O O B-NORP O O O O O O O O O O O O B-NORP O O O O O O O O O O O O O O O	7
πρώτας δὲ Θήβας τῆσδε γῆς Ἑλληνίδος ἀνωλόλυξα , νεβρίδʼ ἐξάψας χροὸς θύρσον τε δοὺς ἐς χεῖρα , κίσσινον βέλος ·	O O B-LOC O O B-NORP O O O O O O O O O O O O O O	8
ἐπεί μʼ ἀδελφαὶ μητρός , ἃς ἥκιστα χρῆν , Διόνυσον οὐκ ἔφασκον ἐκφῦναι Διός , Σεμέλην δὲ νυμφευθεῖσαν ἐκ θνητοῦ τινος ἐς Ζῆνʼ ἀναφέρειν τὴν ἁμαρτίαν λέχους , Κάδμου σοφίσμαθʼ , ὧν νιν οὕνεκα κτανεῖν Ζῆνʼ ἐξεκαυχῶνθʼ , ὅτι γάμους ἐψεύσατο .	O O O O O O O O O B-GOD O O O B-GOD O B-PERSON O O O O O O B-GOD O O O O O B-PERSON O O O O O O B-GOD O O O O O O	9
τοιγάρ νιν αὐτὰς ἐκ δόμων ᾤστρησʼ ἐγὼ μανίαις , ὄρος δʼ οἰκοῦσι παράκοποι φρενῶν ·	O O O O O O O O O O O O O O O	10
