sentence	gold	id
शत्रुरावणः राजा रावणः मैथिलीं इति उक्त्वा ततः सर्वा राक्षसीर् संदिश्य च निर्जगाम ह	O O B-ASURA O O O O O B-RAKSHASA O O O O	1
राक्षसेन्द्रे निष्क्रान्ते तु पुनर् अन्तःपुरं गते भीमरूपास्ताः राक्षस्यो सीतां समभिदुद्रुवुः	B-ASURA O O O O O O B-RAKSHASA B-HUMAN O	2
ततः क्रोधमूर्छिताः राक्षस्यः सीताम् उपागम्य परं परुषया वाचा वैदेहीम् इदम् अब्रुवन्	O O B-RAKSHASA B-HUMAN O O O O O O O	3
सीते पौलस्त्यस्य वरिष्ठस्य दशग्रीवस्य महात्मनः रावणस्य भार्या त्वम् न बहु मन्यसे	B-HUMAN B-KULA O O O B-ASURA O O O O O	4
ततस् तु एकजटा नाम राक्षसी क्रोधताम्राक्षी करतलोदरीम् सीतां आमन्त्र्य वाक्यम् अब्रवीत्	O O B-RAKSHASA O O O O B-HUMAN O O O	5
षण्णां प्रजापतीनां यः चतुर्थो प्रजापतिः तु ब्रह्मणः मानसो पुत्रः पुलस्त्य इति विश्रुतः	O O O O O O O O O B-HUMAN O O	6
पुलस्त्यस्य मानसः सुतः नाम्ना महर्षिर् विश्रवा नाम स तु प्रजापतिसमप्रभः तेजस्वी	B-HUMAN O O O O B-HUMAN O O O O O	7
विशालाक्षि शत्रुरावणः रावणः तस्य पुत्रो	O O B-ASURA O O	8
ततो मार्जार सदृश ईक्षणा हरिजटा नाम राक्षसी कोपात् नयने विवृत्य वाक्यम् अब्रवीत्	O O O O O O B-RAKSHASA O O O O O	9
येन त्रयस्त्रिंशत् देवाः च देवराजः निर्जितः	O O B-DEVA O B-DEVA O	10
महाबलः राजा रावणः सर्वासां प्रियां महाभागां च बहुमतां भार्या त्यक्त्वा त्वाम् उपैष्यति	O O B-ASURA O O O O O O O O O	11
रावणः सहस्रेण स्त्री समृद्धं नाना रत्न उपशोभितम् अन्तःपुरं समुत्सृज्य त्वाम् उपैष्यति	B-ASURA O B-HUMAN O O O O B-PALACE O O O	12
येन असकृद् युद्धे देवता समरे नाग गन्धर्व दानवाः निर्जिताः	O O O B-DEVA O B-NAGA B-GANDHARVA B-RAKSHASA O	13
ऽधमे तस्य सर्वसमृद्धस्य राक्षसेन्द्रस्य महात्मनः रावणस्य भार्या त्वम् किमर्थं न इच्छसे	O O O O O B-ASURA O O O O O	14
आयतापाङ्गे यस्य भीतो सूर्यो न तपति यस्य च मारुतः न वाति स्म तस्य त्वं किं न तिष्ठसि	O O O B-DEVA O O O O B-DEVA O O O O O O O O	15
सुभ्रु! यस्य भयात् तरवो पुष्प वृष्टिम् च वै यदा इच्छति शैलाश्च जलदाश्च पानीयं मुमुचुर्	O O O B-TREE B-FLOWER O O O O O B-MOUNTAIN O O O	16
भामिनि तस्य नैरृतराजस्य राजराजस्य रावणस्य भार्यार्थे त्वं बुद्धिं हि किं न कुरुषे	O O O O B-ASURA O O O O O O O	17
देवि ते तत्त्वतो साधु कथितं ततः परुषा विकृताननाः राक्षस्यो नार्य सीताम् उपागम्य ताम् परुषं अप्रियम् वाक्यम् ऊचुः	B-HUMAN O O O O O O O O B-RAKSHASA B-HUMAN O O O O O O	18
सीते सर्वभूतमनोहरे महार्ह शयन उपेते अन्तःपुरे वासम् त्वम् किं न अनुमन्यसे	B-HUMAN O O O O B-PALACE O O O O O	19
मानुषी मानुषस्य भार्या एव त्वम् बहु मन्यसे	B-HUMAN O O O O O O	20
रामात् मनो प्रत्याहर त्वं जातु न भविष्यसि	B-HUMAN O O O O O O	21
अनिन्दिते शोभने मानुषी राज्याद् भ्रष्टम् असिद्धार्थं विक्लवं मानुषं तं रामम् तु त्वम् इच्छसि	O O B-HUMAN B-KINGDOM O O O B-HUMAN O B-HUMAN O O O	22
पद्मनिभेक्षणा सीता राक्षसीनां वचः श्रुत्वा अश्रुपूर्णाभ्याम् नेत्राभ्याम् इदं वचनम् अब्रवीत्	O B-HUMAN B-RAKSHASA O O O O O O O	23
संगताः यद् इदं लोकविद्विष्टम् उदाहरथ एतत् किल्बिषं वाक्यं मे मनसि न प्रतितिष्ठति	B-RAKSHASA O O O O O O O O O O O	24
मानुषी राक्षसस्य भार्या न भवितुम् अर्हति	B-HUMAN B-RAKSHASA O O O O	25
रावणचोदिताः राक्षस्यः सीताया वचनं श्रुत्वा क्रोधमूर्छिताः परुषैर् वाक्यै भर्त्सयन्ति स्म	O B-RAKSHASA B-HUMAN O O O O O O O	26
स कपिः हनुमाञ् निर्वाक्यो शिंशपाद्रुमे अवलीनः सीतां संतर्जयतीः ताः राक्षसीर् अशृणोत्	O B-VANARA B-VANARA O B-TREE O B-HUMAN O O B-RAKSHASA O	27
परमक्रुद्धाः परश्वधान् प्रगृह्य आशु च ऊचुः	O B-AXE O O O O	28
इयम् राक्षसाधिपम् रावणं भर्तारं न अर्हति	O O B-ASURA O O O	29
भीमाभी राक्षसीभिर् भर्त्स्यमाना सा वरानना सा बाष्पम् अपमार्जन्ती ताम् शिंशपां उपागमत्	O B-RAKSHASA O O O O O O O B-TREE O	30
ततस् विशालाक्षी शोकपरिप्लुता सीता राक्षसीभिः समावृता ताम् शिंशपां अभिगम्य तस्थौ	O O O B-HUMAN B-RAKSHASA O O B-TREE O O	31
ताः भीमा राक्षस्यः कृशां दीनवदनां मलिनाम्बरधारिणीम् तां समन्तत: भर्त्सयांचक्रिरे	O O B-RAKSHASA O O O O O O	32
ततस् भीमदर्शना कुपिताकारा कराला निर्णतोदरी विनता नाम राक्षसी ताम् अब्रवीत्	O O O O O B-RAKSHASA O O O O	33
सीते भर्तृ स्नेहः निदर्शितः एतावद् पर्याप्तम्	B-HUMAN O O O O O	34
मैथिलि मानुषः विधिः कृतो तु ते परितुष्टा अस्मि ते भद्रं मम ब्रुवन्त्याः पथ्यं वचः अपि कुरु	B-HUMAN O O O O O O O O O O O O O O O	35
सर्व रक्षसाम् भर्तारं विक्रान्तं सुरेशम् इव रूपवन्तं वासवम् च रावणं भर्तारं भज	O B-RAKSHASA O O B-DEVA O O B-DEVA O B-ASURA O O	36
मानुषं कृपणं रामं त्यक्त्वा सर्वस्य प्रियवादिनम् दक्षिणं च त्यागशीलं रावणम् आश्रय	O O B-HUMAN O O O O O O B-ASURA O	37
वैदेहि दिव्य अङ्ग रागा दिव्याभरणभूषिता अद्य प्रभृति सर्वेषां लोकानाम् ईश्वरी भव	B-HUMAN O O O B-ORNAMENT O O O O O O	38
शोभने यथा अग्नेः स्वाहा देवी शची इन्द्रस्य इव	O O B-DEVA B-DEVA O B-DEVA B-DEVA O	39
वैदेहि कृपणेन गतायुषा रामेण ते किं	B-HUMAN O O B-HUMAN O O	40
एतद् च मे उक्तं वाक्यं यदि त्वं न करिष्यसि वयम् सर्वाः अस्मिन् मुहूर्ते त्वा भक्षयिष्यामहे	O O O O O O O O O O O O B-MUHURTA O O	41
अन्या तु लम्बमानपयोधरा विकटा नाम कुपिता मुष्टिम् उद्यम्य गर्जती सीतां अब्रवीत्	O O O B-RAKSHASA O O O O O B-HUMAN O	42
सुदुर्मते मैथिलि तव बहूनि अप्रतिरूपाणि वचनानि अनुक्रोशात् मृदु च त्वात् सोढानि	O B-HUMAN O O O O O O O O O	43
मैथिलि आनीता असि समुद्रस्य पारम् रावणस्य घोरं अन्तःपुरम् प्रविष्टा असि च अन्यैर् दुरासदम्	B-HUMAN O O B-SEA O B-ASURA O B-PALACE O O O O O	44
रावणस्य गृहे रुद्धा तु अस्माभिः सुरक्षिता त्वां परित्रातुम् साक्षात् पुरंदरः अपि न शक्तः	B-ASURA B-HOUSE O O O O O O O B-DEVA O O O	45
मैथिलि हित वादिन्याः मम वचनं कुरुष्व	B-HUMAN O O O O O	46
सीते त्यज नित्य दैन्यताम् भज प्रीतिं प्रहर्षं च राक्षसराजेन सह यथासुखम् क्रीड	B-HUMAN O O O O O O O B-RAKSHASA O O O	47
मदिरेक्षणे त्वं राक्षसराजेन सह उद्यानानि च रम्याणि पर्वत च उपवनानि चर	O O O O B-GARDEN O O B-MOUNTAIN O B-FOREST O	48
सर्व रक्षसाम् भर्तारं रावणं भर्तारं भज	O O O B-ASURA O O	49
मैथिलि मे व्याहृतं वाक्यं यदि यथावत् न करिष्यसि ते हृदयं उत्पाट्य वा भक्षयिष्यामि	B-HUMAN O O O O O O O O O O O O	50
ततस् क्रूरदर्शना चण्डोदरी नाम राक्षसी महत् शूलम् भ्रामयन्ती इदं वचनम् अब्रवीत्	O O B-RAKSHASA O O O B-ASTRA O O O O	51
रावणेन हृतां हरिणलोलाक्षीं त्रास उत्कम्प पयोधराम् इमां दृष्ट्वा मे महान् दौर्हृदो अभूत्	B-ASURA O O O O O O O O O O O	52
ततस् तु प्रघसा नाम राक्षसी वाक्यम् अब्रवीत्	O O B-RAKSHASA O O O O	53
ततो राज्ञे निवेद्यतां ह सा मानुषी मृता इति	O B-ASURA O O O B-HUMAN O O	54
ततस् तु अजामुखी नाम राक्षसी वाक्यम् अब्रवीत्	O O B-RAKSHASA O O O O	55
ततः शूर्पणखा नाम राक्षसी वाक्यम् अब्रवीत्	O B-RAKSHASA O O O O	56
अजामुख्या यद् उक्तं तद् एव मम हि रोचते	B-RAKSHASA O O O O O O O	57
सर्वशोकविनाशिनी सुरा च क्षिप्रं आनीयताम्	O B-VINE O O O	58
मानुषं मांसम् आसाद्य ऽथ निकुम्भिलाम् नृत्यामो	B-HUMAN O O O B-DEVA O	59
सुघोराभिर् राक्षसीभिः एवं संभर्त्स्यमाना सुरसुतोपमा सा सीता धैर्यम् उत्सृज्य रोदिति	O B-RAKSHASA O O O O B-HUMAN O O O	60
भीरु जानासि हि यथा स्त्रीणां यौवनम् अध्रुवम् यावत् ते न व्यतिक्रामेत् तावत् सुखम् अवाप्नुहि तासां असौम्यानां राक्षसीनाम् परुषं दारुणं वदन्तीनां तथा जनकात्मजा बहु रुरोद	B-HUMAN O O O O O O O O O O O O O O O B-RAKSHASA O O O O B-HUMAN O O	61
राक्षसीभिर् एवम् उक्ता तु परमत्रस्ता मनस्विनी वैदेही बाष्प गद्गदया गिरा उवाच	B-RAKSHASA O O O O O O O O O O	62
मानुषी राक्षसस्य भार्या न भवितुम् अर्हति	B-HUMAN B-RAKSHASA O O O O	63
राक्षसीमध्यगता सुरसुतोपमा सा सीता रावणेन तर्जिता च दुःखार्ता शर्म न लेभे	O O O B-HUMAN B-ASURA O O O O O O	64
वने यूथपरिभ्रष्टा कोकैर् अर्दिता मृगी इव सीता आत्मनः अङ्गम् विशती इव अधिकम् वेपते स्म	B-FOREST O O O O O B-HUMAN O O O O O O O	65
शोकेन भग्नमानसा सा तु अशोकस्य विपुलां पुष्पिताम् शाखाम् आलम्ब्य भर्तारं चिन्तयामास	O O O O B-TREE O O O O O O	66
प्रवाते वेपमाना कदली यथा सा राक्षसीनां भयत्रस्ता पतिता विवर्ण वदना अभवत्	O O B-TREE O O B-RAKSHASA O O O O O	67
