ID	QUESTION	ANSWER	CHOICES
1	श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामन्याख्यातु।	नलनीलौ; नीलनलौ	
2	येन विमानेन श्रीरामः सीतालक्ष्मणाभ्यां सहितः लङ्कातः अयोध्यामागच्छत्, तस्य किं नाम आसीत् ?	पुष्पकम्; पुष्पकविमानम्	
3	हनुमान् लक्ष्मणस्य मूर्च्छानिवारणाय लङ्कायाः यं प्रसिद्धं वैद्यमानयत्, तस्य नाम किम् ?	सुषेणः	
4	लक्ष्मणस्य मूर्च्छायाः दूरीकरणाय हनुमान् याम् औषधिम् आनयत् तस्य किं नाम आसीत् ?	सञ्जीवनी	
5	राज्ञः जनकस्य किं मूलं नाम आसीत् ?	सीरध्वजः	
6	या कैकेयीं रामस्य वनवासः तथा भरतस्य कृते राजसिंहासनं एष्टुं मन्त्रितवती कैकेय्याः तस्याः दास्याः नाम किम् ?	मन्थरा	
7	वाल्मीकि-रामायणस्य रचना यस्मिन् छन्दसि जाता तस्य किं नाम आसीत् ?	अनुष्टुप्	
8	यस्य कथनात् श्रीरामः सीतां परित्यक्तवान् तस्य गुप्तचरस्य नाम किम् ?	दुर्मुखः	
9	कैकेय्याः दायविवाहेन सह या दासी आगता तस्याः किं नाम आसीत् ?	मन्थरा	
10	यस्य्मिन् तीर्थक्षेत्रे निमज्जनं कृत्वा श्रीरामः परमं धाम प्रस्थितवान् तस्य तीर्थस्य किं नाम आसीत् ?	गोप्रतारः	
11	महर्षेः विश्वामित्रस्य क्षत्रियावस्थायाः किं नाम आसीत् ?	विश्वरथः	
12	वालिसुग्रीवयोः उत्पत्तिः यास्मात् वानरात् अभवत् तस्य किं नाम आसीत् ?	ऋक्षरजाः	
13	रामायणकालीनसरयूनद्याः वर्तमानं नाम किं अस्ति ?	घाघरा	
14	समुद्रे निवसन्त्याः तस्याः नागमातुः किं नाम आसीत् या हनुमतः समुद्रलङ्घनम् अवारयत्, तं ग्रसितुं उद्धता च आसीत् ?	सुरसा	
15	राज्ञः दशरथः पुत्रोत्पत्तये यं यज्ञं कृतवान् तस्य किं नाम आसीत् ?	पुुत्रेष्टिः; पुत्रेष्टियज्ञः; पुत्रकामेष्टिः	
16	राज्ञः जनकस्य पुरोहितस्य किं नाम आसीत्?	शतानन्दः	
17	महर्षेः विश्वामित्रस्य तपः या अप्सराः विखण्डितवती तस्या: किं नाम आसीत्?	मेनका	
18	श्रीरामः येषां वृक्षाणाम् आच्छादनम् आदाय वानरराजं वालिनं जघान, तेषां वृक्षाणां किं नाम आसीत्?	सालाः; सालवृक्षाः	
19	राज्ञः जनकस्य कनिष्ठभ्रातुः किं नाम आसीत्?	कुशध्वजः	
20	शत्रुघ्नस्य पुरोहितस्य किं नाम आसीत्?	काञ्चनः	
21	रामायणं येन युगेन सह सम्बद्धः सः केन नाम्ना प्रसिद्धः अस्ति ?	त्रेतायुगेन	
22	समुद्रमन्थनात् यः अश्वः निर्गतः तस्य नाम किम् आसीत् ?	उच्चैःश्रवाः	
23	अशोकवाटिकायाः द्वितीयं नाम किम् आसीत्?	प्रमदावनम्	
24	महर्षेः वाल्मीकेः बाल्ये किं नाम आसीत्?	रत्नाकरः	
25	तस्य महर्षेः किं नाम यस्य विषये उक्तं यत् स जीवनस्य पूर्वार्धे दस्युः आसीत्?	वाल्मीकिः	
26	तस्य हस्तिनः नाम किं यं सगरपुत्राः पृथ्वीं धारयन्तम् अपश्यन्?	विरूपाक्षः	
27	लङ्कादाहात् अनन्तरं हनुमान् यं पर्वतं आरुह्य समुद्रं उल्लङ्घ्य पुनरागतवान्, तस्य किं नाम आसीत्?	अरिष्टः; अरिष्टपर्वतः	
28	महर्षेः वसिष्ठस्य धेन्वाः किं नाम आसीत्?	सुरभिः; कामधेनुः	
29	अवधीभाषायां विरचितस्य रामायणस्य नाम किम् ?	रामचरितमानसम्	
30	कुबेरस्य सेनापतेः किं नाम आसीत्?	मणिभद्रः	
31	देवासुरैः यस्य सागरस्य मन्थनं कृतं तस्य किं नाम आसीत्?	क्षीरोदसागरः; क्षीरोदः; क्षीरसागरः	
32	सेतुनिर्माणसमये श्रीरामः यस्य शिवलिङ्गस्य स्थापम् अकरोत् तस्य किं नाम अस्ति ?	रामेश्वरः	
33	विभीषणस्य सः अनुचरः कः आसीत् यः पक्षिरूपं धृत्वा लङ्कां गत्वा रावणस्य रक्षाव्यवस्थां सैन्यशक्तिं च अन्विष्टवान्?	अनलः	
34	यः सर्वपर्वतानां राजा अस्ति तस्य पर्वतस्य किं नाम अस्ति?	हिमालयः	
35	रामायणस्य प्रथमकाण्डस्य किं नाम अस्ति?	बालकाण्डम्	
36	रामायणस्य अन्तिमकाण्डस्य नाम किम् अस्ति?	उत्तरकाण्डम्	
37	तस्य गजस्य किं नाम यः स्वेतवर्णीयः आसीत्?	ऐरावतः	
38	लक्ष्मणस्य मूर्च्छामोचनाय वैद्यः यम् ओषधिम् आनेतुम् उक्तवान् तस्य नाम किम् आसीत् ?	सञ्जीवनी	
39	तृतीयस्य प्रजापतेः किं नाम अस्ति?	शेषः	
40	तस्य ब्राह्मणस्य किं नाम आसीत् यं श्रीरामः अवदत् सः यावद्दुरं स्वदण्डं क्षेप्स्यति तावतां गवां लाभः भविष्यति ?	त्रिजटः	
41	कुबेराय ब्रह्मा यं विमानं दत्तवान् तस्य नाम किम् आसीत् ?	पुष्पकम्	
42	कस्य देवस्य एकं नाम 'सर्पमाली' अस्ति?	शिवस्य	
43	कं ऋषिं समुद्रचलुकः इति कथयन्ति ?	अगस्त्यम्	
44	पूर्वजन्मनि रावणस्य नाम किम् आसीत्?	प्रतापभानुः	
45	राज्ञः निमेः राजधानिनाम किम्?	वैजयन्तः	
46	कस्य देवस्य एकं नाम 'स्थाणुः' अस्ति?	शिवस्य; रुद्रस्य	
47	या मणिः समुद्रमन्थनात् उत्पन्ना तस्याः नाम किम्?	कौस्तुभः; कौस्तुभमणिः	
48	नलकूबरः यस्याम् अप्सरसि आसक्तः आसीत् तस्याः नाम किम्?	रम्भा	
49	हनुुमान् यदा अशोकवाटिकायां सीतया सह मेलितुम् अगच्छत् तस्मिन् समये सः यस्मिन् वृक्षे गुप्तवान् तस्य नाम किम् आसीत् ?	अशोकः	
50	इन्द्रस्य प्रसिद्धगजस्य नाम किम् ?	ऐरावतः	
51	कुबेरस्य गजस्य किम् नाम?	पुष्पकर्णः	
52	यमस्य गजस्य किम् नाम?	महापद्मः	
53	वरुणस्य गजस्य किम् नाम?	सौमनसः	
54	तस्य समुद्रस्य किम् नाम यस्य जलं रक्तवर्णीयम् आसीत्?	लोहितसागरः; लोहितः	
55	श्रीरामादीनाम् चतुर्णां भ्रातॄणां विवाहकर्म यः ऋषिः अकुरुत तस्य किम् नाम?	वसिष्ठः	
56	यः महर्षिः श्रीरामस्य दुःखपूर्णजीवनस्य भविष्यकथनम् अकरोत् तस्य किम् नाम?	दुुर्वासाः	
57	यः काकः गरुडाय रामकथां अश्रावयत् तस्य किम् नाम?	काकभुशुण्डिः	
58	अमरावती कस्य पुर्याः नाम आसीत्?	इन्द्रस्य	
59	अश्वमेधयज्ञस्य अश्वस्य मस्तके यत् पत्रं बध्यते तस्य किम् नाम?	जयपत्रम्	
60	शत्रुणा प्रयुक्तम् अस्त्रं निष्फलीकर्तुं यः विधिः तस्य नाम किम् ?	रभसः	
61	तस्य राक्षसस्य किं नाम आसीत् यः रावणं सीतायाः हत्यां मा कुरु इति बोधितवान् ?	सुपार्श्वः	
62	समुद्रमन्थनात् यत् भीषणं विषं निर्गतं तस्य नाम किम् ?	हलाहलम्; हालाहलम्  	
63	समुद्रमन्थनाय यः पर्वतः मथनीकृतः, तस्य नाम किम्?	मन्दरः	
64	रामायणस्य प्रमुखतमस्य काण्डस्य नाम किम्?	युद्धकाण्डम्	
65	रामायणस्य लघुतमस्य काण्डस्य नाम किम्?	अरण्यकाण्डम्	
66	राजा जनकस्य सः मन्त्री कः आसीत् यः जनकस्य आज्ञया राजानं दशरथं आह्वातुं अयोध्यां गतः?	सुदामा	
67	तस्य सरोवरस्य किं नाम आसीत् यः योजनपरिमितः दीर्घः तावदेव विस्तृतः च ?	पञ्चाप्सरः; पञ्चाप्सरस्सरः	
68	सः पर्वतः कः आसीत् यस्य शिखराणि शतम् आसन्, यः सिंधुसमुद्रयोः सङ्गमे स्थितः आसीत्?	हेमगिरिः; हेमकूटः	
69	अष्टमस्य वसोः नाम किम्?	सावित्रः	
70	रावणेन सुग्रीवस्य समीपं प्रेषितः दूतः कः आसीत् ?	शुकः	
71	तस्य वानरयूथपतेः नाम किम् आसीत् यः काषायः इव रक्तवर्णीयः आसीत् ?	गवयः	
72	तस्य वानरयूथपतेः नाम किम् आसीत् यः रजतम् इव शुभ्रः आसीत् ?	श्वेतः	
73	तस्य ग्रहस्य किं नाम यः यथासमयं सूर्यचन्द्रयोः ग्रहणं करोति?	राहुः	
74	कस्य मन्त्रिणः नाम प्रभावः आसीत् ?	सुग्रीवस्य	
75	रामायणकालीनाः काश्याः अद्यतनीयं नाम किम् ?	वाराणसी	
76	रामायणकालीनस्य लवपुरस्य अद्यतनीयं नाम किम् ?	लाहौरः; लाहोरः	
77	रामायणकालीननगरी मधुपुरी इत्यस्याः अद्यतनीयं नाम किम् ?	मथुरा	
78	मारुत इति कस्याः देवतायाः नाम अस्ति ?	वायोः; वायुदेवतायाः	
79	इन्द्रस्य प्रसिद्धस्य उद्यानस्य नाम किम् ?	नन्दनम्; नन्दनवनम्	
80	इन्द्रस्य सारथेः नाम वदतु।	मातलिः	
81	तस्याः गन्धर्व्याः नाम किं या स्वस्य  तिसॄणां पुत्रीणां  विवाहं माल्यवान्, सुमाली माली चेत्येतैः अकारयत् ?	नर्मदा	
82	तस्य वानरस्य किं नाम यः एकस्मिन् सरोवरे आत्मच्छायां दृष्ट्वा तेन सह युद्धाय अकूर्दत, स्त्री अभवच्च ?	ऋक्षराजः	
83	मेघनादः यस्याः देव्याः पूजां करोति स्म तस्याः नाम किम् आसीत् ?	निकुम्भिला	
84	हनुमतः जननी पूर्वजन्मनि आप्सराः आसीत्, अप्सरारूपेण तस्याः नाम किम् आसीत्?	पुञ्जिकस्थला	
85	लक्ष्मणस्य मूर्च्छायाः दूरीकरणाय हनुमान् यं पर्वतं औषधिसहितं उन्नीय आनयत् तस्य नाम किम्?	द्रोणगिरिः; द्रोणः	
86	सीतायाः अन्वेषणं कुर्वन् लङ्कां प्राप्य हनुमान् यं विमानम् अपश्यत् तस्य नाम किम्?	पुष्पकम्	
87	तस्याः राक्षस्याः किं नाम या उपलङ्कां समुद्रे अवसत् उड्डयमानान् जीवाञ्च आकृष्य खादति स्म ?	सिंहिका	
88	कुब्जा एतासु कस्याः नाम आसीत्?	मन्थरा	 कैकेयी / मन्थरा / सुलोचना / मन्दोदरी
89	लङ्कायां रक्षसानां कुलदेवतायाः यत् स्थानं तस्य नाम किम्?	चैत्यप्रासादः	
90	रामायणमहाकाव्यस्य द्वितीयं नाम किम् आसीत्?	पौलस्त्यवधः; पौलस्त्यवधम्	
91	श्रीरामेण वालिवधार्थम् वालिना सह युद्धं कुर्वाणः सुग्रीवः यां मालाम् अधरत् तस्य नाम किम्?	गजपुष्पी	
92	श्रीरामं वनात् प्रत्यावर्तयितुं गच्छन् यया भरतः नौकया गङ्गां तीर्णवान् तस्याः नाम किम्?	स्वस्तिकः	
93	अद्यतन्याः व्यासनद्याः रामायणकाले किं नाम आसीत्?	विपाशा	
94	तस्य धनुषः नाम किं यत् महर्षिः परशुरामः श्रीरामं (सीतास्वयम्वरे) यस्मिन् बाणसन्धानं कर्तुं समाहूतवान्?	वैष्णवधनुः	
95	उत्तरकुरुषु स्थितस्य कुबेरोपवनस्य नाम किम्?	चित्ररथम्	
96	कलहप्रियः कस्य नाम आसीत्?	नारदः	
97	तस्य यज्ञस्य नाम किम् यः 'पवित्रनामकेन' सोमयज्ञेन आरभ्यते 'सौत्रामणिना' च समाप्यते?	राजसूयः	
98	रावणस्य कुलस्य सः योद्धा कः यः रामरावणयोः युद्धे श्रीरामस्य पक्षे अयुद्ध्यत?	विभीषणः	
99	सः कः वीरः यः रावणं कारागारं नीत्वा बद्धवान् (रावणस्य) पितामहस्य निवेदनाच्च तं मुक्तवान्?	सहस्रार्जुनः	
100	सः कः वीरः यः रावणं षण्मासान् यावत् स्वकक्षे अस्थापयत्?	वाली	
101	ऋषिः विश्वामित्रः यदा राजा दशरथस्कृय सविधे  श्रीरामं लक्ष्मणं च याचितुम् आगतवान् तदा अस्मिन्नवसरे दशरथः बहुषु तर्केषु ऋषये कति अवस्थाः उक्तवान्?	षष्ठीसहस्रम्	
102	लक्ष्मणम्, हनुमन्तं, भरतं, शत्रुघ्नं च युद्धे कौ द्वौ भ्रातरौ पराजितवन्तौ?	लवकुशौ	
103	कुंभकर्णस्य शयनाय रावणेन यद् गृहं निर्मापितं तत् कियद् दीर्घं विस्तीर्णं चासीत्?	योजनद्वयं दीर्घं योजनं च विस्तीर्णम्; दीर्घं द्वियोजनं विस्तीर्णं चैकयोजनम्	
104	सः कः राक्षसः यः एकस्मिन् पर्याये षड् मासान् यावत् निद्राति स्म?	कुम्भकर्णः	
105	रावणः कं प्रसादयितुं स्वस्य दश शिरांसि समर्पितवान्?	ब्रह्माणम्	
106	सः कः यः मातरं विना एव केवलं पित्रा जनितः आसीत्?	मिथिः	
107	एतेषु कः एकपादस्थः पञ्चसहस्रवर्षाणि तपः अकरोत्?	विभीषणः	 शंबूकः / दशरथः / विभीषणः / सुग्रीवः
108	सीताहरणात् प्राक् कः सुवर्णमृगस्य रूपं धृत्वा आगच्छत्?	मारीचः	
109	कः शिलारूपायाः अहल्यायाः उद्धारं कृतवान्?	श्रीरामः; रामः	
110	सः कः महर्षिः यः पितुः आज्ञाय मातुः शिरः छिन्नवान्?	परशुरामः; जामदग्न्यः	
111	सः कः महर्षिः यः सम्पूर्णसमुद्रजलं चुलुकीकृत्य अपिवत्?	अगस्त्यः	
112	शूर्पणखायाः राक्षस्याः नासिका कर्णौ च कः छिन्नवान्?	लक्ष्मणः	
113	सः कः महर्षिः यः क्षत्रियोऽपि तपसा ब्रह्मर्षिषु परिगणितः?	विश्वामित्रः	
114	कः सः राजा आसीत् यं महर्षिः विश्वामित्रः सशरीरं स्वर्गं प्रेषयन् आसीत्?	त्रिशङ्कुः	
115	एतेषु कः सूर्यं फलमिति मत्वा खादितुं तत्र गतः?	हनुमान्	 जाम्बवान् / सुरसा / हनुमान् / कालनेमिः
116	सः कः महर्षिः यः स्वस्य पत्न्यै प्रस्तरशिला भवितुं शापं अददात्?	गौतमः	
117	सः कः ऋक्षः यं ब्रह्मा जृम्भनात् असृजत्?	जाम्बवान्	
118	श्रीरामस्य राज्याभिषेके एतेषु कः पञ्चशतस्य नदीनां जलम् आनयत्?	जाम्बवान्	 नीलः / सुग्रीवः / जांबवान् / नलः
119	का सा राक्षसी या रावणस्य निराकरणे सति सीतां खादितुं भर्त्सितवती?	प्रघसा	
120	सः कः ऋषिः यः क्रुद्धः भूत्वा गङ्गायाः सर्वं जलम् अपिवत्?	जह्नुः	
121	सः कः यः स्वपितुः आज्ञया तस्य वृद्धत्वं स्वीकृत्य स्वं यौवनं तस्मै दत्तवान्?	पूरुः	
122	सः कः ऋषिः यः स्वपितुः आज्ञया गवां संहारम् अकरोत्?	कण्डुः	
123	अश्विनिकुमारौ कं ऋषिं ओषध्या वृद्धं युवानम् कृतवन्तौ ?	च्यवनम्	
