ID	QUESTION	ANSWER	OPTIONS	LLM_Answers	LLM_Answers_append
1	श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामन्याख्यातु।	नलनीलौ; नीलनलौ		श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामनी अङ्गदः नीलश्च; नलः नलः; नीलनलः; रामायणे श्रीरामस्य सेनायाः द्वौ अभियन्तृवानरौ हनुमानः तथा नलः इत्युक्तौ; नलनीलौ; नल नील; हनुमान् अङ्गदः; अनामयः नील; सुग्रीवहनूमन्तौ; नलः सुग्रीवश्च  नलः वानरसेनायाः महान् शिल्पी आसीत् यः सेतुनिर्माणे प्रमुखभूम; श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामन्याख्यातु; श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामान्याख्यातव्यानि; हनुमानः सुग्रीवः; वानरयोः नामानि हनुमान् नलः; सुग्रीवः; नलः नीलः; श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामानि हनुमत् और; अङ्गदः; हनुमान्नलश्च; श्रीरामस्य सेनायाः द्वयोः प्रमुखयोः अभियन्तृवानरयोः नामनी स्तः  नलः सुग्रीवश्; नलगजौ; हनुमानअङ्गदौ; न तौ अभियंता किन्तु सेनापतौ  हनूमतः अङ्गदस्य च; नलेन सुग्रीवेण च; सुग्रीवः वानरराजः च विभीषणः राक्षसराजः च; अंगदः नीलः च; अंगदः हनुमान् च; भल्लातक और नल; श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामानि  सुग्रीवः च हनुमानः; अभियन्तृवानराणां नामानि सुग्रीवः तथा नलः; सुग्रीवः एव एकः अभियन्तावान्; श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामन्याख्यातु  उत्तरम्  श्रीरामस्य सेनायाः द्वौ अभियन्तृवानरौ नलः तथा नीलः इति  स; अङ्गदः हनुमान्; हनुमान सुग्रीव; मैन्दद्विविदौ; नीलः नलः; नीलनलौ; निलः नीलश्च; अङ्गदः हनुमान् च	
2	येन विमानेन श्रीरामः सीतालक्ष्मणाभ्यां सहितः लङ्कातः अयोध्यामागच्छत्, तस्य किं नाम आसीत् ?	पुष्पकम्; पुष्पकविमानम्		श्रीरामस्य विमानं पुष्पकं आसीत्; अस्माभिः प्रदत्तोऽयं प्रश्नः रामायणे विषयः अस्ति यतः विम; पुष्पकेण; पुष्पकः    विभीषणेन भेटरूपेण दत्तः आसीत्; विमानस्य नाम पुष्पकं आसीत्; पुष्पकम्  पुष्पक विमानस्य नाम आसीत् येन श्रीरामः सीतालक्ष्मणाभ्यां सहितः लङ्कातः अयोध्यामागच्छत्   संदर्भः   रामायणम् यु; विमानेन; पुष्पक; पुष्पकविमानम्; पुष्पकः   विभीषणेन दत्तः आसीत्; पुष्पकम्; पुष्पकविमानेन; येन विमानेन श्रीरामः सीतालक्ष्मणाभ्यां सहितः लङ्कातः अयोध्यामागच्छत् तस्य किं नाम आसीत्; Pushpak विमानम्; वानरवाहिनी; पुष्पक विमानम्; पुष्पकः; सुविमानः; वानरविमाने; तस्य विमानस्य नाम Pushpaka Vimana आसीत्; तस्य विमानस्य नाम पुष्पकविमानम् आसीत्; पुष्पकः  विभीषणेन प्रदत्तः आसीत्	
3	हनुमान् लक्ष्मणस्य मूर्च्छानिवारणाय लङ्कायाः यं प्रसिद्धं वैद्यमानयत्, तस्य नाम किम् ?	सुषेणः		सर्वरोगहरः       This is just one example of how I can be used I can be used for a variety of tasks including   Translating text from one language to another  Writing different kinds of creative content like poems; सुषेणः  हनुमान् लङ्कातः सुषेणं नाम वैद्यम् आनयत् लक्ष्मणस्य मूर्च्छानिवार; सत्यसंधः; संजीवनी; उत्तरम् सुषेणेन; सुषेणः; संजीवनीम् हनुमान् लक्ष्मणस्य जीवनरक्षणाय संजीवनीं आनीतवान्; सञ्जीवनीम्  हनुमान् लक्ष्मणस्य प्राणरक्षणार्थम् सञ्जीवनीं आनीतवान्; सुषेण; संजीवनीम् लक्ष्मणस्य प्राणरक्षणार्थम्; हनुमान् लक्ष्मणस्य मूर्च्छानिवारणाय लङ्कायाः यं प्रसिद्धं वैद्यमानयत् तस्य नाम कङ्कणम्; हनुमान् लक्ष्मणस्य मूर्च्छानिवारणाय संजीवनीभूति नाम वैद्यं आनयत्; सुग्रीव; हनुमान् लक्ष्मणस्य मूर्च्छानिवारणाय लङ्कायाः यं प्रसिद्धं वैद्यमानयत् तस्य नाम किम्   सुषेणः; हनुमानः सुषेणः इति प्रसिद्धः वैद्यः लङ्कायाः मूर्च्छानिवार; महाकश्यपः; हनुमानः लक्ष्मणस्य मूर्च्छानिवारणाय लङ्कायाः सुषेणं वैद्यं; हनुमान् लक्ष्मणस्य मूर्च्छानिवारणाय लङ्कायाः यं प्रसिद्धं वैद्यमानयत् तस्य नाम वैद्याधरः अस्ति; हनुमान् लक्ष्मणस्य मूर्च्छानिवारणाय लङ्कायाः यं प्रसिद्धं वैद्यमानयत् तस्य नाम किम्; सुरपन; हनुमानः लक्ष्मणस्य मूर्च्छानिवारणाय लङ्कायाः प्रसिद्धं वैद्य; सिद्धिविनायकः	
4	लक्ष्मणस्य मूर्च्छायाः दूरीकरणाय हनुमान् याम् औषधिम् आनयत् तस्य किं नाम आसीत् ?	सञ्जीवनी		; औषधिकरणी नाम आसीत्; सुवर्णनखः; संजीवनी; संजीवनीम्   तया औषध्या एव लक्ष्मणः पुनर्जीवितः अभवत्; हनुमान् लक्ष्मणस्य मूर्च्छायाः दूरीकरणाय विशल्यकरणी नाम औषधिम् आनयत्; हनुमान् याम् औषधिम् आनयत् तस्य नाम सुषेणः आसीत्; सञ्जीवनी औषधिः; हनुमान् लक्ष्मणस्य मूर्च्छायां दूरीकरणाय सुलोचनं नाम्ना वानर; हनुमान् तस्य नाम वानरेश्वरः आसीत्; सञ्जीवनी; विशल्यकरणी; विशल्याकरणीम्; सञ्जीवनीम्; सीतातृतीयानारूढान्दृष्ट्वा धृष्टमचोदयत् सुमन्त्रः संमतानश्वान्वायुवेगसमाञ्जवे २०३५०१४ प्रयाते तु महारण; उत्तरम्  विशल्यकरणी   व्याख्या  सुग्रीवः हनुमते लक्ष्मणस्य मूर्च्छायाः दूरीकरणाय विशल्यकरणी नाम औषधिम् आनयितुम् आदेशम् अयच्छ; संजीवनीम्; संजीवनी वृक्षस्य फलम्; सञ्जीवनी   सञ्जीवनीम्  अहं आनयत्    सर्वे  जना  ततः प्राणा लब्धा  ते अभवन्	
5	राज्ञः जनकस्य किं मूलं नाम आसीत् ?	सीरध्वजः		जनकः राजा आसीत्; निमिः; सीरध्वजः; जनकस्य मूलं नाम सुधन्वा आसीत्; शिरध्वज; मिथि; मिथिर्नाम; जनकस्य मूलं नाम नन् आसीत् जनकस्य मूलं नाम मिथिला नाम्नी नगरी; उत्तरम् सीरध्वजः; राज्ञः जनकस्य मूलं नाम आसीत् कौशिकम्; मूलं नाम आसीत्  विदेहः; देवहूति; जनक; जनकस्य मूलं नाम सुव्रत आसीत्; शिराध्वजः; देवरात   देवरातः जनकस्य कुलस्य राजतन्त्रस्य वंशस्य मूलम् आसीत्  अयोध्यायाः राज्ञः दशरथस्य मित्रम् सः आसीत्  सः यज्ञशालायाः; सीरध्वजः  राज्ञः जनकस्य मूलं नाम सीरध्वजः आसीत् अयं जनकः सीतायाः पिता आसीत्; जनक   Please note   The answer is in Hindi   The answer is a single word  The answer is not a paragraph   The answer is the name of a person; मैथिलः; राज्ञः जनकस्य मूलं नाम उदावसुः आसीत्; सिता; राज्ञः जनकस्य किं मूलं नाम आसीत्    राज्ञः जनकस्य किं मूलं नाम आसी; निमि; विदेहः; सीता; उत्तरम्  निमिः   व्याख्या  राज्ञः जनकस्य मूलं नाम निमिः आसीत् एतत् रामायणस्य बालकाण्डे १७०३ स्पष्टतया उल्लिखितम् अस्त; सीता  अस्याः नाम जनकस्य अपि पित्र्याः नाम आसीत्  रामस्य च पत्नी; जनकस्य मूलं नाम जनक एव आसीत्; मिथिलः; सीरध्वजः  जनकस्य मूलं नाम सीरध्वजः आसीत् जनकः इति तस्य उपनामम् स विदेहराज्यस; मिथिः; मिथिला; राज्ञः जनकस्य किं मूलं नाम आसीत्; जनकस्य मूलं नाम मिथिला नाम्नी नगरी आसीत्; राज्ञः जनकस्य मूलं नाम मिथि आसीत्; सीरध्वज इति राज्ञः जनकस्य मूलं नाम आसीत्	
6	या कैकेयीं रामस्य वनवासः तथा भरतस्य कृते राजसिंहासनं एष्टुं मन्त्रितवती कैकेय्याः तस्याः दास्याः नाम किम् ?	मन्थरा		; कैकेयीं मन्त्रितवती दास्याः नाम मंञलिका; मण्डोदरी; कैकेय्याः दास्याः नाम मन्थरा इति; कैकेयीं रामस्य वनवासः तथा भरतस्य कृते राजसिंहासनं एष्टुं मन्त्रितवती कैकेय्याः दास्याः नाम मन्दारा अस्ति; मन्थरा  कैकेयी रघुकुलस्य गरिमां न ज्ञात्वा मन्थरायाः कुवाक्यैः प्रभाविता; मंथरा  Manthara; कैकेय्याः दास्याः नाम श्रुत्वा ते शूर्पणखा इत्येवान्वविच्यन; मंथरा; मैन्दाकिनी; कैकेय्या दास्या नाम मन्थरा; कैकेय्याः दास्याः नाम मन्थरा; कैकेय्याः तस्याः दास्याः नामं श्रूत्वा दशरथः भरतस्य कृते राज; कैकेय्याः दास्याः कैयेकाः नामानि अस्माकं ज्ञाने सन्ति ते अनुर; मन्थरा; दशरथस्य दास्याः नाम मंथरा अस्ति	
7	वाल्मीकि-रामायणस्य रचना यस्मिन् छन्दसि जाता तस्य किं नाम आसीत् ?	अनुष्टुप्		अनुष्टुब्; ; श्लोकम्; वाल्मीकिरामायणस्य रचना अनुष्टुभ् छन्दसि जाता आसीत्; वाल्मीकिरामायणस्य रचना श्लोक छन्दसि जाता; अनुष्टुप् छन्दसि; वाल्मीकिरामायणस्य रचना यस्मिन् छन्दसि जाता तस्य किं नाम आसीत्; स्लोका; वाल्मीकिरामायणस्य रचना यस्मिन् छन्दसि जाता तस्य नाम अद्भुत; श्लोक; श्लोकः; अनुष्टुप् छन्दः; वाल्मीकिरामायणस्य रचना अनुष्टुभ् छन्दसि जाता आसीत् एवं; काव्यं; वाल्मीकिरामायणस्य रचना यस्मिन् छन्दसि जाता तस्य किं नाम आसीत्  अ अनुष्टुप् ब शार्दूलवाक् च प्राकृत द; वाल्मीकिरामायणस्य रचना यस्मिन् छन्दसि जाता तस्य अनुष्टुभ्; अनुष्टुप्  अनुष्टुप् छन्दः वाल्मीकिरामायणस्य मुख्यं छन्दः आसीत् तत् एव श; अनुष्टुप्; श्लोके	
8	यस्य कथनात् श्रीरामः सीतां परित्यक्तवान् तस्य गुप्तचरस्य नाम किम् ?	दुर्मुखः		गुप्तचरस्य नाम जटायुः इति; भद्रस्य; भाण्डी; रावण; रावणाचा गुप्तचर; भृगु; भद्र अत्र प्रश्नस्य उत्तरं न प्राप्यते दत्तेषु सन्दर्भेषु सीतापरित्यागस्य वा; श्रीरामः सीतां परित्यक्तवान् तस्य गुप्तचरस्य नाम भरद्वाजः अस्ति; वाल्मीकिः; निमिः; प्रत्युत्तरम् भद्रम्  यस्य गुप्तचरस्य कथनात् श्रीरामः सीतां परित्यक्तवान् तस्य; दुर्वासः; भद्रः; नन्दनः; दुर्मुखः; गुप्तचरः; कूटनीतिः; श्रीरामः सीतां परित्यक्तवान् इति श्रुत्वा क्रुद्धः हनुमान् गुप्तचरस्य शिरः छेत्तुम् उद्युक्तः तदा गुप्तचरेण स्वन; मारीच; भद्रुः; गुप्तचरस्य नाम तस्याः अनुयायिनीः याः द्वारकायां निवसन्तीः; भूतिभूषणः; उत्तरम्  दुर्भाग्यवश प्रश्नस्य सन्दर्भे गुप्तचरस्य नाम स्पष्टतया उल्लिखितं नास्ति तथापि रामायणस्य अन्येषु भागेषु शूर्पणखायाः नाम्ना राक्षसी; अज्ञातम्  उपलब्धेषु सन्दर्भेषु गुप्तचरस्य नाम न दृश्यते तस्मात् प्रश्नस्; दुर्मुख; सुमन्त्रः; धूर्तः; गुप्तचरस्य नामः हनुमान् इति; दूषण; गुप्तचरः सुमन्त्रः; धूम्रः; दूषखः; गुप्तचरस्य नामः त्रिजटा इति; सुप्रणीतः; नन्दिकेश्वरः; गुहः; सुग्रीवस्य गुप्तचरस्य नाम शबाला अस्ति; न दूषणस्य खरस्य दूतस्य च कथनात् श्रीरामः सीतां परित्यक्तवान्; गुप्तचरस्य नाम मोहन अस्ति; नृशंसः; दूषणः; अनलः; गुप्तचरस्य नाम मन्थर अस्ति; उस गुप्तचरस्य नाम पशुपति अस्ति; धर्मवित्; धोबी  श्रीरामः सीतां परित्यक्तवान् धोब्या उक्तवचनात् रामायणे एकः सामान्यः नागरिकः; नैव; विभीषणः	
9	कैकेय्याः दायविवाहेन सह या दासी आगता तस्याः किं नाम आसीत् ?	मन्थरा		कैकेय्याः दायविवाहेन सह या दासी आगता तस्याः नाम मन्थरा आसीत्; मन्थरायाः; कुब्जा इति नाम आसीत्; दासी तस्याः नाम मन्थरा आसीत्; मन्दोदरी; मन्थरा; मांता; तस्याः नाम मन्दोदरी आसीत्; मन्थरा  मन्थरा कैकेयी की दासी थी जो उसके साथ दायविवाह में आई थी वह एक कुबड़ी और कपटी स्त्री थी जिसने कैकेयी को राम के राज्याभिषेक के विरुद्ध भड़काया था; मनथरा; मैन्दाकिनी; कैकेय्याः दायविवाहेन सह या दासी आगता तस्याः किं नाम आसीत्; question कैकेय्याः दायविवाहेन सह या दासी आगता तस्याः किं नाम आसीत्  answer मन्थरा question कैकेय्याः दायविवाहेन सह य; शबरीः; मणिकर्णिका; मण्डोदरी; तस्याः नाम शबरी आसीत् शबरी एका निषादी स्त्री आसीत् या भगवान्; दासी का नाम कैकेयी के दायविवाह के समय आई थी उसका नाम हिरण्यका थ; मंथरा; मन्तरा; तानि आदेशानि अभिप्रेषय	
10	यस्य्मिन् तीर्थक्षेत्रे निमज्जनं कृत्वा श्रीरामः परमं धाम प्रस्थितवान् तस्य तीर्थस्य किं नाम आसीत् ?	गोप्रतारः		सरयूतीर्थः; गुप्तरघातीर्थम्; गङ्गा; उत्तरम्  प्रयाग   व्याख्या  रामायणस्य उत्तरकाण्डे वर्णितं यदा श्रीरामः परमं धाम प्रस्थितवान् तदा तेन प्रयागे निमज्जनं कृतम् प्रया; अयं तीर्थस्य नाम गोदावरि आसीत् गोदावरि तीर्थं महाराष्ट्र र; तस्य तीर्थस्य नाम रामेश्वरम् आसीत्; शरयू नदी; सरयूः   यतः तत्र स्नात्वा सः वैकुण्ठं गतवान्; यस्य्मिन् तीर्थक्षेत्रे निमज्जनं कृत्वा श्रीरामः परमं धाम प्रस्थितवान् तस्य तीर्थस्य किं नाम आसीत्; सर्वयूः; श्रीरामः यः तीर्थक्षेत्रे निमज्जनं कृत्वा परमं धाम प्रस्थितवान् तस्य तीर्थस्य नाम तमसातीरम् अस्ति; जल प्रलय ः 🙏; गंगा; नान्जलि तीर्थम्; सरयू  यस्मिन् तीर्थक्षेत्रे निमज्जनं कृत्वा श्रीरामः परमं धाम प्रस्थितवान् त; सरयूः  श्रीरामः सरयू नदीं प्रविश्य स्वकीयं देहं त्यक्त्वा परमं धाम गतवान् अयोध; गुप्तारघाट; तस्य तीर्थस्य नाम त्र्यम्बकं आसीत्; यमुना; यस्य तीर्थक्षेत्रे निमज्जनं कृत्वा श्रीरामः परमं धाम प्रस्थितवान् तस्य तीर्थस्य नाम रामेश्वरम् अस्ति; शृङ्गवेरपुरम्; गोप्रतारे; सरयू; महाप्रभासः; कुलिर्तिर्थम्; अतुलं च गता हर्षं प्रहर्षेण तु जानकी नेत्राभ्यां वक्रपक्ष्माभ्यां मुमोचानन्दजं जलम् ५०३३०७७; प्रयागः; सरयू नदी  श्रीरामः सरयू नद्यां निमज्जनं कृत्वा परमं धाम प्रस्थितवान् इति रामायणे वर्; कौरजो; गोकर्ण; ब्रह्मसरोवरः; सर्वतीर्थम्; उत्तरम् सरय्वाम्  श्रीरामः सरयू नदीयां निमज्जनं कृत्वा परमं धाम प्रस्थितवान् इति रामायणे वर्णितम् अतः तस्य तीर्थस्य नाम सरयू आसीत्; सरयू नदी; गोकर्णम्; श्रीरामः तस्य तीर्थस्य नाम शम्बसादनं आसीत्; गंगासागरम्; सर्वतीर्थेषु  यतः रामेश्वरं प्रति गमनात् पूर्वं श्रीरामः सर्वतीर्थेषु स्नानं कृतवान्; यस्य्मिन् तीर्थक्षेत्रे निमज्जनं कृत्वा श्रीरामः परमं धाम प्रस्थितवान् तस्य तीर्थस्य नाम पम्पासर अस्ति; तमसा; अयं तीर्थक्षेत्रः रामतीर्थः इति विख्यातः आसीत् अत्र नामन्यस	
