ID	QUESTION	ANSWER	CHOICES	gpt-4o	gpt-4o_maxd	gpt-4o_paths	mistral-large-latest	mistral-large-latest_maxd	mistral-large-latest_paths	claude-3-5-sonnet-20240620	claude-3-5-sonnet-20240620_maxd	claude-3-5-sonnet-20240620_paths
1	श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामन्याख्यातु।	नलनीलौ; नीलनलौ		नल-नीलौ	1		सुग्रीवः वानरराजः च विभीषणः राक्षसराजः च	1		नलेन सुग्रीवेण च	1	(:Animal {'lemma': वानर})-[:JOINED_THE_FORCE_OF]->({'lemma': राम}); (:Monkey {'lemma': नल})-[:IS_SON_OF]->({'lemma': अग्नि})
2	येन विमानेन श्रीरामः सीतालक्ष्मणाभ्यां सहितः लङ्कातः अयोध्यामागच्छत्, तस्य किं नाम आसीत् ?	पुष्पकम्; पुष्पकविमानम्		पुष्पकेण	1	(:Human {'lemma': सीता})-[:WAS_PLACED_AT]->({'lemma': पुष्पक}); (:Human {'lemma': राम})<-[:IS_FATHER_OF]-({'lemma': दशरथ}); (:Human {'lemma': राम})<-[:IS_FATHER_OF]-({'lemma': दशरथ}); (:Human {'lemma': लक्ष्मण})<-[:IS_FATHER_OF]-({'lemma': दशरथ}); (:Human {'lemma': लक्ष्मण})<-[:IS_FATHER_OF]-({'lemma': दशरथ})	पुष्पक	1	(:Human {'lemma': लक्ष्मण})<-[:IS_FATHER_OF]-({'lemma': दशरथ})	पुष्पकेण	1	(:Human {'lemma': सीता})-[:WAS_PLACED_AT]->({'lemma': पुष्पक})
3	हनुमान् लक्ष्मणस्य मूर्च्छानिवारणाय लङ्कायाः यं प्रसिद्धं वैद्यमानयत्, तस्य नाम किम् ?	सुषेणः		सुषेणः	1		सुषेणः	1	(:Human {'lemma': लक्ष्मण})<-[:IS_FATHER_OF]-({'lemma': दशरथ})	उत्तरम्: सुषेणेन	1	
4	लक्ष्मणस्य मूर्च्छायाः दूरीकरणाय हनुमान् याम् औषधिम् आनयत् तस्य किं नाम आसीत् ?	सञ्जीवनी		विशल्यकरणी	1		संजीवनी	1	(:Human {'lemma': लक्ष्मण})<-[:IS_FATHER_OF]-({'lemma': दशरथ})	संजीवनी	1	(:Human {'lemma': लक्ष्मण})<-[:IS_DISFIGURED_BY]-({'lemma': अयोमुखी}); (:Human {'lemma': लक्ष्मण})<-[:IS_SON_OF]-({'lemma': अङ्गद}); (:Human {'lemma': लक्ष्मण})<-[:IS_SON_OF]-({'lemma': चन्द्रकेतु})
5	राज्ञः जनकस्य किं मूलं नाम आसीत् ?	सीरध्वजः		सीरध्वजः	1		सीता	1		उत्तरम्: सीरध्वजः	1	
6	या कैकेयीं रामस्य वनवासः तथा भरतस्य कृते राजसिंहासनं एष्टुं मन्त्रितवती कैकेय्याः तस्याः दास्याः नाम किम् ?	मन्थरा		मन्थरा	1		मन्थरा	1	(:Human {'lemma': राम})<-[:IS_MOTHER_OF]-({'lemma': कौसल्या}); (:Human {'lemma': भरत})<-[:IS_MOTHER_OF]-({'lemma': कैकेयी}); (:Human {'lemma': कैकेयी})-[:IS_MOTHER_OF]->({'lemma': भरत})	मन्थरायाः	1	(:Human {'lemma': भरत})<-[:IS_MOTHER_OF]-({'lemma': कैकेयी}); (:Human {'lemma': कैकेयी})-[:IS_MOTHER_OF]->({'lemma': भरत})
7	वाल्मीकि-रामायणस्य रचना यस्मिन् छन्दसि जाता तस्य किं नाम आसीत् ?	अनुष्टुप्		अनुष्टुप्	1		अनुष्टुप्	1		अनुष्टुप्	1	(:Maharshi {'lemma': वाल्मीकि})-[:TOOK_A_BATH_IN]->({'lemma': तमसा})
8	यस्य कथनात् श्रीरामः सीतां परित्यक्तवान् तस्य गुप्तचरस्य नाम किम् ?	दुर्मुखः		गुप्तचरः	1	(:Human {'lemma': सीता})<-[:DID_INQUIRE_ABOUT]-({'lemma': राम}); (:Human {'lemma': सीता})<-[:WENT_IN_THE_SEARCH_OF]-({'lemma': ऋषिपुत्र}); (:Human {'lemma': सीता})-[:WAS_THREATENED_BY]->({'lemma': प्रघसा})	सुमन्त्रः	1	(:Human {'lemma': सीता})<-[:DID_INQUIRE_ABOUT]-({'lemma': राम})	भद्रस्य	1	(:Human {'lemma': सीता})<-[:DID_INQUIRE_ABOUT]-({'lemma': राम}); (:Human {'lemma': सीता})<-[:WENT_IN_THE_SEARCH_OF]-({'lemma': ऋषिपुत्र}); (:Human {'lemma': सीता})<-[:IS_SON_OF]-({'lemma': कुशी})
9	कैकेय्याः दायविवाहेन सह या दासी आगता तस्याः किं नाम आसीत् ?	मन्थरा		मन्थरा	1	(:Human {'lemma': कैकेयी})-[:IS_MOTHER_OF]->({'lemma': भरत}); (:Human {'lemma': कैकेयी})<-[:IS_REFERRED_BY]-({'lemma': अलर्क})	मन्थरा	1	(:Human {'lemma': कैकेयी})-[:IS_MOTHER_OF]->({'lemma': भरत}); (:Human {'lemma': कैकेयी})<-[:IS_REFERRED_BY]-({'lemma': अलर्क})	मन्थरायाः	1	(:Human {'lemma': कैकेयी})-[:IS_MOTHER_OF]->({'lemma': भरत}); (:Human {'lemma': कैकेयी})<-[:IS_REFERRED_BY]-({'lemma': अलर्क})
10	यस्य्मिन् तीर्थक्षेत्रे निमज्जनं कृत्वा श्रीरामः परमं धाम प्रस्थितवान् तस्य तीर्थस्य किं नाम आसीत् ?	गोप्रतारः		सर्वतीर्थम्	1		सरयू	1		"उत्तरम्: सरय्वाम्

श्रीरामः सरयू नदीयां निमज्जनं कृत्वा परमं धाम प्रस्थितवान् इति रामायणे वर्णितम् अतः तस्य तीर्थस्य नाम सरयू आसीत्"	1	
11	महर्षेः विश्वामित्रस्य क्षत्रियावस्थायाः किं नाम आसीत् ?	विश्वरथः		उत्तरम्: कौशिकः	1		गाधि	1	(:Rishi {'lemma': विश्वामित्र})<-[:IS_FATHER_OF]-({'lemma': गाधि}); (:Rishi {'lemma': विश्वामित्र})<-[:IS_SON_OF]-({'lemma': मधुस्पन्द}); (:Rishi {'lemma': विश्वामित्र})<-[:IS_SON_OF]-({'lemma': दृढनेत्र})	गाधिः	1	(:Rishi {'lemma': विश्वामित्र})<-[:IS_FATHER_OF]-({'lemma': गाधि}); (:Rishi {'lemma': विश्वामित्र})<-[:IS_SON_OF]-({'lemma': मधुस्पन्द}); (:Rishi {'lemma': विश्वामित्र})<-[:IS_SON_OF]-({'lemma': दृढनेत्र})
12	वालिसुग्रीवयोः उत्पत्तिः यास्मात् वानरात् अभवत् तस्य किं नाम आसीत् ?	ऋक्षरजाः		ऋक्षरजः	1	(:Monkey {'lemma': वालिन्})<-[:IS_FATHER_OF]-({'lemma': ऋक्षरजस्}); (:Monkey {'lemma': वालिन्})<-[:IS_FATHER_OF]-({'lemma': ऋक्षरजस्}); (:Monkey {'lemma': सुग्रीव})<-[:IS_FATHER_OF]-({'lemma': ऋक्षरजस्}); (:Monkey {'lemma': सुग्रीव})<-[:IS_FATHER_OF]-({'lemma': ऋक्षरजस्}); (:Monkey {'lemma': वालिन्})<-[:IS_SON_OF]-({'lemma': अङ्गद})	ऋक्षराजः	1	(:Animal {'lemma': वानर})-[:JOINED_THE_FORCE_OF]->({'lemma': राम}); (:Animal {'lemma': वानर})-[:LIVED_AT]->({'lemma': चन्दनवन})	ऋक्षरजसः	1	(:Monkey {'lemma': वालिन्})<-[:IS_FATHER_OF]-({'lemma': ऋक्षरजस्}); (:Monkey {'lemma': सुग्रीव})<-[:IS_FATHER_OF]-({'lemma': ऋक्षरजस्})
13	रामायणकालीनसरयूनद्याः वर्तमानं नाम किं अस्ति ?	घाघरा		सरयू	1		सरयू	1		उत्तरम्: घाघरायाम्	1	
14	समुद्रे निवसन्त्याः तस्याः नागमातुः किं नाम आसीत् या हनुमतः समुद्रलङ्घनम् अवारयत्, तं ग्रसितुं उद्धता च आसीत् ?	सुरसा		सुरसा	1		सुरसा	1		उत्तरम्: सुरसायाः	1	
