sentence	gold	id	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
"""मम प्रियाः देशवासिनः, नमस्कारः।"""	"""My  dear countrymen, Namaskar."""	1	"""My dear countrymen, greetings."""	"""My dear fellow citizens, Namaskar."""	"""My dear countrymen, greetings."""	"""माझे प्रिय देशवासीयांनो, नमस्कार!"""
भवन्तः सर्वे lockdown इति सञ्चाररोधे ‘मन की बात’-‘मनोगतं’ शृण्वन्ति।	All of you are tuned into this episode of  ‘Mann Ki Baat ‘during the lockdown.	2	You all listen to 'Mann Ki Baat' ('Words from the Heart') during the lockdown.	You all are listening to Mann Ki Baat during lockdown.	"You all listen to ""Mann Ki Baat"" during the lockdown when there are restrictions on movement."	आपण सर्व lockdown म्हणून संचार रोधात ‘मन की बात’-‘मनोगतं’ शिकतात.
"""अस्य मनोगतस्य कृते सम्प्राप्यमाणा परामर्श-दूरभाषाकारणानां संख्या, सामान्यतः अनेकधा अधिकास्ति।"""	The number of suggestions and phone  calls for this episode is many times the usual.	3	"""The number of consultation phone calls made for this purpose is generally much higher."""	The number of incoming calls for this hotline is usually several times higher.	"The translation of the given Sanskrit sentence is:

""The number of telephonic consultations received for this mental state is generally significantly higher in various ways.""

This translation captures the essence of the original sentence while maintaining its meaning."	"""त्या मनातल्या विचारांच्या कारणाने दूरध्वनी संवादाच्या संख्या सामान्यतः अनेकदा अधिक असते."""
"""अनेकान् विषयान् स्वस्मिन् समाकलय्य, भवतामिदं ‘मनोगतम्’, मम पार्श्वे, आगतम्।"""	"""Matters close to your  heart; your own Mann Ki Baat, comprising a number of issues has reached  out to me."""	4	"""By incorporating many subjects within yourself, this ‘Manogatam’ of yours has come to my side."""	"""Having assimilated many subjects within myself, this 'Mann Ki Baat' has come to my side."""	"""Having collected various topics, this 'thought' of yours has come to me."""	"""मी स्वतःच्या मनात अनेक गोष्टी संकलित करतो आणि त्या गोष्टी मी तुम्हाला सांगतो. त्या गोष्टी माझ्या मनात आहेत आ"
"""मया प्रयतितं, यदहं एतान् विषयान् अधिकाधिकान् पठेयम्, शृणुयाम् च।"""	"""I’ve tried to the best possible extent to read them, listen  to them."""	5	"""I have endeavored to study and listen to these topics more and more."""	"""I have tried to read and listen to these subjects as much as possible."""	"""I have made an effort to study and listen to these subjects more and more."""	"""मी माझ्या प्रयत्नाने हे विषय अधिकाधिक वाचन आणि शिकण्याचा प्रयत्न करतो."""
भवद्भिस्सर्वैः अनुभूतं स्यात् यदनेन संकटकालेन कथं पृथक्-पृथक् विषयेषु अस्माकं दृष्टिः चेतना च जागरिते।	One has come to know of certain aspects which do not get  noticed during the course of this flurry of exigencies.	6	You might have all experienced how our attention and awareness are heightened in various ways during this challenging time.	You all must have experienced how this crisis has awakened our perspective and awareness on various issues.	"The statement can be translated to English as:

""It has been experienced by everyone that during times of crisis, our perception and consciousness become heightened in relation to different subjects.""

If you would like a more detailed explanation or analysis of this statement, please let me know!"	मी आणि तुम्ही सर्वांनी अनुभवलेले असे आहे की या संकट काळात आपल्या वेगवेगळ्या विषयांवर आपली दृष्टी आणि चेतन
"""नूनं समीहे, यत् सङ्घर्षमयेsस्मिन् काले, प्रसार्यमाणे ‘मनोगते’, तान् एव काँचन् पक्षान्, भवद्भ्यः देशवासिभ्यः सम्विभाजयेयम्।"""	"""I wish to touch  upon and share a few of those aspects with our countrymen in this ‘Mann  ki Baat’, taking place amidst a battle."""	7	"""I certainly wish that in this challenging time, where 'ideologies' are being spread, I could share some specific perspectives with you, my fellow citizens."""	"""I would like to share with you all, in this time of struggle, the golden words from my 'Manogat'."""	"""Surely in this time of struggle, as thoughts are being expanded, I should share those very wings with you, the inhabitants of this land."" 

**विवरणम्**: अस्मिन् वाक्ये सङ्घर्षमयस्य समयस्य विषये चर्चा व्याप्यते, यत्र च मन"	मी सांगतो की तुम्ही संघर्षाच्या काळात, जेव्हा माझे मनातले विचार पसरत असतील, तेव्हा ते विचार तुम्हाला देशव
"""सखायः, कोरोना-विरोधि भारतीयं युद्धं वस्तुतस्तु people driven- इति जन-सञ्चालितमस्ति।"""	"""Friends,  India’s fight against Corona is people-driven, in the truest sense of  the term."""	8	"""Friends, the war against Corona in India is truly people-driven."""	"""Friends, India's fight against Corona is people driven."""	"""Friends, the Indian battle against corona is truly people-driven."""	"""मित्रांनो, भारतीयांच्या लढ्याचा मूळचा स्रोत हा लोकांचा आहे."
"""भारते कोरोना-विरोधि युद्धं जनाः सञ्चालयन्ति, भवन्तः प्रवर्तयन्ति, जनैः सम्भूय शासनम्, प्रशासनञ्च सञ्चालयतः।"""	"""In India it is the people who are fighting the Corona; it is  you who are putting up a fight …..along with the people, the government  and the administration are fighting as well."""	9	"""In India, people are conducting the war against COVID-19, you are carrying it forward, jointly with the government and administration managing it."""	"""In India, people are fighting against Corona, they are leading, and together with the people, the government and administration are running."""	"""In India, the fight against Corona is being conducted by the people, you are initiating it, and the government and administration are being managed by the people coming together."""	"""Indians are fighting a war against Corona, they are implementing it, and along with the people, they are running the government and administration."""
"""भारत-सदृशः विशालोsयं देशः, यो हि विकासार्थं सततं प्रयतते, निर्धनतां विरुद्ध्य निर्णायक-सङ्घर्षं विदधाति।"""	"""A vast country such as  India, with its proactive endeavor on the path of development is  fighting a decisive battle against poverty."""	10	"""This vast country, similar to India, continually strives for development and engages in a decisive struggle against poverty."""	"""This is a vast country like India, which is constantly striving for development, waging a decisive struggle against poverty."""	"""The country, which is large like India, is constantly striving for development and is engaged in a decisive struggle against poverty."""	"""भारतासारखा मोठा देश आहे हा देश, जो सतत विकासासाठी प्रयत्न करतो, तो निर्धनतेचा विरोध करून निर्णायक संघर्ष करीत असतो"
"""अस्य पार्श्वे, कोरोना-विषाणुना योद्धुं तञ्च जेतुम् अयमेव पन्था।"""	This is the only medium it  possesses to fight the Corona and triumph over it.	11	"""Next to this, this is the only way to fight and conquer the coronavirus."""	"""According to this, this is the only way to fight and defeat the Corona virus."""	"""On this side, this is the very path to fight and conquer the coronavirus."""	"""असा पार्श्वे कोरोना विषाणूशी लढण्यासाठी आणि त्याला जिंकण्यासाठी हा एकमेव मार्ग आहे."""
"""सम्पूर्णेsपि देशे, प्रति-प्रतोली, सर्वत्र, साम्प्रतं जनाः अन्योन्य-साहाय्यार्थम् अग्रेसृताः सन्ति।"""	"""And we are fortunate  that today the whole country; each and every citizen of the country;  every person is a soldier in this battle; nay, leading the battle."""	12	"""In the entire country, in every lane, everywhere, people are currently stepping forward to help each other."""	Across the country, in every lane, people are coming forward to help each other.	"""Even in the entire country, in every corner, people are currently moving forward for mutual assistance."""	"""पूर्ण्या देशांमध्ये सर्वत्र, सामान्यतः लोक एकमेकांना मदत करण्यासाठी आग्रही आहेत."""
"""भविष्यति काले, यदा एतद्विषयिणी चर्चा भविता, एतद्-प्रतिरोधस्य पद्धति-सम्बद्धा च चर्चा भविता, दृढं विश्वसिमि यत् भारतस्य अस्य जन-सञ्चालितस्य सङ्घर्षस्य चर्चा नूनं भविता।"""	"""In future when it will be dwelt upon in  hindsight; when ways and means will be reflected upon, I do believe that  India’s people driven fight will also be touched upon."""	13	"""In the future, when this topic is discussed, and when there is a discussion regarding methods of resistance related to this, I firmly believe that the struggle of the people of India will certainly be mentioned."""	"""In the future, when this issue is discussed, and the methods of resistance are discussed, I firmly believe that the discussion of India's people-driven struggle will definitely take place."""	"""In the future, when discussions regarding this topic take place, and discussions related to the methods of resistance occur, I firmly believe that conversations about this people's struggle in India will certainly take place."""	"""I am confident that when the time comes for a discussion on this issue, and when the discussion on the methods of resistance to this issue takes place, I firmly believe that the discussion on this people-led struggle of India will definitely take place."""
"""सम्पूर्णेsपि देशे, प्रति-प्रतोली, सर्वत्र, साम्प्रतं जनाः अन्योन्य-साहाय्यार्थम् अग्रेसृताः सन्ति।"""	"""Today at each  and every place, in neighbourhood lanes, people have come forward to  help each other."""	14	"""In the entire country, on every street, everywhere, at present, people are stepping forward to help one another."""	Across the country, in every lane, people are coming forward to help each other.	"The Sanskrit sentence translates to:

""Even in the entire country, in every place, people are currently advancing together to help one another.""

If you need further explanation or a breakdown of the translation, feel free to ask!"	"""पूर्ण्या देशांमध्ये प्रत्येक ठिकाणी सर्वत्र, सध्या लोक एकमेकांना मदत करण्यासाठी आग्रही आहेत."""
