sentence	gold	id	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
"""मम प्रियाः देशवासिनः, नमस्कारः।"""	"""My  dear countrymen, Namaskar."""	1	"""My dear countrymen, greetings."""	"""My dear countrymen, greetings."""	"""Hello, my dear citizens."""	"""My dear countrymen, greetings."""
भवन्तः सर्वे lockdown इति सञ्चाररोधे ‘मन की बात’-‘मनोगतं’ शृण्वन्ति।	All of you are tuned into this episode of  ‘Mann Ki Baat ‘during the lockdown.	2	You all listen to 'Mann Ki Baat' (broadcast) during the lockdown.	You all are listening to 'Mann Ki Baat' during the lockdown.	All of you listen to 'Mann Ki Baat' - 'Mannogat' during the lockdown restrictions.	All of you are listening to 'Man ki Baat'-'Manogatam' during the lockdown.
"""अस्य मनोगतस्य कृते सम्प्राप्यमाणा परामर्श-दूरभाषाकारणानां संख्या, सामान्यतः अनेकधा अधिकास्ति।"""	The number of suggestions and phone  calls for this episode is many times the usual.	3	"""The number of consultancy telephone calls received for this mental activity is generally much higher."""	"""The number of reasons for receiving telemarketing calls for this mental state is generally much higher."""	"""The number of consultation telephone calls received for this mental state is generally much higher in several ways."""	The number of long-distance advice-giving phone calls made by him is usually many times more than this.
"""अनेकान् विषयान् स्वस्मिन् समाकलय्य, भवतामिदं ‘मनोगतम्’, मम पार्श्वे, आगतम्।"""	"""Matters close to your  heart; your own Mann Ki Baat, comprising a number of issues has reached  out to me."""	4	"""By gathering many subjects within yourself, this 'thought' of yours has come to me."""	"""Having assimilated many subjects within myself, this 'Mann Ki Baat' has come to my side, for you."""	"""Combining many subjects, this 'mind's thought' has come to you, by my side."""	Many subjects I have gathered in myself, this is what you have in your mind, I have it in my side.
"""मया प्रयतितं, यदहं एतान् विषयान् अधिकाधिकान् पठेयम्, शृणुयाम् च।"""	"""I’ve tried to the best possible extent to read them, listen  to them."""	5	"""I have endeavored to study and listen to these topics more and more."""	"""I have tried that I should read and listen to these subjects more and more."""	"""I have made an effort, so that I may study these topics more and listen as well."""	Whatever I try to read and listen to, I will do more and more.
भवद्भिस्सर्वैः अनुभूतं स्यात् यदनेन संकटकालेन कथं पृथक्-पृथक् विषयेषु अस्माकं दृष्टिः चेतना च जागरिते।	One has come to know of certain aspects which do not get  noticed during the course of this flurry of exigencies.	6	You all might have experienced how our attention and awareness become focused on different subjects during this difficult time.	It must have been experienced by all of you that how this crisis has awakened our perspective and consciousness towards different subjects.	It should be experienced by you all how our perception and consciousness are awakened in different subjects during this critical time.	It is experienced by all of you that how our sight and consciousness are awake and separate in various subjects during this critical time.
"""नूनं समीहे, यत् सङ्घर्षमयेsस्मिन् काले, प्रसार्यमाणे ‘मनोगते’, तान् एव काँचन् पक्षान्, भवद्भ्यः देशवासिभ्यः सम्विभाजयेयम्।"""	"""I wish to touch  upon and share a few of those aspects with our countrymen in this ‘Mann  ki Baat’, taking place amidst a battle."""	7	"""Certainly, I desire, that in this struggling time, while ‘thoughts’ are being shared, I may share only select aspects with you, the citizens."""	"""Certainly, I wish that, in this tumultuous time, through the medium of 'Mann Ki Baat', I share those golden moments with you, the countrymen."""	"""Surely in this time of struggle, as it is being expanded in 'mind', I should distribute those very glass wings to you, the inhabitants of the country."""	"""I would divide those very sections, which are now being spread, into the people of the country, in that difficult time."""
"""सखायः, कोरोना-विरोधि भारतीयं युद्धं वस्तुतस्तु people driven- इति जन-सञ्चालितमस्ति।"""	"""Friends,  India’s fight against Corona is people-driven, in the truest sense of  the term."""	8	"""Friends, the war against corona in India is truly people-driven."""	"""Friends, the Indian fight against Corona is actually people driven."""	"""Friends, the Indian war against Corona is in fact people driven."""	"""Friends, the Indian war against Corona is, in fact, a people-driven movement."""
"""भारते कोरोना-विरोधि युद्धं जनाः सञ्चालयन्ति, भवन्तः प्रवर्तयन्ति, जनैः सम्भूय शासनम्, प्रशासनञ्च सञ्चालयतः।"""	"""In India it is the people who are fighting the Corona; it is  you who are putting up a fight …..along with the people, the government  and the administration are fighting as well."""	9	"""In India, people conduct the battle against Corona; they carry it forward, and together with the people, they manage the administration and governance."""	"""In India, people are waging a war against Corona, they are taking initiative, and along with the people, the government and administration are also working together."""	"""In India, the people are conducting a war against COVID, you are initiating it, and together with the people, the governance and administration are being managed."""	The people of India are waging a war against Corona, they are implementing it, and along with the people, they are governing and administering the administration.
"""भारत-सदृशः विशालोsयं देशः, यो हि विकासार्थं सततं प्रयतते, निर्धनतां विरुद्ध्य निर्णायक-सङ्घर्षं विदधाति।"""	"""A vast country such as  India, with its proactive endeavor on the path of development is  fighting a decisive battle against poverty."""	10	"""This vast country like India continuously strives for development and conducts a decisive struggle against poverty."""	"""This vast country, similar to India, constantly strives for development and wages a decisive struggle against poverty."""	"""This country, similar to India, continually strives for development and engages in decisive struggle against poverty."""	This vast country, India, which is constantly striving for development, overcomes poverty and achieves a decisive struggle.
