sentence	gold	id	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
"""mama priyāḥ deśavāsinaḥ, namaskāraḥ|"""	"""My  dear countrymen, Namaskar."""	1	"""My dear countrymen, greetings."""	"""My dear countrymen, greetings!"""	"""My dear ones who reside in the country, greetings!"""	"""My dear friends, the inhabitants of the world, offer your obeisances."""
bhavantaḥ sarve lockdown iti sañcārarodhe ‘mana kī bāta’-‘manogataṃ’ śṛṇvanti|	All of you are tuned into this episode of  ‘Mann Ki Baat ‘during the lockdown.	2	All of you listen to the 'thoughts' or 'mind talk' during the lockdown, that is, the travel restriction.	"You all are listening to ""Mann Ki Baat"" during the lockdown."	All of you listen to the words 'the mind is blocked' due to the lockdown restrictions.	"All of you are in a state of lockdown, and you are listening to the words of the mind, ""I am"" and ""my""."
"""asya manogatasya kṛte samprāpyamāṇā parāmarśa-dūrabhāṣākāraṇānāṃ saṃkhyā, sāmānyataḥ anekadhā adhikāsti|"""	The number of suggestions and phone  calls for this episode is many times the usual.	3	"""The number of reasons for consulting and discussing this idea is generally many."""	"""For the sake of this mental state, the number of causes of distant speech and consideration being obtained is generally much more in many ways."""	"""The number of reasons for the difficulty in obtaining this mental formation is generally multiple."""	"""The number of causes of the occurrence of this mental affliction, which are far removed from the ordinary way of speaking, is numerous."""
"""anekān viṣayān svasmin samākalayya, bhavatāmidaṃ ‘manogatam’, mama pārśve, āgatam|"""	"""Matters close to your  heart; your own Mann Ki Baat, comprising a number of issues has reached  out to me."""	4	"""Having gathered many subjects within yourself, this 'thought' of yours has come to me."""	"""Having collected many subjects within myself, this 'thought' of yours has come to my side."""	"""After considering many subjects, this 'thought' of yours has come to me."""	"""Many things are happening in me at the same time, this is 'in the mind' of yours, this has come to me on my side."""
"""mayā prayatitaṃ, yadahaṃ etān viṣayān adhikādhikān paṭheyam, śṛṇuyām ca|"""	"""I’ve tried to the best possible extent to read them, listen  to them."""	5	"""I have endeavored, so that I may study and hear about these subjects in depth."""	"""I have endeavored, in that I repeatedly study and listen to these subjects."""	"""I have exerted myself, so that I may study and hear about these subjects extensively."""	"""I have traversed this path, for I have been studying these subjects more and more, and I have been listening to them."""
bhavadbhissarvaiḥ anubhūtaṃ syāt yadanena saṃkaṭakālena kathaṃ pṛthak-pṛthak viṣayeṣu asmākaṃ dṛṣṭiḥ cetanā ca jāgarite|	One has come to know of certain aspects which do not get  noticed during the course of this flurry of exigencies.	6	You all might have experienced how in this time of crisis our perception and consciousness are awakened in various aspects.	May it be experienced by all of you, how in this difficult time, our attention and consciousness are awakened separately in different subjects.	It may be experienced by all of you that, during this time of crisis, our perception and consciousness are awake in different matters.	It would be experienced by all of you in the same way as we are experiencing it now, in this state of great distress, how can our perception and consciousness be different in different subjects.
"""nūnaṃ samīhe, yat saṅgharṣamayessmin kāle, prasāryamāṇe ‘manogate’, tān eva kā~can pakṣān, bhavadbhyaḥ deśavāsibhyaḥ samvibhājayeyam|"""	"""I wish to touch  upon and share a few of those aspects with our countrymen in this ‘Mann  ki Baat’, taking place amidst a battle."""	7	"""Indeed, I wish that in this time full of conflicts, I could share some of these sides with you, the citizens of the country, as these thoughts unfold."""	"""Now, at this time of struggle, I shall distribute those very golden wings, spreading the path of the mind, to you, the inhabitants of this land."""	"""Indeed, at this time of conflict, when the mind is being expanded, I shall distribute those very factions to you, the inhabitants of the land."""	"""Now, in this time of great turmoil, when the minds of the people are agitated, I shall only speak of those things which are of use to you, my friends, in your daily lives."""
"""sakhāyaḥ, koronā-virodhi bhāratīyaṃ yuddhaṃ vastutastu people driven- iti jana-sañcālitamasti|"""	"""Friends,  India’s fight against Corona is people-driven, in the truest sense of  the term."""	8	"""Friends, in reality, the Indian war against corona is people-driven."""	"""Friends, the Indian war against Corona is actually people-driven - it is a people-led movement."""	"""Friends, the Indian war against Corona is indeed driven by the people."""	"""Friends, the Indian war against Corona is in fact a people-driven movement."""
"""bhārate koronā-virodhi yuddhaṃ janāḥ sañcālayanti, bhavantaḥ pravartayanti, janaiḥ sambhūya śāsanam, praśāsanañca sañcālayataḥ|"""	"""In India it is the people who are fighting the Corona; it is  you who are putting up a fight …..along with the people, the government  and the administration are fighting as well."""	9	"""In India, people are conducting the battle against the coronavirus, initiating it, and along with the administration, managing it."""	"""In India, people are waging a war against Corona, you are leading it, with the people, the government and administration are running it."""	"""In India, the people are conducting a war against Corona, you are taking action, and by gathering the people, the administration and governance are being initiated."""	"""Indians are waging a war against Corona, you are initiating it, and with the people's support, you are implementing the orders and regulations."""
"""bhārata-sadṛśaḥ viśālosyaṃ deśaḥ, yo hi vikāsārthaṃ satataṃ prayatate, nirdhanatāṃ viruddhya nirṇāyaka-saṅgharṣaṃ vidadhāti|"""	"""A vast country such as  India, with its proactive endeavor on the path of development is  fighting a decisive battle against poverty."""	10	"""This vast country, similar to India, constantly strives for development, opposing poverty and engaging in decisive struggles."""	"""This vast country, similar to Bharata, constantly strives for development, and fights a decisive battle against poverty."""	"""A country similar to India, which constantly strives for development, brings about a struggle against poverty."""	"""A country like Bharata, where people are always striving for development, is in a state of constant struggle against poverty."""
