sentence	gold	id	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
ὁμοῦ δὲ Κάδμου παισὶν ἀναμεμειγμέναι χλωραῖς ὑπʼ ἐλάταις ἀνορόφοις ἧνται πέτραις .	O O B-PERSON O O O O O O O O O	1	{'B-PERSON': ['Κάδμου']}	{'B-PERSON': ['Κάδμου']}	{'B-PERSON': ['Κάδμου']}	{'B-LOC': ['Κάδμου'], 'B-PERSON': ['Κάδμου']}
ἥκω Διὸς παῖς τήνδε Θηβαίων χθόνα Διόνυσος , ὃν τίκτει ποθʼ ἡ Κάδμου κόρη Σεμέλη λοχευθεῖσʼ ἀστραπηφόρῳ πυρί ·	O B-GOD O O B-NORP O B-GOD O O O O O B-PERSON O B-PERSON O O O O	2	{'B-GOD': ['Διὸς', 'Διόνυσος'], 'B-LOC': ['Θηβαίων'], 'B-PERSON': ['Κάδμου', 'Σεμέλη']}	{'B-GOD': ['Διός', 'Διόνυσος'], 'B-LOC': ['Θηβαίων'], 'B-PERSON': ['Κάδμου', 'Σεμέλη']}	{'B-GOD': ['Διὸς', 'Διόνυσος'], 'B-PERSON': ['Κάδμου', 'Σεμέλη'], 'B-LOC': ['Θηβαίων']}	{'B-PERSON': ['Διὸς παῖς', 'Διόνυσος', 'Κάδμου κόρη', 'Σεμέλη']}
μορφὴν δʼ ἀμείψας ἐκ θεοῦ βροτησίαν πάρειμι Δίρκης νάματʼ Ἰσμηνοῦ θʼ ὕδωρ .	O O O O O O O B-PERSON O B-GOD O O O	3	{'B-GOD': ['θεοῦ'], 'B-LOC': ['Δίρκης', 'Ἰσμηνοῦ']}	{'B-GOD': ['θεοῦ'], 'B-LOC': ['Δίρκης', 'Ἰσμηνοῦ']}	{'B-GOD': ['θεοῦ'], 'B-PERSON': ['Δίρκης'], 'B-LOC': ['Ἰσμηνοῦ'], 'B-LOC': ['νάματʼ ὕδωρ']}	{'B-LOC': ['Δίρκης'], 'B-PERSON': ['Ἰσμηνός']}
ὁρῶ δὲ μητρὸς μνῆμα τῆς κεραυνίας τόδʼ ἐγγὺς οἴκων καὶ δόμων ἐρείπια τυφόμενα Δίου πυρὸς ἔτι ζῶσαν φλόγα , ἀθάνατον Ἥρας μητέρʼ εἰς ἐμὴν ὕβριν .	O O O O O O O O O O O O O B-GOD O O O O O O B-GOD O O O O O	4	{'B-GOD': ['Δίου', 'Ἥρας']}	{'B-GOD': ['Δίου', 'Ἥρας']}	{'B-LOC': ['Δίου'], 'B-GOD': ['Ἥρας']}	{'B-LOC': ['Δίον'], 'B-PERSON': ['Ἥρα']}
αἰνῶ δὲ Κάδμον , ἄβατον ὃς πέδον τόδε τίθησι , θυγατρὸς σηκόν ·	O O B-PERSON O O O O O O O O O O	5	{'B-PERSON': ['Κάδμον']}	{'B-PERSON': ['Κάδμον']}	{'B-PERSON': ['Κάδμον']}	{'B-PERSON': ['Κάδμος']}
ἀμπέλου δέ νιν πέριξ ἐγὼ ʼκάλυψα βοτρυώδει χλόῃ .	O O O O O O O O O	6	{}	{'B-PERSON': ['ἐγὼ']}	{}	{'B-LOC': ['ἀμπέλου'], 'B-PERSON': ['νιν'], 'B-ORG': ['ἐγὼ']}
λιπὼν δὲ Λυδῶν τοὺς πολυχρύσους γύας Φρυγῶν τε , Περσῶν θʼ ἡλιοβλήτους πλάκας Βάκτριά τε τείχη τήν τε δύσχιμον χθόνα Μήδων ἐπελθὼν Ἀραβίαν τʼ εὐδαίμονα Ἀσίαν τε πᾶσαν , ἣ παρʼ ἁλμυρὰν ἅλα κεῖται μιγάσιν Ἕλλησι βαρβάροις θʼ ὁμοῦ πλήρεις ἔχουσα καλλιπυργώτους πόλεις , ἐς τήνδε πρῶτον ἦλθον Ἑλλήνων πόλιν , τἀκεῖ χορεύσας καὶ καταστήσας ἐμὰς τελετάς , ἵνʼ εἴην ἐμφανὴς δαίμων βροτοῖς .	O O B-NORP O O O B-NORP O O B-NORP O O O B-NORP O O O O O O B-NORP O B-LOC O O B-LOC O O O O O O O O O B-NORP O O O O O O O O O O O O B-NORP O O O O O O O O O O O O O O O	7	{'B-NORP': ['Λυδῶν', 'Φρυγῶν', 'Περσῶν', 'Μήδων', 'Ἑλλήνων'], 'B-LOC': ['Βάκτριά', 'Ἀραβίαν',	{'B-LOC': ['Λυδῶν', 'Φρυγῶν', 'Περσῶν', 'Βάκτριά', 'Μήδων', 'Ἀραβίαν', 'Ἀσίαν', 'Ἕλλησι'], 'B-NORP': ['Ἕλλη	{'B-LOC': ['Λυδῶν', 'Φρυγῶν', 'Περσῶν', 'Βάκτριά', 'Μήδων', 'Ἀραβίαν', 'Ἀσίαν', 'Ἕλλησι', 'Ἑλλήνων	{'B-LOC': ['Λυδῶν', 'Φρυγῶν', 'Περσῶν', 'Βάκτριά', 'Μήδων', 'Ἀραβίαν', 'Ἀσίαν', 'Ἕλλησι'], 'B-GOD': ['δαίμων
πρώτας δὲ Θήβας τῆσδε γῆς Ἑλληνίδος ἀνωλόλυξα , νεβρίδʼ ἐξάψας χροὸς θύρσον τε δοὺς ἐς χεῖρα , κίσσινον βέλος ·	O O B-LOC O O B-NORP O O O O O O O O O O O O O O	8	{'B-LOC': ['Θήβας', 'Ἑλληνίδος']}	{'B-LOC': ['Θήβας'], 'B-NORP': ['Ἑλληνίδος']}	{'B-LOC': ['Θήβας', 'γῆς', 'Ἑλληνίδος']}	{'B-PERSON': ['Ἑλληνίδος']}
ἐπεί μʼ ἀδελφαὶ μητρός , ἃς ἥκιστα χρῆν , Διόνυσον οὐκ ἔφασκον ἐκφῦναι Διός , Σεμέλην δὲ νυμφευθεῖσαν ἐκ θνητοῦ τινος ἐς Ζῆνʼ ἀναφέρειν τὴν ἁμαρτίαν λέχους , Κάδμου σοφίσμαθʼ , ὧν νιν οὕνεκα κτανεῖν Ζῆνʼ ἐξεκαυχῶνθʼ , ὅτι γάμους ἐψεύσατο .	O O O O O O O O O B-GOD O O O B-GOD O B-PERSON O O O O O O B-GOD O O O O O B-PERSON O O O O O O B-GOD O O O O O O	9	{'B-PERSON': ['Διόνυσον', 'Διός', 'Σεμέλην', 'Ζῆνʼ', 'Κάδμου', 'Ζῆνʼ']}	{'B-PERSON': ['Διόνυσον', 'Διός', 'Ζῆνʼ', 'Σεμέλην', 'Κάδμου']}	{'B-PERSON': ['Διόνυσον', 'Διός', 'Σεμέλην', 'Κάδμου'], 'B-LOC': ['Ζῆνʼ']}	{'B-PERSON': ['Διόνυσος', 'Ζεύς', 'Σεμέλη', 'Κάδμος']}
τοιγάρ νιν αὐτὰς ἐκ δόμων ᾤστρησʼ ἐγὼ μανίαις , ὄρος δʼ οἰκοῦσι παράκοποι φρενῶν ·	O O O O O O O O O O O O O O O	10	{'B-LOC': ['δόμων', 'ὄρος']}	{'B-PERSON': ['ἐγὼ']}	{}	{'B-PERSON': ['ἐγὼ'], 'B-LOC': ['ὄρος']}
