sentence	gold	id	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
शत्रुरावणः राजा रावणः मैथिलीं इति उक्त्वा ततः सर्वा राक्षसीर् संदिश्य च निर्जगाम ह	O O B-ASURA O O O O O B-RAKSHASA O O O O	1	{'B-RAKSHASA': ['रावणः', 'रावणः'], 'B-HUMAN': ['मैथिलीं'], 'B-RAKSHASA': ['राक्षसीर्']}	{'B-RAKSHASA': ['शत्रुरावणः', 'राजा रावणः'], 'B-HUMAN': ['मैथिलीं']}	{'B-HUMAN': ['रावणः'], 'B-ASURA': ['रावणः'], 'B-RAKSHASA': ['सर्वा राक्षसीर्']}	{'B-HUMAN': ['शत्रुरावणः', 'राजा रावणः'], 'B-LOCATION': ['मैथिली']}
राक्षसेन्द्रे निष्क्रान्ते तु पुनर् अन्तःपुरं गते भीमरूपास्ताः राक्षस्यो सीतां समभिदुद्रुवुः	B-ASURA O O O O O O B-RAKSHASA B-HUMAN O	2	{'B-RAKSHASA': ['राक्षसेन्द्रे'], 'B-PALACE': ['अन्तःपुरं'], 'B-RAKSHASA': ['राक्षस्यो'], 'B-HUMAN': ['सीतां']}	{'B-RAKSHASA': ['राक्षसेन्द्रे'], 'B-PALACE': ['अन्तःपुरं'], 'B-RAKSHASA': ['राक्षस्यो'], 'B-HUMAN': ['सीतां']}	{'B-ASURA': ['राक्षसेन्द्रे', 'राक्षस्यो'], 'B-HUMAN': ['भीमरूपास्ताः', 'सीतां'], 'B-PALACE': ['अन्तःपुरं']}	{'B-RAKSHASA': ['राक्षसेन्द्रे'], 'B-RAKSHASA': ['राक्षस्यो'], 'B-RAKSHASA': ['राक्षस्यो']}
ततः क्रोधमूर्छिताः राक्षस्यः सीताम् उपागम्य परं परुषया वाचा वैदेहीम् इदम् अब्रुवन्	O O B-RAKSHASA B-HUMAN O O O O O O O	3	{'B-RAKSHASA': ['राक्षस्यः'], 'B-HUMAN': ['सीताम्', 'वैदेहीम्']}	{'B-RAKSHASA': ['राक्षस्यः'], 'B-HUMAN': ['सीताम्', 'वैदेहीम्']}	{'B-R Rakshasa': ['राक्षस्यः'], 'B-HUMAN': ['सीताम्', 'वैदेहीम्']}	{'B-RAKSHASA': ['राक्षस्यः']}
सीते पौलस्त्यस्य वरिष्ठस्य दशग्रीवस्य महात्मनः रावणस्य भार्या त्वम् न बहु मन्यसे	B-HUMAN B-KULA O O O B-ASURA O O O O O	4	{'B-HUMAN': ['सीते'], 'B-ASURA': ['पौलस्त्यस्य', 'दशग्रीवस्य', 'रावणस्य']}	{'B-HUMAN': ['सीते', 'पौलस्त्यस्य', 'दशग्रीवस्य', 'रावणस्य']}	{'B-HUMAN': ['सीते', 'दशग्रीवस्य', 'महात्मनः', 'रावणस्य'], 'B-ASURA': ['पौलस्त्यस्य', 'दशग्रीवस्य']}	{'B-HUMAN': ['सीते', 'पौलस्त्यस्य', 'दशग्रीवस्य', 'महात्मनः', 'रावणस्य'], 'B-WIFE': ['सीते']}
ततस् तु एकजटा नाम राक्षसी क्रोधताम्राक्षी करतलोदरीम् सीतां आमन्त्र्य वाक्यम् अब्रवीत्	O O B-RAKSHASA O O O O B-HUMAN O O O	5	{'B-RAKSHASA': ['एकजटा'], 'B-HUMAN': ['सीतां']}	{'B-RAKSHASA': ['एकजटा', 'क्रोधताम्राक्षी', 'करतलोदरीम्'], 'B-HUMAN': ['सीतां']}	{'B-ASURA': ['एकजटा'], 'I-ASURA': ['एकजटा'], 'B-RAKSHASA': ['राक्षसी'], 'I-RAKSHASA': ['राक्षसी'], 'B-HUMAN': ['सीतां']}	{'B-RAKSHASA': ['एकजटा'], 'B-HUMAN': ['सीतां']}
षण्णां प्रजापतीनां यः चतुर्थो प्रजापतिः तु ब्रह्मणः मानसो पुत्रः पुलस्त्य इति विश्रुतः	O O O O O O O O O B-HUMAN O O	6	{'B-HUMAN': ['प्रजापतीनां', 'प्रजापतिः', 'पुलस्त्य'], 'B-DEVA': ['ब्रह्मणः']}	{'B-HUMAN': ['पुलस्त्य'], 'B-DEVA': ['ब्रह्मणः']}	{'B-ASURA': ['पुलस्त्य'], 'I-ASURA': ['पुलस्त्य']}	{'B-HUMAN': ['प्रजापतीनां', 'पुलस्त्य'], 'B-DEVA': ['ब्रह्मणः']}
पुलस्त्यस्य मानसः सुतः नाम्ना महर्षिर् विश्रवा नाम स तु प्रजापतिसमप्रभः तेजस्वी	B-HUMAN O O O O B-HUMAN O O O O O	7	{'B-HUMAN': ['पुलस्त्यस्य', 'सुतः', 'महर्षिर्'], 'B-ASURA': ['विश्रवा'], 'B-DEVA': ['प्रजापतिसमप्रभः']}	{'B-HUMAN': ['पुलस्त्यस्य', 'विश्रवा']}	{'B-HUMAN': ['पुलस्त्यस्य', 'महर्षिर्', 'विश्रवा']}	{'B-HUMAN': ['पुलस्त्यस्य', 'मानसः', 'विश्रवा'], 'B-DEVA': ['प्रजापतिसमप्रभः']}
विशालाक्षि शत्रुरावणः रावणः तस्य पुत्रो	O O B-ASURA O O	8	{'B-ASURA': ['रावणः']}	{'B-RAKSHASA': ['विशालाक्षि', 'शत्रुरावणः', 'रावणः'], 'B-HUMAN': ['तस्य पुत्रो']}	{'B-HUMAN': ['विशालाक्षि', 'शत्रुरावणः', 'रावणः'], 'B-HUMAN': ['पुत्रो']}	{'B-HUMAN': ['विशालाक्षि', 'शत्रुरावणः', 'रावणः']}
ततो मार्जार सदृश ईक्षणा हरिजटा नाम राक्षसी कोपात् नयने विवृत्य वाक्यम् अब्रवीत्	O O O O O O B-RAKSHASA O O O O O	9	{'B-RAKSHASA': ['हरिजटा']}	{'B-RAKSHASA': ['हरिजटा']}	{'B-RAKSHASA': ['हरिजटा']}	{'B-RAKSHASA': ['मार्जार सदृश ईक्षणा हरिजटा नाम राक्षसी']}
येन त्रयस्त्रिंशत् देवाः च देवराजः निर्जितः	O O B-DEVA O B-DEVA O	10	{'B-DEVA': ['त्रयस्त्रिंशत्', 'देवाः'], 'B-DEVA': ['देवराजः']}	{'B-DEVA': ['देवाः', 'देवराजः']}	{'B-DEVA': ['देवाः', 'देवराजः']}	{'B-DEVA': ['त्रयस्त्रिंशत् देवाः'], 'B-DEVA': ['देवराजः']}
