ID	QUESTION	ANSWER	CHOICES	context_0	gpt-4o
1	श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामन्याख्यातु।	नलनीलौ; नीलनलौ		सुखार्हस्य महार्हस्य सर्वभूतहितात्मनः ऐश्वर्येण विहीनस्य वनवासाश्रितस्य च ४,००४।०१० रक्षसापहृता भार्या रहिते कामरूपिणा तच्च न ज्ञायते रक्षः पत्नी येनास्य सा हृता ४,००४।०११ दनुर्नाम श्रियः पुत्रः शापाद्राक्षसतां गतः आख्यातस्तेन सुग्रीवः समर्थो वानराधिपः ४,००४।०१२ स ज्ञास्यति महावीर्यस्तव भार्यापहारिणम् एवमुक्त्वा दनुः स्वर्गं भ्राजमानो गतः सुखम् ४,००४।०१३ एतत्ते सर्वमाख्यातं याथातथ्येन पृच्छतः अहं चैव हि रामश्च सुग्रीवं शरणं गतौ ४,००४।०१४ एष दत्त्वा च वित्तानि प्राप्य चानुत्तमं यशः लोकनाथः पुरा भूत्वा सुग्रीवं नाथमिच्छति ४,००४।०१५ शोकाभिभूते रामे तु शोकार्ते शरणं गते कर्तुमर्हति सुग्रीवः प्रसादं सह यूथपैः ४,००४।०१६ एवं ब्रुवाणं सौमित्रिं करुणं साश्रुपातनम् हनूमान्प्रत्युवाचेदं वाक्यं वाक्यविशारदः ४,००४।०१७ ईदृशा बुद्धिसंपन्ना जितक्रोधा जितेन्द्रियाः द्रष्टव्या वानरेन्द्रेण दिष्ट्या दर्शनमागताः ४,००४।०१८ स हि राज्याच्च विभ्रष्टः कृतवैरश्च वालिना हृतदारो वने त्रस्तो भ्रात्रा विनिकृतो भृशम् ४,००४।०१९	नल, नील
2	येन विमानेन श्रीरामः सीतालक्ष्मणाभ्यां सहितः लङ्कातः अयोध्यामागच्छत्, तस्य किं नाम आसीत् ?	पुष्पकम्; पुष्पकविमानम्		अब्रवीच्च विमानस्थः काकुत्स्थः सर्ववानरान् सुग्रीवं च महावीर्यं राक्षसं च विभीषणम् ६,११०।०११ मित्रकार्यं कृतमिदं भवद्भिर्वानरोत्तमाः अनुज्ञाता मया सर्वे यथेष्टं प्रतिगच्छत ६,११०।०१२ यत्तु कार्यं वयस्येन सुहृदा वा परंतप कृतं सुग्रीव तत्सर्वं भवता धर्मभीरुणा किष्किन्धां प्रतियाह्याशु स्वसैन्येनाभिसंवृतः ६,११०।०१३ स्वराज्ये वस लङ्कायां मया दत्ते विभीषण न त्वां धर्षयितुं शक्ताः सेन्द्रा अपि दिवौकसः ६,११०।०१४ अयोध्यां प्रतियास्यामि राजधानीं पितुर्मम अभ्यनुज्ञातुमिच्छामि सर्वानामन्त्रयामि वः ६,११०।०१५ एवमुक्तास्तु रामेण वानरास्ते महाबलाः ऊचुः प्राञ्जलयो रामं राक्षसश्च विभीषणः अयोध्यां गन्तुमिच्छामः सर्वान्नयतु नो भवान् ६,११०।०१६ दृष्ट्वा त्वामभिषेकार्द्रं कौसल्यामभिवाद्य च अचिरेणागमिष्यामः स्वान्गृहान्नृपतेः सुत ६,११०।०१७ एवमुक्तस्तु धर्मात्मा वानरैः सविभीषणैः अब्रवीद्राघवः श्रीमान्ससुग्रीवविभीषणान् ६,११०।०१८ प्रियात्प्रियतरं लब्धं यदहं ससुहृज्जनः सर्वैर्भवद्भिः सहितः प्रीतिं लप्स्ये पुरीं गतः ६,११०।०१९	पुष्पक
3	हनुमान् लक्ष्मणस्य मूर्च्छानिवारणाय लङ्कायाः यं प्रसिद्धं वैद्यमानयत्, तस्य नाम किम् ?	सुषेणः		किङ्किणीजालघोषाभिः पताकाभिरलंकृताम् आसाद्य सहसा हृष्टः प्राकारमभिपेदिवान् ५,००३।००७ विस्मयाविष्टहृदयः पुरीमालोक्य सर्वतः जाम्बूनदमयैर्द्वारैर्वैदूर्यकृतवेदिकैः ५,००३।००८ मणिस्फटिक मुक्ताभिर्मणिकुट्टिमभूषितैः तप्तहाटकनिर्यूहै राजतामलपाण्डुरैः ५,००३।००९ वैदूर्यतलसोपानैः स्फाटिकान्तरपांसुभिः चारुसंजवनोपेतैः खमिवोत्पतितैः शुभैः ५,००३।०१० क्रौञ्चबर्हिणसंघुष्टे राजहंसनिषेवितैः तूर्याभरणनिर्घोषैः सर्वतः प्रतिनादिताम् ५,००३।०११ वस्वोकसाराप्रतिमां समीक्ष्य नगरीं ततः खमिवोत्पतितां लङ्कां जहर्ष हनुमान्कपिः ५,००३।०१२ तां समीक्ष्य पुरीं लङ्कां राक्षसाधिपतेः शुभाम् अनुत्तमामृद्धियुतां चिन्तयामास वीर्यवान् ५,००३।०१३ नेयमन्येन नगरी शक्या धर्षयितुं बलात् रक्षिता रावणबलैरुद्यतायुधधारिभिः ५,००३।०१४ कुमुदाङ्गदयोर्वापि सुषेणस्य महाकपेः प्रसिद्धेयं भवेद्भूमिर्मैन्दद्विविदयोरपि ५,००३।०१५ विवस्वतस्तनूजस्य हरेश्च कुशपर्वणः ऋक्षस्य केतुमालस्य मम चैव गतिर्भवेत् ५,००३।०१६ समीक्ष्य तु महाबाहो राघवस्य पराक्रमम् लक्ष्मणस्य च विक्रान्तमभवत्प्रीतिमान्कपिः ५,००३।०१७	सुषेणः
4	लक्ष्मणस्य मूर्च्छायाः दूरीकरणाय हनुमान् याम् औषधिम् आनयत् तस्य किं नाम आसीत् ?	सञ्जीवनी		सीतातृतीयानारूढान्दृष्ट्वा धृष्टमचोदयत् सुमन्त्रः संमतानश्वान्वायुवेगसमाञ्जवे २,०३५।०१४ प्रयाते तु महारण्यं चिररात्राय राघवे बभूव नगरे मूर्च्छा बलमूर्च्छा जनस्य च २,०३५।०१५ तत्समाकुलसंभ्रान्तं मत्तसंकुपित द्विपम् हयशिञ्जितनिर्घोषं पुरमासीन्महास्वनम् २,०३५।०१६ ततः सबालवृद्धा सा पुरी परमपीडिता राममेवाभिदुद्राव घर्मार्तः सलिलं यथा २,०३५।०१७ पार्श्वतः पृष्ठतश्चापि लम्बमानास्तदुन्मुखाः बाष्पपूर्णमुखाः सर्वे तमूचुर्भृशदुःखिताः २,०३५।०१८ संयच्छ वाजिनां रश्मीन्सूत याहि शनैः शनैः मुखं द्रक्ष्यामि रामस्य दुर्दर्शं नो भविष्यति २,०३५।०१९ आयसं हृदयं नूनं राममातुरसंशयम् यद्देवगर्भप्रतिमे वनं याति न भिद्यते २,०३५।०२० कृतकृत्या हि वैदेही छायेवानुगता पतिम् न जहाति रता धर्मे मेरुमर्कप्रभा यथा २,०३५।०२१ अहो लक्ष्मण सिद्धार्थः सततां प्रियवादिनम् भ्रातरं देवसंकाशं यस्त्वं परिचरिष्यसि २,०३५।०२२ महत्येषा हि ते सिद्धिरेष चाभ्युदयो महान् एष स्वर्गस्य मार्गश्च यदेनमनुगच्छसि एवं वदन्तस्ते सोढुं न शेकुर्बाष्पमागतम् २,०३५।०२३	विशल्यकरणी
5	राज्ञः जनकस्य किं मूलं नाम आसीत् ?	सीरध्वजः		सज्जोऽहं त्वत्प्रतीक्षोऽस्मि वेद्यामस्यां प्रतिष्ठितः अविघ्नं कुरुतां राजा किमर्थं हि विलम्ब्यते १,०७२।०१५ तद्वाक्यं जनकेनोक्तं श्रुत्वा दशरथस्तदा प्रवेशयामास सुतान्सर्वानृषिगणानपि १,०७२।०१६ अब्रवीज्जनको राजा कौसल्यानन्दवर्धनम् इयं सीता मम सुता सहधर्मचरी तव प्रतीच्छ चैनां भद्रं ते पाणिं गृह्णीष्व पाणिना १,०७२।०१७ लक्ष्मणागच्छ भद्रं ते ऊर्मिलामुद्यतां मया प्रतीच्छ पाणिं गृह्णीष्व मा भूत्कालस्य पर्ययः १,०७२।०१८ तमेवमुक्त्वा जनको भरतं चाभ्यभाषत गृहाण पाणिं माण्डव्याः पाणिना रघुनन्दन १,०७२।०१९ शत्रुघ्नं चापि धर्मात्मा अब्रवीज्जनकेश्वरः श्रुतकीर्त्या महाबाहो पाणिं गृह्णीष्व पाणिना १,०७२।०२० सर्वे भवन्तः संयाश्च सर्वे सुचरितव्रताः पत्नीभिः सन्तु काकुत्स्था मा भूत्कालस्य पर्ययः १,०७२।०२१ जनकस्य वचः श्रुत्वा पाणीन्पाणिभिरस्पृशन् चत्वारस्ते चतसृणां वसिष्ठस्य मते स्थिताः १,०७२।०२२ अग्निं प्रदक्षिणं कृत्वा वेदिं राजानमेव च ऋषींश्चैव महात्मानः सह भार्या रघूत्तमाः यथोक्तेन तथा चक्रुर्विवाहं विधिपूर्वकम् १,०७२।०२३	सीरध्वजः
6	या कैकेयीं रामस्य वनवासः तथा भरतस्य कृते राजसिंहासनं एष्टुं मन्त्रितवती कैकेय्याः तस्याः दास्याः नाम किम् ?	मन्थरा		सुभगा खलु कौसल्या यस्याः पुत्रोऽभिषेक्ष्यते यौवराज्येन महता श्वः पुष्येण द्विजोत्तमैः २,००८।००३ प्राप्तां सुमहतीं प्रीतिं प्रतीतां तां हतद्विषम् उपस्थास्यसि कौसल्यां दासीव त्वं कृताञ्जलिः २,००८।००४ हृष्टाः खलु भविष्यन्ति रामस्य परमाः स्त्रियः अप्रहृष्टा भविष्यन्ति स्नुषास्ते भरतक्षये २,००८।००५ तां दृष्ट्वा परमप्रीतां ब्रुवन्तीं मन्थरां ततः रामस्यैव गुणान्देवी कैकेयी प्रशशंस ह २,००८।००६ धर्मज्ञो गुरुभिर्दान्तः कृतज्ञः सत्यवाक्शुचिः रामो राज्ञः सुतो ज्येष्ठो यौवराज्यमतोऽर्हति २,००८।००७ भ्रातॄन्भृत्यांश्च दीर्घायुः पितृवत्पालयिष्यति संतप्यसे कथं कुब्जे श्रुत्वा रामाभिषेचनम् २,००८।००८ भरतश्चापि रामस्य ध्रुवं वर्षशतात्परम् पितृपैतामहं राज्यमवाप्स्यति नरर्षभः २,००८।००९ सा त्वमभ्युदये प्राप्ते वर्तमाने च मन्थरे भविष्यति च कल्याणे किमर्थं परितप्यसे कौसल्यातोऽतिरिक्तं च स तु शुश्रूषते हि माम् २,००८।०१० कैकेय्या वचनं श्रुत्वा मन्थरा भृशदुःखिता दीर्घमुष्णं विनिःश्वस्य कैकेयीमिदमब्रवीत् २,००८।०११ अनर्थदर्शिनी मौर्ख्यान्नात्मानमवबुध्यसे शोकव्यसनविस्तीर्णे मज्जन्ती दुःखसागरे २,००८।०१२	मन्थरा
7	वाल्मीकि-रामायणस्य रचना यस्मिन् छन्दसि जाता तस्य किं नाम आसीत् ?	अनुष्टुप्		शोचन्नेव मुहुः क्रौञ्चीमुपश्लोकमिमं पुनः जगावन्तर्गतमना भूत्वा शोकपरायणः १,००२।०२८ तमुवाच ततो ब्रह्मा प्रहसन्मुनिपुंगवम् श्लोक एव त्वया बद्धो नात्र कार्या विचारणा १,००२।०२९ मच्छन्दादेव ते ब्रह्मन्प्रवृत्तेयं सरस्वती रामस्य चरितं सर्वं कुरु त्वमृषिसत्तम १,००२।०३० धर्मात्मनो गुणवतो लोके रामस्य धीमतः वृत्तं कथय धीरस्य यथा ते नारदाच्छ्रुतम् १,००२।०३१ रहस्यं च प्रकाशं च यद्वृत्तं तस्य धीमतः रामस्य सह सौमित्रे राक्षसानां च सर्वशः १,००२।०३२ वैदेह्याश्चैव यद्वृत्तं प्रकाशं यदि वा रहः तच्चाप्यविदितं सर्वं विदितं ते भविष्यति १,००२।०३३ न ते वागनृता काव्ये का चिदत्र भविष्यति कुरु रामकथां पुण्यां श्लोकबद्धां मनोरमाम् १,००२।०३४ यावत्स्थास्यन्ति गिरयः सरितश्च महीतले तावद्रामायणकथा लोकेषु प्रचरिष्यति १,००२।०३५ यावद्रामस्य च कथा त्वत्कृता प्रचरिष्यति तावदूर्ध्वमधश्च त्वं मल्लोकेषु निवत्स्यसि १,००२।०३६ इत्युक्त्वा भगवान्ब्रह्मा तत्रैवान्तरधीयत ततः सशिष्यो वाल्मीकिर्मुनिर्विस्मयमाययौ १,००२।०३७ तस्य शिष्यास्ततः सर्वे जगुः श्लोकमिमं पुनः मुहुर्मुहुः प्रीयमाणाः प्राहुश्च भृशविस्मिताः १,००२।०३८	अनुष्टुप्
8	यस्य कथनात् श्रीरामः सीतां परित्यक्तवान् तस्य गुप्तचरस्य नाम किम् ?	दुर्मुखः		भार्गवश्च्यवनश्चैव शतानन्दश्च धर्मवित् भरद्वाजश्च तेजस्वी अग्निपुत्रश्च सुप्रभः ७,०८७।००४ एते चान्ये च मुनयो बहवः संशितव्रताः राजानश्च नरव्याघ्राः सर्व एव समागताः ७,०८७।००५ राक्षसाश्च महावीर्या वानराश्च महाबलाः समाजग्मुर्महात्मानः सर्व एव कुतूहलात् ७,०८७।००६ क्षत्रियाश्चैव वैश्याश्च शूद्राश्चैव सहस्रशः सीताशपथवीक्षार्थं सर्व एव समागताः ७,०८७।००७ तथा समागतं सर्वमश्वभूतमिवाचलम् श्रुत्वा मुनिवरस्तूर्णं ससीतः समुपागमत् ७,०८७।००८ तमृषिं पृष्ठतः सीता सान्वगच्छदवाङ्मुखी कृताञ्जलिर्बाष्पगला कृत्वा रामं मनोगतम् ७,०८७।००९ तां दृष्ट्वा श्रीमिवायान्तीं ब्रह्माणमनुगामिनीम् वाल्मीकेः पृष्ठतः सीतां साधुकारो महानभूत् ७,०८७।०१० ततो हलहला शब्दः सर्वेषामेवमाबभौ दुःखजेन विशालेन शोकेनाकुलितात्मनाम् ७,०८७।०११ साधु सीतेति के चित्तु साधु रामेति चापरे उभावेव तु तत्रान्ये साधु साध्विति चाब्रुवन् ७,०८७।०१२ ततो मध्यं जनौघानां प्रविश्य मुनिपुंगवः सीतासहायो वाल्मीकिरिति होवाच राघवम् ७,०८७।०१३ इयं दाशरथे सीता सुव्रता धर्मचारिणी अपापा ते परित्यक्ता ममाश्रमसमीपतः ७,०८७।०१४	गुप्तचरः
9	कैकेय्याः दायविवाहेन सह या दासी आगता तस्याः किं नाम आसीत् ?	मन्थरा		अग्निं प्रदक्षिणं कृत्वा वेदिं राजानमेव च ऋषींश्चैव महात्मानः सह भार्या रघूत्तमाः यथोक्तेन तथा चक्रुर्विवाहं विधिपूर्वकम् १,०७२।०२३ पुष्पवृष्टिर्महत्यासीदन्तरिक्षात्सुभास्वरा दिव्यदुन्दुभिनिर्घोषैर्गीतवादित्रनिस्वनैः १,०७२।०२४ ननृतुश्चाप्सरःसंघा गन्धर्वाश्च जगुः कलम् विवाहे रघुमुख्यानां तदद्भुतमिवाभवत् १,०७२।०२५ ईदृशे वर्तमाने तु तूर्योद्घुष्टनिनादिते त्रिरग्निं ते परिक्रम्य ऊहुर्भार्या महौजसः १,०७२।०२६ अथोपकार्यां जग्मुस्ते सदारा रघुनन्दनः राजाप्यनुययौ पश्यन्सर्षिसंघः सबान्धवः १,०७२।०२७ अथ रात्र्यां व्यतीतायां विश्वामित्रो महामुनिः आपृच्छ्य तौ च राजानौ जगामोत्तरपर्वतम् १,०७३।००१ विश्वामित्रो गते राजा वैदेहं मिथिलाधिपम् आपृच्छ्याथ जगामाशु राजा दशरथः पुरीम् १,०७३।००२ अथ राजा विदेहानां ददौ कन्याधनं बहु गवां शतसहस्राणि बहूनि मिथिलेश्वरः १,०७३।००३ कम्बलानां च मुख्यानां क्षौमकोट्यम्बराणि च हस्त्यश्वरथपादातं दिव्यरूपं स्वलंकृतम् १,०७३।००४ ददौ कन्या पिता तासां दासीदासमनुत्तमम् हिरण्यस्य सुवर्णस्य मुक्तानां विद्रुमस्य च १,०७३।००५	मन्थरा
10	यस्य्मिन् तीर्थक्षेत्रे निमज्जनं कृत्वा श्रीरामः परमं धाम प्रस्थितवान् तस्य तीर्थस्य किं नाम आसीत् ?	गोप्रतारः		राघवश्च महावीर्यः क्षिप्रं त्वामभिपत्स्यते समित्रबान्धवं हत्वा रावणं राक्षसाधिपम् ५,०३३।०७२ कौरजो नाम वैदेहि गिरीणामुत्तमो गिरिः ततो गच्छति गोकर्णं पर्वतं केसरी हरिः ५,०३३।०७३ स च देवर्षिभिर्दृष्टः पिता मम महाकपिः तीर्थे नदीपतेः पुण्ये शम्बसादनमुद्धरत् ५,०३३।०७४ तस्याहं हरिणः क्षेत्रे जातो वातेन मैथिलि हनूमानिति विख्यातो लोके स्वेनैव कर्मणा विश्वासार्थं तु वैदेहि भर्तुरुक्ता मया गुणाः ५,०३३।०७५ एवं विश्वासिता सीता हेतुभिः शोककर्शिता उपपन्नैरभिज्ञानैर्दूतं तमवगच्छति ५,०३३।०७६ अतुलं च गता हर्षं प्रहर्षेण तु जानकी नेत्राभ्यां वक्रपक्ष्माभ्यां मुमोचानन्दजं जलम् ५,०३३।०७७ चारु तच्चाननं तस्यास्ताम्रशुक्लायतेक्षणम् अशोभत विशालाक्ष्या राहुमुक्त इवोडुराट् हनूमन्तं कपिं व्यक्तं मन्यते नान्यथेति सा ५,०३३।०७८ अथोवाच हनूमांस्तामुत्तरं प्रियदर्शनाम् ५,०३३।०७९ हतेऽसुरे संयति शम्बसादने कपिप्रवीरेण महर्षिचोदनात् ततोऽस्मि वायुप्रभवो हि मैथिलि प्रभावतस्तत्प्रतिमश्च वानरः ५,०३३।०८० भूय एव महातेजा हनूमान्मारुतात्मजः अब्रवीत्प्रश्रितं वाक्यं सीताप्रत्ययकारणात् ५,०३४।००१	गोकर्णम्
