ID	QUESTION	ANSWER	CHOICES	context_0	gpt-4o
1	श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामन्याख्यातु।	नलनीलौ; नीलनलौ		नरवानरराजौ तौ स च वायुसुतः कपिः जाम्बवानृक्षराजश्च राक्षसश्च विभीषणः ६,०२८।००१ अङ्गदो वालिपुत्रश्च सौमित्रिः शरभः कपिः सुषेणः सहदायादो मैन्दो द्विविद एव च ६,०२८।००२ गजो गवाक्षो कुमुदो नलोऽथ पनसस्तथा अमित्रविषयं प्राप्ताः समवेताः समर्थयन् ६,०२८।००३ इयं सा लक्ष्यते लङ्का पुरी रावणपालिता सासुरोरगगन्धर्वैरमरैरपि दुर्जया ६,०२८।००४ कार्यसिद्धिं पुरस्कृत्य मन्त्रयध्वं विनिर्णये नित्यं संनिहितो ह्यत्र रावणो राक्षसाधिपः ६,०२८।००५ तथा तेषु ब्रुवाणेषु रावणावरजोऽब्रवीत् वाक्यमग्राम्यपदवत्पुष्कलार्थं विभीषणः ६,०२८।००६ अनलः शरभश्चैव संपातिः प्रघसस्तथा गत्वा लङ्कां ममामात्याः पुरीं पुनरिहागताः ६,०२८।००७ भूत्वा शकुनयः सर्वे प्रविष्टाश्च रिपोर्बलम् विधानं विहितं यच्च तद्दृष्ट्वा समुपस्थिताः ६,०२८।००८ संविधानं यथाहुस्ते रावणस्य दुरात्मनः राम तद्ब्रुवतः सर्वं यथातथ्येन मे शृणु ६,०२८।००९ पूर्वं प्रहस्तः सबलो द्वारमासाद्य तिष्ठति दक्षिणं च महावीर्यौ महापार्श्वमहोदरौ ६,०२८।०१० इन्द्रजित्पश्चिमद्वारं राक्षसैर्बहुभिर्वृतः पट्टसासिधनुष्मद्भिः शूलमुद्गरपाणिभिः ६,०२८।०११	नलः, नीलः
2	येन विमानेन श्रीरामः सीतालक्ष्मणाभ्यां सहितः लङ्कातः अयोध्यामागच्छत्, तस्य किं नाम आसीत् ?	पुष्पकम्; पुष्पकविमानम्		निर्विशङ्का निरुद्विग्ना निरपेक्षा च मैथिली मामुपस्थास्यते सीता सर्वाभरणभूषिता ६,०३७।००९ अद्य कालवशं प्राप्तं रणे रामं सलक्ष्मणम् अवेक्ष्य विनिवृत्ताशा नान्यां गतिमपश्यती ६,०३७।०१० तस्य तद्वचनं श्रुत्वा रावणस्य दुरात्मनः राक्षस्यस्तास्तथेत्युक्त्वा प्रजग्मुर्यत्र पुष्पकम् ६,०३७।०११ ततः पुष्पकमादय राक्षस्यो रावणाज्ञया अशोकवनिकास्थां तां मैथिलीं समुपानयन् ६,०३७।०१२ तामादाय तु राक्षस्यो भर्तृशोकपरायणाम् सीतामारोपयामासुर्विमानं पुष्पकं तदा ६,०३७।०१३ ततः पुष्पकमारोप्य सीतां त्रिजटया सह रावणोऽकारयल्लङ्कां पताकाध्वजमालिनीम् ६,०३७।०१४ प्राघोषयत हृष्टश्च लङ्कायां राक्षसेश्वरः राघवो लक्ष्मणश्चैव हताविन्द्रजिता रणे ६,०३७।०१५ विमानेनापि सीता तु गत्वा त्रिजटया सह ददर्श वानराणां तु सर्वं सिन्यं निपातितम् ६,०३७।०१६ प्रहृष्टमनसश्चापि ददर्श पिशिताशनान् वानरांश्चापि दुःखार्तान्रामलक्ष्मणपार्श्वतः ६,०३७।०१७ ततः सीता ददर्शोभौ शयानौ शततल्पयोः लक्ष्मणं चैव रामं च विसंज्ञौ शरपीडितौ ६,०३७।०१८ विध्वस्तकवचौ वीरौ विप्रविद्धशरासनौ सायकैश्छिन्नसर्वाङ्गौ शरस्तम्भमयौ क्षितौ ६,०३७।०१९	पुष्पकम्
3	हनुमान् लक्ष्मणस्य मूर्च्छानिवारणाय लङ्कायाः यं प्रसिद्धं वैद्यमानयत्, तस्य नाम किम् ?	सुषेणः		एतदायोधनं पश्य मांसशोणितकर्दमम् हरीणां राक्षसानां च सीते विशसनं महत् ६,१११।००४ तवहेतोर्विशालाक्षि रावणो निहतो मया कुम्भकर्णोऽत्र निहतः प्रहस्तश्च निशाचरः ६,१११।००५ लक्ष्मणेनेन्द्रजिच्चात्र रावणिर्निहतो रणे विरूपाक्षश्च दुष्प्रेक्ष्यो महापार्श्वमहोदरौ ६,१११।००६ अकम्पनश्च निहतो बलिनोऽन्ये च राक्षसाः त्रिशिराश्चातिकायश्च देवान्तकनरान्तकौ ६,१११।००७ अत्र मन्दोदरी नाम भार्या तं पर्यदेवयत् सपत्नीनां सहस्रेण सास्रेण परिवारिता ६,१११।००८ एतत्तु दृश्यते तीर्थं समुद्रस्य वरानने यत्र सागरमुत्तीर्य तां रात्रिमुषिता वयम् ६,१११।००९ एष सेतुर्मया बद्धः सागरे सलिलार्णवे तवहेतोर्विशालाक्षि नलसेतुः सुदुष्करः ६,१११।०१० पश्य सागरमक्षोभ्यं वैदेहि वरुणालयम् अपारमभिगर्जन्तं शङ्खशुक्तिनिषेवितम् ६,१११।०११ हिरण्यनाभं शैलेन्द्रं काञ्चनं पश्य मैथिलि विश्रमार्थं हनुमतो भित्त्वा सागरमुत्थितम् ६,१११।०१२ अत्र राक्षसराजोऽयमाजगाम विभीषणः ६,१११।०१३ एषा सा दृश्यते सीते किष्किन्धा चित्रकानना सुग्रीवस्य पुरी रम्या यत्र वाली मया हतः ६,१११।०१४	सुषेणः
4	लक्ष्मणस्य मूर्च्छायाः दूरीकरणाय हनुमान् याम् औषधिम् आनयत् तस्य किं नाम आसीत् ?	सञ्जीवनी		निर्विशङ्का निरुद्विग्ना निरपेक्षा च मैथिली मामुपस्थास्यते सीता सर्वाभरणभूषिता ६,०३७।००९ अद्य कालवशं प्राप्तं रणे रामं सलक्ष्मणम् अवेक्ष्य विनिवृत्ताशा नान्यां गतिमपश्यती ६,०३७।०१० तस्य तद्वचनं श्रुत्वा रावणस्य दुरात्मनः राक्षस्यस्तास्तथेत्युक्त्वा प्रजग्मुर्यत्र पुष्पकम् ६,०३७।०११ ततः पुष्पकमादय राक्षस्यो रावणाज्ञया अशोकवनिकास्थां तां मैथिलीं समुपानयन् ६,०३७।०१२ तामादाय तु राक्षस्यो भर्तृशोकपरायणाम् सीतामारोपयामासुर्विमानं पुष्पकं तदा ६,०३७।०१३ ततः पुष्पकमारोप्य सीतां त्रिजटया सह रावणोऽकारयल्लङ्कां पताकाध्वजमालिनीम् ६,०३७।०१४ प्राघोषयत हृष्टश्च लङ्कायां राक्षसेश्वरः राघवो लक्ष्मणश्चैव हताविन्द्रजिता रणे ६,०३७।०१५ विमानेनापि सीता तु गत्वा त्रिजटया सह ददर्श वानराणां तु सर्वं सिन्यं निपातितम् ६,०३७।०१६ प्रहृष्टमनसश्चापि ददर्श पिशिताशनान् वानरांश्चापि दुःखार्तान्रामलक्ष्मणपार्श्वतः ६,०३७।०१७ ततः सीता ददर्शोभौ शयानौ शततल्पयोः लक्ष्मणं चैव रामं च विसंज्ञौ शरपीडितौ ६,०३७।०१८ विध्वस्तकवचौ वीरौ विप्रविद्धशरासनौ सायकैश्छिन्नसर्वाङ्गौ शरस्तम्भमयौ क्षितौ ६,०३७।०१९	विशल्यकरणी
5	राज्ञः जनकस्य किं मूलं नाम आसीत् ?	सीरध्वजः		नरवानरराजौ तौ स च वायुसुतः कपिः जाम्बवानृक्षराजश्च राक्षसश्च विभीषणः ६,०२८।००१ अङ्गदो वालिपुत्रश्च सौमित्रिः शरभः कपिः सुषेणः सहदायादो मैन्दो द्विविद एव च ६,०२८।००२ गजो गवाक्षो कुमुदो नलोऽथ पनसस्तथा अमित्रविषयं प्राप्ताः समवेताः समर्थयन् ६,०२८।००३ इयं सा लक्ष्यते लङ्का पुरी रावणपालिता सासुरोरगगन्धर्वैरमरैरपि दुर्जया ६,०२८।००४ कार्यसिद्धिं पुरस्कृत्य मन्त्रयध्वं विनिर्णये नित्यं संनिहितो ह्यत्र रावणो राक्षसाधिपः ६,०२८।००५ तथा तेषु ब्रुवाणेषु रावणावरजोऽब्रवीत् वाक्यमग्राम्यपदवत्पुष्कलार्थं विभीषणः ६,०२८।००६ अनलः शरभश्चैव संपातिः प्रघसस्तथा गत्वा लङ्कां ममामात्याः पुरीं पुनरिहागताः ६,०२८।००७ भूत्वा शकुनयः सर्वे प्रविष्टाश्च रिपोर्बलम् विधानं विहितं यच्च तद्दृष्ट्वा समुपस्थिताः ६,०२८।००८ संविधानं यथाहुस्ते रावणस्य दुरात्मनः राम तद्ब्रुवतः सर्वं यथातथ्येन मे शृणु ६,०२८।००९ पूर्वं प्रहस्तः सबलो द्वारमासाद्य तिष्ठति दक्षिणं च महावीर्यौ महापार्श्वमहोदरौ ६,०२८।०१० इन्द्रजित्पश्चिमद्वारं राक्षसैर्बहुभिर्वृतः पट्टसासिधनुष्मद्भिः शूलमुद्गरपाणिभिः ६,०२८।०११	सीरध्वजः
6	या कैकेयीं रामस्य वनवासः तथा भरतस्य कृते राजसिंहासनं एष्टुं मन्त्रितवती कैकेय्याः तस्याः दास्याः नाम किम् ?	मन्थरा		तदवस्थं तु भरतं शत्रुघ्नोऽनन्तर स्थितः परिष्वज्य रुरोदोच्चैर्विसंज्ञः शोककर्शितः २,०८१।००४ ततः सर्वाः समापेतुर्मातरो भरतस्य ताः उपवास कृशा दीना भर्तृव्यसनकर्शिताः २,०८१।००५ ताश्च तं पतितं भूमौ रुदन्त्यः पर्यवारयन् कौसल्या त्वनुसृत्यैनं दुर्मनाः परिषस्वजे २,०८१।००६ वत्सला स्वं यथा वत्समुपगूह्य तपस्विनी परिपप्रच्छ भरतं रुदन्ती शोकलालसा २,०८१।००७ पुत्रव्याधिर्न ते कच्चिच्छरीरं परिबाधते अद्य राजकुलस्यास्य त्वदधीनं हि जीवितम् २,०८१।००८ त्वां दृष्ट्वा पुत्र जीवामि रामे सभ्रातृके गते वृत्ते दशरथे राज्ञि नाथ एकस्त्वमद्य नः २,०८१।००९ कच्चिन्न लक्ष्मणे पुत्र श्रुतं ते किं चिदप्रियम् पुत्र वा ह्येकपुत्रायाः सहभार्ये वनं गते २,०८१।०१० स मुहूर्तं समाश्वस्य रुदन्नेव महायशाः कौसल्यां परिसान्त्व्येदं गुहं वचनमब्रवीत् २,०८१।०११ भ्राता मे क्वावसद्रात्रिं क्व सीता क्व च लक्ष्मणः अस्वपच्छयने कस्मिन्किं भुक्त्वा गुह शंस मे २,०८१।०१२ सोऽब्रवीद्भरतं पृष्टो निषादाधिपतिर्गुहः यद्विधं प्रतिपेदे च रामे प्रियहितेऽतिथौ २,०८१।०१३	मन्थरा
7	वाल्मीकि-रामायणस्य रचना यस्मिन् छन्दसि जाता तस्य किं नाम आसीत् ?	अनुष्टुप्		प्राप्तोऽहं प्रेषितस्तेन सुग्रीवेण महात्मना राज्ञा वानरमुख्यानां हनुमान्नाम वानरः ४,००३।०१९ युवाभ्यां सह धर्मात्मा सुग्रीवः सख्यमिच्छति तस्य मां सचिवं वित्तं वानरं पवनात्मजम् ४,००३।०२० भिक्षुरूपप्रतिच्छन्नं सुग्रीवप्रियकाम्यया ऋश्यमूकादिह प्राप्तं कामगं कामरूपिणम् ४,००३।०२१ एवमुक्त्वा तु हनुमांस्तौ वीरौ रामलक्ष्मणौ वाक्यज्ञौ वाक्यकुशलः पुनर्नोवाच किं चन ४,००३।०२२ एतच्छ्रुत्वा वचस्तस्य रामो लक्ष्मणमब्रवीत् प्रहृष्टवदनः श्रीमान्भ्रातरं पार्श्वतः स्थितम् ४,००३।०२३ सचिवोऽयं कपीन्द्रस्य सुग्रीवस्य महात्मनः तमेव काङ्क्षमाणस्य ममान्तिकमुपागतः ४,००३।०२४ तमभ्यभाष सौमित्रे सुग्रीवसचिवं कपिम् वाक्यज्ञं मधुरैर्वाक्यैः स्नेहयुक्तमरिंदमम् ४,००३।०२५ ततः प्रहृष्टो हनुमान्कृत्यवानिति तद्वचः श्रुत्वा मधुरसंभाषं सुग्रीवं मनसा गतः ४,००४।००१ भव्यो राज्यागमस्तस्य सुग्रीवस्य महात्मनः यदयं कृत्यवान्प्राप्तः कृत्यं चैतदुपागतम् ४,००४।००२ ततः परमसंहृष्टो हनूमान्प्लवगर्षभः प्रत्युवाच ततो वाक्यं रामं वाक्यविशारदः ४,००४।००३	अनुष्टुप्
8	यस्य कथनात् श्रीरामः सीतां परित्यक्तवान् तस्य गुप्तचरस्य नाम किम् ?	दुर्मुखः		निर्विशङ्का निरुद्विग्ना निरपेक्षा च मैथिली मामुपस्थास्यते सीता सर्वाभरणभूषिता ६,०३७।००९ अद्य कालवशं प्राप्तं रणे रामं सलक्ष्मणम् अवेक्ष्य विनिवृत्ताशा नान्यां गतिमपश्यती ६,०३७।०१० तस्य तद्वचनं श्रुत्वा रावणस्य दुरात्मनः राक्षस्यस्तास्तथेत्युक्त्वा प्रजग्मुर्यत्र पुष्पकम् ६,०३७।०११ ततः पुष्पकमादय राक्षस्यो रावणाज्ञया अशोकवनिकास्थां तां मैथिलीं समुपानयन् ६,०३७।०१२ तामादाय तु राक्षस्यो भर्तृशोकपरायणाम् सीतामारोपयामासुर्विमानं पुष्पकं तदा ६,०३७।०१३ ततः पुष्पकमारोप्य सीतां त्रिजटया सह रावणोऽकारयल्लङ्कां पताकाध्वजमालिनीम् ६,०३७।०१४ प्राघोषयत हृष्टश्च लङ्कायां राक्षसेश्वरः राघवो लक्ष्मणश्चैव हताविन्द्रजिता रणे ६,०३७।०१५ विमानेनापि सीता तु गत्वा त्रिजटया सह ददर्श वानराणां तु सर्वं सिन्यं निपातितम् ६,०३७।०१६ प्रहृष्टमनसश्चापि ददर्श पिशिताशनान् वानरांश्चापि दुःखार्तान्रामलक्ष्मणपार्श्वतः ६,०३७।०१७ ततः सीता ददर्शोभौ शयानौ शततल्पयोः लक्ष्मणं चैव रामं च विसंज्ञौ शरपीडितौ ६,०३७।०१८ विध्वस्तकवचौ वीरौ विप्रविद्धशरासनौ सायकैश्छिन्नसर्वाङ्गौ शरस्तम्भमयौ क्षितौ ६,०३७।०१९	धूम्रः
9	कैकेय्याः दायविवाहेन सह या दासी आगता तस्याः किं नाम आसीत् ?	मन्थरा		तदवस्थं तु भरतं शत्रुघ्नोऽनन्तर स्थितः परिष्वज्य रुरोदोच्चैर्विसंज्ञः शोककर्शितः २,०८१।००४ ततः सर्वाः समापेतुर्मातरो भरतस्य ताः उपवास कृशा दीना भर्तृव्यसनकर्शिताः २,०८१।००५ ताश्च तं पतितं भूमौ रुदन्त्यः पर्यवारयन् कौसल्या त्वनुसृत्यैनं दुर्मनाः परिषस्वजे २,०८१।००६ वत्सला स्वं यथा वत्समुपगूह्य तपस्विनी परिपप्रच्छ भरतं रुदन्ती शोकलालसा २,०८१।००७ पुत्रव्याधिर्न ते कच्चिच्छरीरं परिबाधते अद्य राजकुलस्यास्य त्वदधीनं हि जीवितम् २,०८१।००८ त्वां दृष्ट्वा पुत्र जीवामि रामे सभ्रातृके गते वृत्ते दशरथे राज्ञि नाथ एकस्त्वमद्य नः २,०८१।००९ कच्चिन्न लक्ष्मणे पुत्र श्रुतं ते किं चिदप्रियम् पुत्र वा ह्येकपुत्रायाः सहभार्ये वनं गते २,०८१।०१० स मुहूर्तं समाश्वस्य रुदन्नेव महायशाः कौसल्यां परिसान्त्व्येदं गुहं वचनमब्रवीत् २,०८१।०११ भ्राता मे क्वावसद्रात्रिं क्व सीता क्व च लक्ष्मणः अस्वपच्छयने कस्मिन्किं भुक्त्वा गुह शंस मे २,०८१।०१२ सोऽब्रवीद्भरतं पृष्टो निषादाधिपतिर्गुहः यद्विधं प्रतिपेदे च रामे प्रियहितेऽतिथौ २,०८१।०१३	मन्थरा
10	यस्य्मिन् तीर्थक्षेत्रे निमज्जनं कृत्वा श्रीरामः परमं धाम प्रस्थितवान् तस्य तीर्थस्य किं नाम आसीत् ?	गोप्रतारः		तत्र सीतां च वैदेहीं निलयं रावणस्य च मार्गध्वं गिरिदुर्गेषु वनेषु च नदीषु च ४,०३९।०१८ नदीं भागीरथीं रम्यां सरयूं कौशिकीं तथा कालिन्दीं यमुनां रम्यां यामुनं च महागिरिम् ४,०३९।०१९ सरस्वतीं च सिन्धुं च शोणं मणिनिभोदकम् महीं कालमहीं चैव शैलकाननशोभिताम् ४,०३९।०२० ब्रह्ममालान्विदेहांश्च मालवान्काशिकोसलान् मागधांश्च महाग्रामान्पुण्ड्रान्वङ्गांस्तथैव च ४,०३९।०२१ पत्तनं कोशकाराणां भूमिं च रजताकराम् सर्वमेतद्विचेतव्यं मृगयद्भिर्ततस्ततः ४,०३९।०२२ रामस्य दयितां भार्यां सीतां दशरतः स्नुषाम् समुद्रमवगाढांश्च पर्वतान्पत्तनानि च ४,०३९।०२३ मन्दरस्य च ये कोटिं संश्रिताः के चिदायताम् कर्णप्रावरणाश्चैव तथा चाप्योष्ठकर्णकाः ४,०३९।०२४ घोरा लोहमुखाश्चैव जवनाश्चैकपादकाः अक्षया बलवन्तश्च पुरुषाः पुरुषादकाः ४,०३९।०२५ किराताः कर्णचूडाश्च हेमाङ्गाः प्रियदर्शनाः आममीनाशनास्तत्र किराता द्वीपवासिनः ४,०३९।०२६ अन्तर्जलचरा घोरा नरव्याघ्रा इति श्रुताः एतेषामालयाः सर्वे विचेयाः काननौकसः ४,०३९।०२७ गिरिभिर्ये च गम्यन्ते प्लवनेन प्लवेन च रत्नवन्तं यवद्वीपं सप्तराज्योपशोभितम् ४,०३९।०२८	सर्वयूः
