ID	QUESTION	ANSWER	CHOICES	context_0	gpt-4o
1	श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामन्याख्यातु।	नलनीलौ; नीलनलौ		प्राप्तोऽहं प्रेषितस्तेन सुग्रीवेण महात्मना राज्ञा वानरमुख्यानां हनुमान्नाम वानरः ४,००३।०१९ युवाभ्यां सह धर्मात्मा सुग्रीवः सख्यमिच्छति तस्य मां सचिवं वित्तं वानरं पवनात्मजम् ४,००३।०२० भिक्षुरूपप्रतिच्छन्नं सुग्रीवप्रियकाम्यया ऋश्यमूकादिह प्राप्तं कामगं कामरूपिणम् ४,००३।०२१ एवमुक्त्वा तु हनुमांस्तौ वीरौ रामलक्ष्मणौ वाक्यज्ञौ वाक्यकुशलः पुनर्नोवाच किं चन ४,००३।०२२ एतच्छ्रुत्वा वचस्तस्य रामो लक्ष्मणमब्रवीत् प्रहृष्टवदनः श्रीमान्भ्रातरं पार्श्वतः स्थितम् ४,००३।०२३ सचिवोऽयं कपीन्द्रस्य सुग्रीवस्य महात्मनः तमेव काङ्क्षमाणस्य ममान्तिकमुपागतः ४,००३।०२४ तमभ्यभाष सौमित्रे सुग्रीवसचिवं कपिम् वाक्यज्ञं मधुरैर्वाक्यैः स्नेहयुक्तमरिंदमम् ४,००३।०२५ ततः प्रहृष्टो हनुमान्कृत्यवानिति तद्वचः श्रुत्वा मधुरसंभाषं सुग्रीवं मनसा गतः ४,००४।००१ भव्यो राज्यागमस्तस्य सुग्रीवस्य महात्मनः यदयं कृत्यवान्प्राप्तः कृत्यं चैतदुपागतम् ४,००४।००२ ततः परमसंहृष्टो हनूमान्प्लवगर्षभः प्रत्युवाच ततो वाक्यं रामं वाक्यविशारदः ४,००४।००३	नल, नील
2	येन विमानेन श्रीरामः सीतालक्ष्मणाभ्यां सहितः लङ्कातः अयोध्यामागच्छत्, तस्य किं नाम आसीत् ?	पुष्पकम्; पुष्पकविमानम्		आजग्मुस्तेऽपि हरयो रामदर्शनकाङ्क्षिणः अङ्गदं पुरतः कृत्वा हनूमन्तं च वानरम् ५,०६२।०३६ तेऽङ्गदप्रमुखा वीराः प्रहृष्टाश्च मुदान्विताः निपेतुर्हरिराजस्य समीपे राघवस्य च ५,०६२।०३७ हनूमांश्च महाबहुः प्रणम्य शिरसा ततः नियतामक्षतां देवीं राघवाय न्यवेदयत् ५,०६२।०३८ निश्चितार्थं ततस्तस्मिन्सुग्रीवं पवनात्मजे लक्ष्मणः प्रीतिमान्प्रीतं बहुमानादवैक्षत ५,०६२।०३९ प्रीत्या च रममाणोऽथ राघवः परवीरहा बहु मानेन महता हनूमन्तमवैक्षत ५,०६२।०४० ततः प्रस्रवणं शैलं ते गत्वा चित्रकाननम् प्रणम्य शिरसा रामं लक्ष्मणं च महाबलम् ५,०६३।००१ युवराजं पुरस्कृत्य सुग्रीवमभिवाद्य च प्रवृत्तमथ सीतायाः प्रवक्तुमुपचक्रमुः ५,०६३।००२ रावणान्तःपुरे रोधं राक्षसीभिश्च तर्जनम् रामे समनुरागं च यश्चापि समयः कृतः ५,०६३।००३ एतदाख्यान्ति ते सर्वे हरयो राम संनिधौ वैदेहीमक्षतां श्रुत्वा रामस्तूत्तरमब्रवीत् ५,०६३।००४ क्व सीता वर्तते देवी कथं च मयि वर्तते एतन्मे सर्वमाख्यात वैदेहीं प्रति वानराः ५,०६३।००५ रामस्य गदितं श्रुत्व हरयो रामसंनिधौ चोदयन्ति हनूमन्तं सीतावृत्तान्तकोविदम् ५,०६३।००६	पुष्पकम्
3	हनुमान् लक्ष्मणस्य मूर्च्छानिवारणाय लङ्कायाः यं प्रसिद्धं वैद्यमानयत्, तस्य नाम किम् ?	सुषेणः		प्राप्तोऽहं प्रेषितस्तेन सुग्रीवेण महात्मना राज्ञा वानरमुख्यानां हनुमान्नाम वानरः ४,००३।०१९ युवाभ्यां सह धर्मात्मा सुग्रीवः सख्यमिच्छति तस्य मां सचिवं वित्तं वानरं पवनात्मजम् ४,००३।०२० भिक्षुरूपप्रतिच्छन्नं सुग्रीवप्रियकाम्यया ऋश्यमूकादिह प्राप्तं कामगं कामरूपिणम् ४,००३।०२१ एवमुक्त्वा तु हनुमांस्तौ वीरौ रामलक्ष्मणौ वाक्यज्ञौ वाक्यकुशलः पुनर्नोवाच किं चन ४,००३।०२२ एतच्छ्रुत्वा वचस्तस्य रामो लक्ष्मणमब्रवीत् प्रहृष्टवदनः श्रीमान्भ्रातरं पार्श्वतः स्थितम् ४,००३।०२३ सचिवोऽयं कपीन्द्रस्य सुग्रीवस्य महात्मनः तमेव काङ्क्षमाणस्य ममान्तिकमुपागतः ४,००३।०२४ तमभ्यभाष सौमित्रे सुग्रीवसचिवं कपिम् वाक्यज्ञं मधुरैर्वाक्यैः स्नेहयुक्तमरिंदमम् ४,००३।०२५ ततः प्रहृष्टो हनुमान्कृत्यवानिति तद्वचः श्रुत्वा मधुरसंभाषं सुग्रीवं मनसा गतः ४,००४।००१ भव्यो राज्यागमस्तस्य सुग्रीवस्य महात्मनः यदयं कृत्यवान्प्राप्तः कृत्यं चैतदुपागतम् ४,००४।००२ ततः परमसंहृष्टो हनूमान्प्लवगर्षभः प्रत्युवाच ततो वाक्यं रामं वाक्यविशारदः ४,००४।००३	सुषेणः
4	लक्ष्मणस्य मूर्च्छायाः दूरीकरणाय हनुमान् याम् औषधिम् आनयत् तस्य किं नाम आसीत् ?	सञ्जीवनी		आजग्मुस्तेऽपि हरयो रामदर्शनकाङ्क्षिणः अङ्गदं पुरतः कृत्वा हनूमन्तं च वानरम् ५,०६२।०३६ तेऽङ्गदप्रमुखा वीराः प्रहृष्टाश्च मुदान्विताः निपेतुर्हरिराजस्य समीपे राघवस्य च ५,०६२।०३७ हनूमांश्च महाबहुः प्रणम्य शिरसा ततः नियतामक्षतां देवीं राघवाय न्यवेदयत् ५,०६२।०३८ निश्चितार्थं ततस्तस्मिन्सुग्रीवं पवनात्मजे लक्ष्मणः प्रीतिमान्प्रीतं बहुमानादवैक्षत ५,०६२।०३९ प्रीत्या च रममाणोऽथ राघवः परवीरहा बहु मानेन महता हनूमन्तमवैक्षत ५,०६२।०४० ततः प्रस्रवणं शैलं ते गत्वा चित्रकाननम् प्रणम्य शिरसा रामं लक्ष्मणं च महाबलम् ५,०६३।००१ युवराजं पुरस्कृत्य सुग्रीवमभिवाद्य च प्रवृत्तमथ सीतायाः प्रवक्तुमुपचक्रमुः ५,०६३।००२ रावणान्तःपुरे रोधं राक्षसीभिश्च तर्जनम् रामे समनुरागं च यश्चापि समयः कृतः ५,०६३।००३ एतदाख्यान्ति ते सर्वे हरयो राम संनिधौ वैदेहीमक्षतां श्रुत्वा रामस्तूत्तरमब्रवीत् ५,०६३।००४ क्व सीता वर्तते देवी कथं च मयि वर्तते एतन्मे सर्वमाख्यात वैदेहीं प्रति वानराः ५,०६३।००५ रामस्य गदितं श्रुत्व हरयो रामसंनिधौ चोदयन्ति हनूमन्तं सीतावृत्तान्तकोविदम् ५,०६३।००६	विशल्यकरणी
5	राज्ञः जनकस्य किं मूलं नाम आसीत् ?	सीरध्वजः		स निश्चितां मतिं कृत्वा यष्टव्यमिति बुद्धिमान् मन्त्रिभिः सह धर्मात्मा सर्वैरेव कृतात्मभिः १,००८।००३ ततोऽब्रवीदिदं राजा सुमन्त्रं मन्त्रिसत्तमम् शीघ्रमानय मे सर्वान्गुरूंस्तान्सपुरोहितान् १,००८।००४ एतच्छ्रुत्वा रहः सूतो राजानमिदमब्रवीत् ऋत्विग्भिरुपदिष्टोऽयं पुरावृत्तो मया श्रुतः १,००८।००५ सनत्कुमारो भगवान्पूर्वं कथितवान्कथाम् ऋषीणां संनिधौ राजंस्तव पुत्रागमं प्रति १,००८।००६ काश्यपस्य तु पुत्रोऽस्ति विभाण्डक इति श्रुतः ऋश्यशृङ्ग इति ख्यातस्तस्य पुत्रो भविष्यति १,००८।००७ स वने नित्यसंवृद्धो मुनिर्वनचरः सदा नान्यं जानाति विप्रेन्द्रो नित्यं पित्रनुवर्तनात् १,००८।००८ द्वैविध्यं ब्रह्मचर्यस्य भविष्यति महात्मनः लोकेषु प्रथितं राजन्विप्रैश्च कथितं सदा १,००८।००९ तस्यैवं वर्तमानस्य कालः समभिवर्तत अग्निं शुश्रूषमाणस्य पितरं च यशस्विनम् १,००८।०१० एतस्मिन्नेव काले तु लोमपादः प्रतापवान् अङ्गेषु प्रथितो राजा भविष्यति महाबलः १,००८।०११ तस्य व्यतिक्रमाद्राज्ञो भविष्यति सुदारुणा अनावृष्टिः सुघोरा वै सर्वभूतभयावहा १,००८।०१२	निमि
6	या कैकेयीं रामस्य वनवासः तथा भरतस्य कृते राजसिंहासनं एष्टुं मन्त्रितवती कैकेय्याः तस्याः दास्याः नाम किम् ?	मन्थरा		तेषामाज्ञाय वचनं रामो वचनमब्रवीत् एवं निबोध वचनं सुहृदां धर्मचक्षुषाम् २,१०३।०२२ एतच्चैवोभयं श्रुत्वा सम्यक्संपश्य राघव उत्तिष्ठ त्वं महाबाहो मां च स्पृश तथोदकम् २,१०३।०२३ अथोत्थाय जलं स्पृष्ट्वा भरतो वाक्यमब्रवीत् शृण्वन्तु मे परिषदो मन्त्रिणः श्रेणयस्तथा २,१०३।०२४ न याचे पितरं राज्यं नानुशासामि मातरम् आर्यं परमधर्मज्ञमभिजानामि राघवम् २,१०३।०२५ यदि त्ववश्यं वस्तव्यं कर्तव्यं च पितुर्वचः अहमेव निवत्स्यामि चतुर्दश वने समाः २,१०३।०२६ धर्मात्मा तस्य तथ्येन भ्रातुर्वाक्येन विस्मितः उवाच रामः संप्रेक्ष्य पौरजानपदं जनम् २,१०३।०२७ विक्रीतमाहितं क्रीतं यत्पित्रा जीवता मम न तल्लोपयितुं शक्यं मया वा भरतेन वा २,१०३।०२८ उपधिर्न मया कार्यो वनवासे जुगुप्सितः युक्तमुक्तं च कैकेय्या पित्रा मे सुकृतं कृतम् २,१०३।०२९ जानामि भरतं क्षान्तं गुरुसत्कारकारिणम् सर्वमेवात्र कल्याणं सत्यसंधे महात्मनि २,१०३।०३० अनेन धर्मशीलेन वनात्प्रत्यागतः पुनः भ्रात्रा सह भविष्यामि पृथिव्याः पतिरुत्तमः २,१०३।०३१ वृतो राजा हि कैकेय्या मया तद्वचनं कृतम् अनृतान्मोचयानेन पितरं तं महीपतिम् २,१०३।०३२	मन्थरा
7	वाल्मीकि-रामायणस्य रचना यस्मिन् छन्दसि जाता तस्य किं नाम आसीत् ?	अनुष्टुप्		अथाम्रवणसंछन्नां लताशतसमावृताम् ज्यामुक्त इव नाराचः पुप्लुवे वृक्षवाटिकाम् ५,०१२।००४ स प्रविष्य विचित्रां तां विहगैरभिनादिताम् राजतैः काञ्चनैश्चैव पादपैः सर्वतोवृताम् ५,०१२।००५ विहगैर्मृगसंघैश्च विचित्रां चित्रकाननाम् उदितादित्यसंकाशां ददर्श हनुमान्कपिः ५,०१२।००६ वृतां नानाविधैर्वृक्षैः पुष्पोपगफलोपगैः कोकिलैर्भृङ्गराजैश्च मत्तैर्नित्यनिषेविताम् ५,०१२।००७ प्रहृष्टमनुजे कले मृगपक्षिसमाकुले मत्तबर्हिणसंघुष्टां नानाद्विजगणायुताम् ५,०१२।००८ मार्गमाणो वरारोहां राजपुत्रीमनिन्दिताम् सुखप्रसुप्तान्विहगान्बोधयामास वानरः ५,०१२।००९ उत्पतद्भिर्द्विजगणैः पक्षैः सालाः समाहताः अनेकवर्णा विविधा मुमुचुः पुष्पवृष्टयः ५,०१२।०१० पुष्पावकीर्णः शुशुभे हनुमान्मारुतात्मजः अशोकवनिकामध्ये यथा पुष्पमयो गिरिः ५,०१२।०११ दिशः सर्वाभिदावन्तं वृक्षषण्डगतं कपिम् दृष्ट्वा सर्वाणि भूतानि वसन्त इति मेनिरे ५,०१२।०१२ वृक्षेभ्यः पतितैः पुष्पैरवकीर्णा पृथग्विधैः रराज वसुधा तत्र प्रमदेव विभूषिता ५,०१२।०१३ तरस्विना ते तरवस्तरसाभिप्रकम्पिताः कुसुमानि विचित्राणि ससृजुः कपिना तदा ५,०१२।०१४	अनुष्टुप्
8	यस्य कथनात् श्रीरामः सीतां परित्यक्तवान् तस्य गुप्तचरस्य नाम किम् ?	दुर्मुखः		आजग्मुस्तेऽपि हरयो रामदर्शनकाङ्क्षिणः अङ्गदं पुरतः कृत्वा हनूमन्तं च वानरम् ५,०६२।०३६ तेऽङ्गदप्रमुखा वीराः प्रहृष्टाश्च मुदान्विताः निपेतुर्हरिराजस्य समीपे राघवस्य च ५,०६२।०३७ हनूमांश्च महाबहुः प्रणम्य शिरसा ततः नियतामक्षतां देवीं राघवाय न्यवेदयत् ५,०६२।०३८ निश्चितार्थं ततस्तस्मिन्सुग्रीवं पवनात्मजे लक्ष्मणः प्रीतिमान्प्रीतं बहुमानादवैक्षत ५,०६२।०३९ प्रीत्या च रममाणोऽथ राघवः परवीरहा बहु मानेन महता हनूमन्तमवैक्षत ५,०६२।०४० ततः प्रस्रवणं शैलं ते गत्वा चित्रकाननम् प्रणम्य शिरसा रामं लक्ष्मणं च महाबलम् ५,०६३।००१ युवराजं पुरस्कृत्य सुग्रीवमभिवाद्य च प्रवृत्तमथ सीतायाः प्रवक्तुमुपचक्रमुः ५,०६३।००२ रावणान्तःपुरे रोधं राक्षसीभिश्च तर्जनम् रामे समनुरागं च यश्चापि समयः कृतः ५,०६३।००३ एतदाख्यान्ति ते सर्वे हरयो राम संनिधौ वैदेहीमक्षतां श्रुत्वा रामस्तूत्तरमब्रवीत् ५,०६३।००४ क्व सीता वर्तते देवी कथं च मयि वर्तते एतन्मे सर्वमाख्यात वैदेहीं प्रति वानराः ५,०६३।००५ रामस्य गदितं श्रुत्व हरयो रामसंनिधौ चोदयन्ति हनूमन्तं सीतावृत्तान्तकोविदम् ५,०६३।००६	वाल्मीकिः
9	कैकेय्याः दायविवाहेन सह या दासी आगता तस्याः किं नाम आसीत् ?	मन्थरा		सा प्राप्तकालं कैकेयि क्षिप्रं कुरु हितं तव त्रायस्व पुत्रमात्मानं मां च विस्मयदर्शने २,००७।०२६ मन्थराया वचः श्रुत्वा शयनात्सा शुभानना एकमाभरणं तस्यै कुब्जायै प्रददौ शुभम् २,००७।०२७ दत्त्वा त्वाभरणं तस्यै कुब्जायै प्रमदोत्तमा कैकेयी मन्थरां हृष्टा पुनरेवाब्रवीदिदम् २,००७।०२८ इदं तु मन्थरे मह्यमाख्यासि परमं प्रियम् एतन्मे प्रियमाख्यातुः किं वा भूयः करोमि ते २,००७।०२९ रामे वा भरते वाहं विशेषं नोपलक्षये तस्मात्तुष्टास्मि यद्राजा रामं राज्येऽभिषेक्ष्यति २,००७।०३० न मे परं किं चिदितस्त्वया पुनः प्रियं प्रियार्हे सुवचं वचो वरम् तथा ह्यवोचस्त्वमतः प्रियोत्तरं वरं परं ते प्रददामि तं वृणु २,००७।०३१ मन्थरा त्वभ्यसूय्यैनामुत्सृज्याभरणं च तत् उवाचेदं ततो वाक्यं कोपदुःखसमन्विता २,००८।००१ हर्षं किमिदमस्थाने कृतवत्यसि बालिशे शोकसागरमध्यस्थमात्मानं नावबुध्यसे २,००८।००२ सुभगा खलु कौसल्या यस्याः पुत्रोऽभिषेक्ष्यते यौवराज्येन महता श्वः पुष्येण द्विजोत्तमैः २,००८।००३ प्राप्तां सुमहतीं प्रीतिं प्रतीतां तां हतद्विषम् उपस्थास्यसि कौसल्यां दासीव त्वं कृताञ्जलिः २,००८।००४	मन्थरा
10	यस्य्मिन् तीर्थक्षेत्रे निमज्जनं कृत्वा श्रीरामः परमं धाम प्रस्थितवान् तस्य तीर्थस्य किं नाम आसीत् ?	गोप्रतारः		पूर्वकेण हि ते राजंस्तेनातियशसा तदा धर्मिणां प्रवरेणाथ नैष प्राप्तो मनोरथः १,०४३।००८ तथैवांशुमता तात लोकेऽप्रतिमतेजसा गङ्गां प्रार्थयता नेतुं प्रतिज्ञा नापवर्जिता १,०४३।००९ राजर्षिणा गुणवता महर्षिसमतेजसा मत्तुल्यतपसा चैव क्षत्रधर्मस्थितेन च १,०४३।०१० दिलीपेन महाभाग तव पित्रातितेजसा पुनर्न शङ्किता नेतुं गङ्गां प्रार्थयतानघ १,०४३।०११ सा त्वया समतिक्रान्ता प्रतिज्ञा पुरुषर्षभ प्राप्तोऽसि परमं लोके यशः परमसंमतम् १,०४३।०१२ यच्च गङ्गावतरणं त्वया कृतमरिंदम अनेन च भवान्प्राप्तो धर्मस्यायतनं महत् १,०४३।०१३ प्लावयस्व त्वमात्मानं नरोत्तम सदोचिते सलिले पुरुषव्याघ्र शुचिः पुण्यफलो भव १,०४३।०१४ पितामहानां सर्वेषां कुरुष्व सलिलक्रियाम् स्वस्ति तेऽस्तु गमिष्यामि स्वं लोकं गम्यतां नृप १,०४३।०१५ इत्येवमुक्त्वा देवेशः सर्वलोकपितामहः यथागतं तथागच्छद्देवलोकं महायशाः १,०४३।०१६ भगीरथोऽपि राजर्षिः कृत्वा सलिलमुत्तमम् यथाक्रमं यथान्यायं सागराणां महायशाः कृतोदकः शुची राजा स्वपुरं प्रविवेश ह १,०४३।०१७	सर्वतीर्थम्
