ID	QUESTION	ANSWER	CHOICES	gpt-4o	mistral-large-latest	llama-v3p1-405b-instruct	gemini-1.5-pro	claude-3-5-sonnet-20240620	gpt-4o-mini	gpt-3.5-turbo	gemini-1.0-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct
1001	तृणधान्यम् कस्य पर्यायः अस्ति	क्षुद्रधान्यम्; क्षुद्रधान्यस्य	क्षुद्रधान्यम् / धान्यम् / शाकम् / व्रीहिधान्यम्	क्षुद्रधान्यम्	क्षुद्रधान्यम्	क्षुद्रधान्यम्	धान्यम्	क्षुद्रधान्यम्	तृणधान्यम् इत्यस्य पर्यायः व्रीहिधान्यम् अस्ति	तृणधान्यं धान्यम् इति पर्यायः अस्ति तृणधान्यं अर्थात् ध	धान्यम्	तृणधान्यम् कस्य पर्यायः अस्ति क्षुद्रधान्यम्	व्रीहिधान्यम्
1002	कृष्णतण्डुलः कस्य पर्यायः अस्ति ? 	शालामुखः	कृष्णः / जतुमुखः / व्रीहि / शालामुखः	कृष्णः	कृष्णतण्डुलः जतुमुखः पर्यायः अस्ति	कृष्णतण्डुलः जतुमुखः पर्यायः अस्ति |	"**शालामुखः** | 

**कारणम् ?** कृष्णतण्डुलः शालिधान्यविशेषस्य अपरनाम अस्ति |"	शालामुखः	कृष्णतण्डुलः व्रीहि इति पर्यायः अस्ति	कृष्णतण्डुलः शालामुखः	शालामुखः	कृष्णतण्डुलः कस्य पर्यायः अस्ति ?  कृष्णः	कृष्णतण्डुलः = व्रीहि
1003	वनमुद्गः कस्य पर्यायः ? 	मकुष्ठकः	मुद्गः / माषः / क्षुद्रधान्यम् / मकुष्ठकः	मकुष्ठकः	मुद्गः	माषः	**माषः**	मकुष्ठकः	वनमुद्गः माषः इति पर्यायः अस्ति	वनमुद्गः मुद्गः पर्यायः	मुद्गः	माषः	वनमुद्गः क्षुद्रधान्यम्
1004	शालिधान्यस्य प्रकाराः के सन्ति	रक्तशालिः + कलमः + पाण्डुकः + शकुनाहृतः + सुगन्धकः + कर्दमकः + महाशालिः + दूषकः + पुष्पाण्डकः + पुण्डरीकः + महिषमस्तकः + दीर्घशूकः + काञ्चनकः + हायनः + लोध्रपुष्पक; रक्तशालिः कर्दमकः दूषकः; शालिधान्यस्य प्रकाराः रक्तशालिः दीर्घशूकः सुगन्धकश्च सन्ति		शालिधान्यस्य प्रकाराः बहवः सन्ति प्रमुखाः प्रकाराः अन्नं, यवः, गोधूमः, श्यामाकः, व्रीहिः, कंगु, वरकः इत्यादयः	शालिधान्यस्य प्रकाराः बहवः सन्ति	शालिधान्यस्य प्रकाराः सन्ति - तण्डुलः, यवः, गोधूमः, चणकः, माषः, तिलः, प्रियङ्गुः, कोद्रवः, वरकः, नीव	षट्पदाः / षट्	"शालिधान्यस्य (तण्डुलस्य) प्रमुखाः प्रकाराः एते सन्ति:

1 रक्तशालिः
2 श्वेतश"	"शालिधान्यस्य मुख्यतः तीन प्रकाराः सन्ति: 

1 **इन्द्रावृक्ष** - इदं धान्यम् उत्तम गुणवत्ता-युक्तं च भवति
2 **सुवर्णधान्यम्** - एषः धान्यं स्वर्ण"	शालिधान्यस्य प्रकाराः अन्नवर्गिकः, धान्यवर्गिकः, शाखावर्गिकः	"हि, अथ च धान्यम् 🙏 

### **शालि-धान्याः बहुविध-प्रकाराः सन्ति, येषु अन्यतमाः अधो-निर्दिष्टाः सन्ति:**
* **मोटा शालीः**"	"शालिधान्यस्य प्रकाराः बहवः सन्ति तेषु प्रमुखाः सन्ति - 

१) श्वेतशालि
२) रक्तशालि
३) कृष्णशालि
४) श्यामश"	"शालिधान्यस्य प्रकाराः पञ्च सन्ति  

१ गोधूम
२ ज्वार
३ बाजरा
४ रागी
५ मुद्ग"
1005	धान्यस्य कति प्रकाराः उक्ताः	पञ्च		षट्	षड्धान्यानि	षट्प्रकाराः	षट्   षड्धा धान्य-विभागः उक्तः	आयुर्वेदशास्त्रानुसारं धान्यस्य षोडश (16) प्रकाराः उक्ताः एते प्रकाराः चरकसंहिताय	धान्यस्य पञ्च प्रकाराः उक्ताः सन्ति	धान्यं बहुविधं प्रकारैः विभक्तम् अस्ति केचन प्रमुखाः प्रकाराः इ	"**त्रयोदश**

प्राचीन आयुर्वेद शास्त्रानुसार धन्यान्नानां त्रीणिः प्रकारौ सन्तिःः

१ शालिः (खाद्य)
२ श्यामाकः (औषध)"	धान्यस्य दश प्रकाराः उक्ताः	"धान्यस्य प्रकाराः

१ ज्वार
२ बाजरा
३ जौ
४ गोधूम
५ मुद्ग
६ चावल
७ रागी
८ कोद्र
९ कुटकी"
1006	धान्यस्य के प्रकाराः उक्ताः	शालिधान्यम् + व्रीहिधान्यम् + शूकधान्यम् + शिम्बिधान्यम् + क्षुद्रधान्यम्; धान्यस्य प्रकाराः शालि व्रीहि शूक शिम्बी क्षुद्र; धान्यस्य प्रकाराः शालिधान्यं व्रीहिधान्यं शूकधान्यं शिम्बीधान्यं क्षुद्रधान्यम्		धान्यस्य प्रकाराः अनेके सन्ति, तेषु प्रमुखाः - यवः, गोधूमः, शालिः, जौः, मक्का, रागिः, तण्डुलः	शालिः	धान्यस्य द्वौ प्रकारौ उक्तौ	षट्   षड्-धान्यानां वर्णनं आयुर्वेद-ग्रन्थेषु दृश्यते	"आयुर्वेदे धान्यस्य मुख्यतया द्वौ प्रकारौ उक्तौ:

1 शूकधान्य
2 शमीधान्य

श"	"धान्यस्य प्रमुखाः प्रकाराः एते: - 

1 धान्यकः (Rice)
2 गोधूमः (Wheat)
3 जौः (Barley)
4 तिलः (Sesame)
5 मक्का (Maize)
6 चण"	धान्यं अन्नपिण्डादिकं प्रमुखं भोजनं भवति धान्यस्य प्रमुखाः प्रक	धान्यस्य षड् प्रकाराः कथिताः येषु शालयः, व्रीहयः, यावकः,  तंडुलः, कोद्रवः  एवं च कुलित्थाः गण्यन्ते	धान्यस्य प्रकाराः निम्नलिखिताः सन्ति - शालि, व्रीहि, यव, गोधूम, तिल, माष, मुद्ग, कलाय, अतसी, प्रियangu, कुसुम्भ, स	"धान्यस्य प्रकाराः

१ ज्वार
२ बाजरा
३ जौ
४ गोधूम
५ मक्का
६ चावल
७ रागी
८ कोदो
९ कुटकी"
1007	शालामुखः कस्य प्रकारः अस्ति? 	व्रीहिधान्यम्	शालिधान्यम् / व्रीहिधान्यम् / शूकधान्यम् / शिम्बिधान्यम्	शालिधान्यम्	शालिधान्यम्	शालिधान्यम्	**शालिधान्यम्**	शूकधान्यम्	शालामुखः शालिधान्यम् अस्ति	शालामुखः व्रीहिधान्यम् अस्ति एषः धान्यप्रकारः अत्यन्तं प्रस	व्रीहिधान्यम्	शालामुखः शूकधान्यम् अस्ति	शालामुखः शूकधान्यम् अस्ति
1008	मुद्गस्य कति भेदाः उक्ताः? 	पञ्च		पञ्च	मुद्गस्य भेदाः त्रयः उक्ताः	मुद्गस्य त्रयः भेदाः उक्ताः	सप्त  मुद्गस्य सप्त भेदाः उक्ताः	"आयुर्वेदशास्त्रानुसारं मुद्गस्य द्वौ भेदौ प्रसिद्धौ:

1 हरितमुद्गः (हरा"	मुद्गस्य त्रिभेदाः सन्ति: हरिद्रा, वृषभ, तथा मृद्विका	मुद्गस्य द्वादश भेदाः उक्ताः तानि हन्ति, विपरीतकरणी, श्लिष्ट	"चत्वारि  
## References
* भावप्रकाशः, पूर्वखण्डः, सप्तमोऽध्यायः श्लोकः संख्या ६१"	मुद्गस्य द्वौ भेदौ उक्तौ - वर्षभक्ष्यः, वर्षभक्ष्यातिरिक्तः च	मुद्गस्य चार भेदाः उक्ताः - मुद्ग, मुद्गमुद्ग, मुद्गमूल, मुद्गवृक्ष
1009	दग्धमृत्-जात-शाली शाली च अनयोः को भेदः?	शालिः स्निग्धा अस्ति, दग्धमृज्जातशालिः रूक्षा		"दग्धमृत्-जात-शाली इति शाली भस्मीकृतः 
शाली इति सामान्यः च"	दग्धमृत्-जात-शाली शाली च अनयोः भेदः सम्पूर्णम्	दग्धमृत्-जात-शाली शाली च अनयोः भेदः नास्ति	दग्धमृत्-जात-शालिः दग्धमृदि वर्धते, शालिः तु जल-युक्त-क्षेत्रे	दग्धमृत्-जात-शाली च साधारण-शाली च अनयोः मुख्यो भेदः उत्पादन-प्रक्रियायाम् अस्ति	दग्धमृत् जात शाली च अनयोः मुख्यतः भेदः अस्ति, यः दग्धमृत् जात शाली च दग्धं (आग्निजातं) च निखिलं, परन्तु शाली च शुद्धं, अप्रज्व	दग्धमृत्-जात-शाली शाली च द्वयोरेव एकस्मिन् प्रकारे एव अस्ति	प्रकारः	दग्धमृत्-जात-शाली शाली च अनयोः भेदः नास्ति	दग्धमृत्-जात-शाली शाली च अनयोः भेदः - दग्धमृत्-जात-शाली शाली च अनयोः भेदः - दग्धमृत्-जात-शाली श
1010	शालिधान्यस्य कः प्रकारः श्रेष्ठः ? 	रक्तशालिः		शालि	शालिधान्यस्य श्रेष्ठः शालिः	शालिधान्यस्य श्वेतः प्रकारः श्रेष्ठः	षष्टिकः	पुराणः शालिः श्रेष्ठः पुराणशालेः पोषकतत्त्वानि अधिकानि भवन्ति, तथा च पाचनशक्त	शालिधान्यस्य काश्मीरी-शालि श्रेष्ठः	शालिधान्यं भारतीये शस्त्रीये आहारे महत्वपूर्णं भवति शालिधान	हिमालयः!	शालिधान्यस्य श्रेष्ठः प्रकारः शास्त्रोक्तः शालिर्नाम	शालिधान्यस्य श्रेष्ठः प्रकारः गोधूमः
