ID	QUESTION	ANSWER	CHOICES	llama-v3p1-8b-instruct	gemini-1.0-pro	gpt-3.5-turbo	gpt-4o-mini	gpt-4o
1	श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामन्याख्यातु।	नलनीलौ		वानरयोः नामानि हनुमान्, नलः	हनुमान्, अङ्गदः	सुग्रीवः एव एकः अभियन्तावान्	हनुमान, सुग्रीव	नल, नील
2	येन विमानेन श्रीरामः सीतालक्ष्मणाभ्यां सहितः लङ्कातः अयोध्यामागच्छत्, तस्य किं नाम आसीत् ?	पुष्पकम्		वानरविमाने	पुष्पक विमानम्	पुष्पकविमानम्	पुष्पकविमानम्	पुष्पकविमानम्
3	हनुमान् लक्ष्मणस्य मूर्च्छानिवारणाय लङ्कायाः यं प्रसिद्धं वैद्यमानयत्, तस्य नाम किम् ?	सुषेणः		संजीवनी	सुषेणः	सुषेणः	सुषेणः	सुषेणः
4	लक्ष्मणस्य मूर्च्छायाः दूरीकरणाय हनुमान् याम् औषधिम् आनयत् तस्य किं नाम आसीत् ?	सञ्जीवनी		संजीवनी वृक्षस्य फलम्	संजीवनी	सुवर्णनखः	संजीवनी	संजीवनी
5	राज्ञः जनकस्य किं मूलं नाम आसीत् ?	सीरध्वज		जनक	"जनक:

## Please note

* The answer is in Hindi 
* The answer is a single word
* The answer is not a paragraph 
* The answer is the name of a person"	मिथिला	सिता	सीरध्वजः
6	या कैकेयीं रामस्य वनवासः तथा भरतस्य कृते राजसिंहासनं एष्टुं मन्त्रितवती कैकेय्याः तस्याः दास्याः नाम किम् ?	मन्थरा		मैन्दाकिनी	"मंथरा 
Manthara"	मन्थरा	मंथरा	मन्थरा
7	वाल्मीकि-रामायणस्य रचना यस्मिन् छन्दसि जाता तस्य किं नाम आसीत् ?	अनुष्टुप्		अनुष्टुप्	श्लोकः	काव्यं	श्लोकम्	अनुष्टुप्
8	यस्य कथनात् श्रीरामः सीतां परित्यक्तवान् तस्य गुप्तचरस्य नाम किम् ?	दुर्मुखः		मारीच	दूषण:	गुहः	"गुप्तचरस्य नाम ""मन्थर"" अस्ति"	भद्र
9	कैकेय्याः दायविवाहेन सह या दासी आगता तस्याः किं नाम आसीत् ?	मन्थरा		मैन्दाकिनी	मंथरा	शबरीः	मन्दोदरी	मन्थरा
10	यस्य्मिन् तीर्थक्षेत्रे निमज्जनं कृत्वा श्रीरामः परमं धाम प्रस्थितवान् तस्य तीर्थस्य किं नाम आसीत् ?	गोप्रतारः		यमुना	कुलिर्तिर्थम्	ब्रह्मसरोवरः	नान्जलि तीर्थम्	सरयू
11	महर्षेः विश्वामित्रस्य क्षत्रियावस्थायाः किं नाम आसीत् ?	विश्वरथः		राजर्षि	क्षत्रिय	तृतीयम्	त्रेतायुगः	विश्वामित्रः
12	वालिसुग्रीवयोः उत्पत्तिः यास्मात् वानरात् अभवत् तस्य किं नाम आसीत् ?	ऋक्षराजः		वानरराजानां पूर्वजः	"ऋक्षराजः |

(The answer is Rishyaçringa, or ऋक्षराजः in Sanskrit)"	अंगदः	वासुकि	ऋक्षराजः
13	रामायणकालीनसरयूनद्याः वर्तमानं नाम किं अस्ति ?	घाघरा		उत्तर: सिंधुदुर्ग	रामायणकालीन सरयू नदी का वर्तमान नाम सरयू नदी ही है	गंगा	सरयू	घाघरा
14	समुद्रे निवसन्त्याः तस्याः नागमातुः किं नाम आसीत् या हनुमतः समुद्रलङ्घनम् अवारयत्, तं ग्रसितुं उद्धता च आसीत् ?	सुरसा		मीनाक्षी	सुरसा	मैनाकादेवीः	लंकामाता	सुरसा
