ID	QUESTION	ANSWER	CHOICES	gpt-4o	claude-3-5-sonnet-20240620	gemini-1.5-pro	mistral-large-latest	llama-v3p1-405b-instruct
1	श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामन्याख्यातु।	नलनीलौ		नल, नील	नल-नीलौ	अङ्गदः, हनुमान् च	नील-नलः	श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामनी अङ्गदः नीलश्च
2	येन विमानेन श्रीरामः सीतालक्ष्मणाभ्यां सहितः लङ्कातः अयोध्यामागच्छत्, तस्य किं नाम आसीत् ?	पुष्पकम्		पुष्पकविमानम्	पुष्पकविमानम्	पुष्पकः  विभीषणेन प्रदत्तः आसीत्	पुष्पकः	पुष्पकम्
3	हनुमान् लक्ष्मणस्य मूर्च्छानिवारणाय लङ्कायाः यं प्रसिद्धं वैद्यमानयत्, तस्य नाम किम् ?	सुषेणः		सुषेणः	सुषेणः	संजीवनीम् हनुमान् लक्ष्मणस्य जीवनरक्षणाय संजीवनीं आनीतवान्	सुषेणः	सुषेणः
4	लक्ष्मणस्य मूर्च्छायाः दूरीकरणाय हनुमान् याम् औषधिम् आनयत् तस्य किं नाम आसीत् ?	सञ्जीवनी		सञ्जीवनी	संजीवनी		संजीवनी	संजीवनी
5	राज्ञः जनकस्य किं मूलं नाम आसीत् ?	सीरध्वज		सीरध्वजः	"सीरध्वजः

राज्ञः जनकस्य मूलं नाम सीरध्वजः आसीत् अयं जनकः सीतायाः पिता आसीत्"	शिराध्वजः	सीता	विदेहः
6	या कैकेयीं रामस्य वनवासः तथा भरतस्य कृते राजसिंहासनं एष्टुं मन्त्रितवती कैकेय्याः तस्याः दास्याः नाम किम् ?	मन्थरा		मन्थरा	मन्थरा	मन्थरा	मन्थरा	मंथरा
7	वाल्मीकि-रामायणस्य रचना यस्मिन् छन्दसि जाता तस्य किं नाम आसीत् ?	अनुष्टुप्		अनुष्टुप्	अनुष्टुप्	अनुष्टुप्	अनुष्टुप्	श्लोक
8	यस्य कथनात् श्रीरामः सीतां परित्यक्तवान् तस्य गुप्तचरस्य नाम किम् ?	दुर्मुखः		भद्रः	धूर्तः	नन्दिकेश्वरः	सुमन्त्रः	दुर्मुख
9	कैकेय्याः दायविवाहेन सह या दासी आगता तस्याः किं नाम आसीत् ?	मन्थरा		मन्थरा	मन्थरा	मन्तरा	मंथरा	मंथरा
10	यस्य्मिन् तीर्थक्षेत्रे निमज्जनं कृत्वा श्रीरामः परमं धाम प्रस्थितवान् तस्य तीर्थस्य किं नाम आसीत् ?	गोप्रतारः		सरयू	"सरयू नदी

श्रीरामः सरयू नद्यां निमज्जनं कृत्वा परमं धाम प्रस्थितवान् इति रामायणे वर्"	सरयू	सरयूतीर्थः	गुप्तारघाट
11	महर्षेः विश्वामित्रस्य क्षत्रियावस्थायाः किं नाम आसीत् ?	विश्वरथः		गाधि	"वसिष्ठः

विश्वामित्रस्य पूर्वं क्षत्रिय-अवस्थायां नाम काौशिकः आसीत् सः गाधि"	कौशिकः  पूर्वं राजा आसीत्	गाधि	विश्वामित्रः क्षत्रियावस्थायाम् कुशिकः इति नाम्ना ख्यातः आसीत्
12	वालिसुग्रीवयोः उत्पत्तिः यास्मात् वानरात् अभवत् तस्य किं नाम आसीत् ?	ऋक्षराजः		ऋक्षराजः	ऋक्षरजः	ऋक्षराजात्	ऋक्षराजस्य	मारीचात्
13	रामायणकालीनसरयूनद्याः वर्तमानं नाम किं अस्ति ?	घाघरा		सरयू	"घाघरा

रामायणकालीनसरयूनद्याः वर्तमानं नाम घाघरा अस्ति एषा नदी उत्तरप्रदेशराज"	घग्गर	सरयू	घाघरा
14	समुद्रे निवसन्त्याः तस्याः नागमातुः किं नाम आसीत् या हनुमतः समुद्रलङ्घनम् अवारयत्, तं ग्रसितुं उद्धता च आसीत् ?	सुरसा		सुरसा	तस्याः नागमातुः नाम सुरसा आसीत्	"सुरसा 

तया हनुमत्परीक्षा कर्तुं च इन्द्राज्ञया च"	सरस्वती	सुरसा
15	राज्ञः दशरथः पुत्रोत्पत्तये यं यज्ञं कृतवान् तस्य किं नाम आसीत् ?	पुुत्रेष्टिः		पुत्रकामेष्टि	"पुत्रेष्टि-यज्ञः

दशरथः पुत्रप्राप्तये पुत्रेष्टि नामकं यज्ञं कृतवान्"	पुत्रकामेष्टिः  पुत्रप्राप्त्यर्थम्	पुत्रकामेष्टिः	पुत्रकामेष्टि
16	राज्ञः जनकस्य पुरोहितस्य किं नाम आसीत्?	शतानन्दः		शतानन्दः	शतानन्दः	शतानन्दः	शतानन्दः	शतानंदः
17	महर्षेः विश्वामित्रस्य तपः या अप्सराः विखण्डितवती तस्या: किं नाम आसीत्?	मेनका		मेनका	मेनका	मेनका	मेनका	मेनका
18	श्रीरामः येषां वृक्षाणाम् आच्छादनम् आदाय वानरराजं वालिनं जघान, तेषां वृक्षाणां किं नाम आसीत्?	सालवृक्षः		सालवृक्षः	अशोक	शाल्मलीवृक्षाणाम्  शाल्मलीवृक्षाः विशालाः इति रामायणे वर्णितम्	सालवृक्षाणाम्	सालवृक्षाः
19	राज्ञः जनकस्य कनिष्ठभ्रातुः किं नाम आसीत्?	कुशध्वजः		कुशध्वजः	कुशध्वजः	कुशध्वजः	कुशध्वजः	कुशध्वजः
20	शत्रुघ्नस्य पुरोहितस्य किं नाम आसीत्?	काञ्चनः		कौशिकः	"शत्रुघ्नस्य पुरोहितस्य नाम रामायणे स्पष्टतया नोल्लिखितम् तस्मात् अहं ""नाज्ञ"	वशिष्ठः  राम-लक्ष्मणयोः इव भरत-शत्रुघ्नयोः अपि गुरुः वसिष्ठः एव आसीत्	वसिष्ठः	शत्रुघ्नस्य पुरोहितस्य किं नाम आसीत्?
21	रामायणं येन युगेन सह सम्बद्धः सः केन नाम्ना प्रसिद्धः अस्ति ?	त्रेतायुगः		त्रेतायुगः	रामायणं त्रेतायुगेन सह सम्बद्धम् अस्ति त्रेतायुगे एव श्रीरामस्य जन्म, राज्याभिष	त्रेतायुगम्	त्रेतायुगेन	त्रेतायुगेन
22	समुद्रमन्थनात् यः अश्वः निर्गतः तस्य नाम किम् आसीत् ?	उच्चैःश्रवाः		उच्चैःश्रवाः	उच्चैःश्रवाः	उच्चैःश्रवाः	उच्चैःश्रवाः	उच्चैःश्रवाः
23	अशोकवाटिकायाः द्वितीयं नाम किम् आसीत्?	प्रमदावनम्		अशोकवनम्	अशोकवाटिकायाः द्वितीयं नाम सीताउपवनम् आसीत्	सितवनम्	अंजनावाटिका	अशोकवाटिकायाः द्वितीयं नाम नन्दनवनम् आसीत्
24	महर्षेः वाल्मीकेः बाल्ये किं नाम आसीत्?	रत्नाकरः		प्रचेतसः	महर्षेः वाल्मीकेः बाल्ये नाम रत्नाकरः आसीत्	रत्नपुत्रः  वाल्मीकेर्महात्मनः पूर्वं नाम रत्नपुत्र इति आसीत्	रत्नाकरः	रत्नाकरः
25	तस्य महर्षेः किं नाम यस्य विषये उक्तं यत् स जीवनस्य पूर्वार्धे दस्युः आसीत्?	वाल्मीकिः		वाल्मीकि	"वाल्मीकिः

वाल्मीकिः महर्षिः पूर्वं रत्नाकरः नाम्ना दस्युः आसीत् स जीवनस्"	वाल्मीकिः  तपसा महर्षिः अभवत्	वाल्मीकिः	वाल्मीकिः
26	तस्य हस्तिनः नाम किं यं सगरपुत्राः पृथ्वीं धारयन्तम् अपश्यन्?	विरूपाक्षः		धर्मः	"विरूपाक्षः

रामायणे वर्णितं यत् सगरपुत्राः पृथ्वीं धारयन्तं हस्तिनं दृष्टवन्"	दिग्गाजः  भगवतः विष्णोः शापेन बलिना भित्त्वा पातालं प्रेषितः	गजः	दिग्गजः
27	लङ्कादाहात् अनन्तरं हनुमान् यं पर्वतं आरुह्य समुद्रं उल्लङ्घ्य पुनरागतवान्, तस्य किं नाम आसीत्?	अरिष्टः		महेन्द्रः	"अरिष्टः

हनुमान् लङ्कादाहात् अनन्तरं अरिष्ट-पर्वतम् आरुह्य समुद्रं उल्लङ"	महेन्द्रगिरिम्	मैन्दम्	अरिष्ट
28	महर्षेः वसिष्ठस्य धेन्वाः किं नाम आसीत्?	सुरभिः		शबला	महर्षेः वसिष्ठस्य धेन्वाः नाम कामधेनुः अथवा नन्दिनी आसीत्		नंदिनी	शबला
29	अवधीभाषायां विरचितस्य रामायणस्य नाम किम् ?	रामचरितमानसम्		रामचरितमानस	"गोस्वामितुलसीदासविरचितम् ""रामचरितमानसम्"" इति अवधीभाषायां लिखितस्य रामायणस्य नाम"	श्रीरामचरितमानसम्	रामचरितमानसम्	रामचरितमानस
30	कुबेरस्य सेनापतेः किं नाम आसीत्?	मणिभद्रः		मणिवान्	"रावणः

कुबेरस्य सेनापतेः नाम प्रहस्तः आसीत् रावणः तु कुबेरस्य अनुजः, न तु तस्"	रावणः कुबेरस्य धनं हर्तुम् रावणः तस्य आक्रमणं कृतवान्	मणिभद्रः	पुष्पकविमानेन रावणः सीतां हृत्वा गतवान्
31	देवासुरैः यस्य सागरस्य मन्थनं कृतं तस्य किं नाम आसीत्?	क्षीरोदसागरः		क्षीरसागरः	क्षीरोदः	क्षीरसागरः	क्षीरसागरः	क्षीरसागरः
32	सेतुनिर्माणसमये श्रीरामः यस्य शिवलिङ्गस्य स्थापम् अकरोत् तस्य किं नाम अस्ति ?	रामेश्वरः		रामेश्वरम्	रामेश्वरम्	**रामेश्वरम्** स्थापनानन्तरं शिवस्य आशीर्वादं प्राप्तुम्	रामेश्वरः	रामेश्वरम्
33	विभीषणस्य सः अनुचरः कः आसीत् यः पक्षिरूपं धृत्वा लङ्कां गत्वा रावणस्य रक्षाव्यवस्थां सैन्यशक्तिं च अन्विष्टवान्?	अनलः		शुकः	शुकः	"शुकः 

**कथम्?**

सुग्रीवस्य आज्ञया  विभीषणस्य सहायार्थम्"	सुग्रीवः	शारदः
