ID	QUESTION	ANSWER	CHOICES	gpt-4o	claude-3-5-sonnet-20240620	gemini-1.5-pro	mistral-large-latest	llama-v3p1-405b-instruct	gpt-4o-mini	gpt-3.5-turbo	gemini-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct	gemini-1.0-pro
1	श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामन्याख्यातु।	नलनीलौ		नल, नील	नल-नीलौ	अङ्गदः, हनुमान् च	नील-नलः	श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामनी अङ्गदः नीलश्च	हनुमानः, सुग्रीवः	श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामन्याख्यातु	हनुमान-अङ्गदौ	नीलः, नलः	अनामयः, नील	निलः नीलश्च
2	येन विमानेन श्रीरामः सीतालक्ष्मणाभ्यां सहितः लङ्कातः अयोध्यामागच्छत्, तस्य किं नाम आसीत् ?	पुष्पकम्		पुष्पकविमानम्	पुष्पकविमानम्	पुष्पकः  विभीषणेन प्रदत्तः आसीत्	पुष्पकः	पुष्पकम्	"तस्य विमानस्य नाम ""पुष्पकविमानम्"" आसीत्"	विमानेन	"पुष्पक: 

##"	पुष्पकविमानम्	वानरवाहिनी	पुष्पकः
3	हनुमान् लक्ष्मणस्य मूर्च्छानिवारणाय लङ्कायाः यं प्रसिद्धं वैद्यमानयत्, तस्य नाम किम् ?	सुषेणः		सुषेणः	सुषेणः	संजीवनीम् हनुमान् लक्ष्मणस्य जीवनरक्षणाय संजीवनीं आनीतवान्	सुषेणः	सुषेणः	सत्यसंधः	हनुमानः लक्ष्मणस्य मूर्च्छानिवारणाय लङ्कायाः सुषेणं वैद्यं	सुषेणः	संजीवनी	सुरपन	सुषेणः
4	लक्ष्मणस्य मूर्च्छायाः दूरीकरणाय हनुमान् याम् औषधिम् आनयत् तस्य किं नाम आसीत् ?	सञ्जीवनी		सञ्जीवनी	संजीवनी		संजीवनी	संजीवनी	सञ्जीवनी औषधिः	हनुमान् याम् औषधिम् आनयत् तस्य नाम सुषेणः आसीत्	"सञ्जीवनी 

सञ्जीवनीम्  अहं आनयत्    सर्वे  जना: 
ततः प्राणा: लब्धा: , ते अभवन्"	संजीवनी	संजीवनी वृक्षस्य फलम्	संजीवनी
5	राज्ञः जनकस्य किं मूलं नाम आसीत् ?	सीरध्वज		सीरध्वजः	"सीरध्वजः

राज्ञः जनकस्य मूलं नाम सीरध्वजः आसीत् अयं जनकः सीतायाः पिता आसीत्"	शिराध्वजः	सीता	विदेहः	"जनकस्य मूलं नाम ""सुव्रत"" आसीत्"	जनकस्य मूलं नाम नन् आसीत् जनकस्य मूलं नाम मिथिला नाम्नी नगरी	"देवरात : 
देवरातः जनकस्य कुलस्य, राजतन्त्रस्य, वंशस्य मूलम् आसीत् | अयोध्यायाः राज्ञः दशरथस्य मित्रम् सः आसीत् | सः यज्ञशालायाः"	मूलं नाम आसीत् - विदेहः	जनकः राजा आसीत्	"सीता 
अस्याः नाम जनकस्य अपि पित्र्याः नाम आसीत् 
रामस्य च पत्नी"
6	या कैकेयीं रामस्य वनवासः तथा भरतस्य कृते राजसिंहासनं एष्टुं मन्त्रितवती कैकेय्याः तस्याः दास्याः नाम किम् ?	मन्थरा		मन्थरा	मन्थरा	मन्थरा	मन्थरा	मंथरा	दशरथस्य दास्याः नाम मंथरा अस्ति	कैकेय्याः तस्याः दास्याः नामं श्रूत्वा दशरथः भरतस्य कृते राज	मंथरा	कैकेय्याः दास्याः नाम मन्थरा	मण्डोदरी	मन्थरा
7	वाल्मीकि-रामायणस्य रचना यस्मिन् छन्दसि जाता तस्य किं नाम आसीत् ?	अनुष्टुप्		अनुष्टुप्	अनुष्टुप्	अनुष्टुप्	अनुष्टुप्	श्लोक	"वाल्मीकि-रामायणस्य रचना ""श्लोक"" छन्दसि जाता"	वाल्मीकि-रामायणस्य रचना अनुष्टुभ् छन्दसि जाता आसीत्	स्लोका:	अनुष्टुप्	अनुष्टुप् छन्दसि	श्लोक:
8	यस्य कथनात् श्रीरामः सीतां परित्यक्तवान् तस्य गुप्तचरस्य नाम किम् ?	दुर्मुखः		भद्रः	धूर्तः	नन्दिकेश्वरः	सुमन्त्रः	दुर्मुख	"सुग्रीवस्य गुप्तचरस्य नाम ""शबाला"" अस्ति"	गुप्तचरस्य नामः त्रिजटा इति	"न
दूषणस्य, खरस्य दूतस्य च कथनात् श्रीरामः सीतां परित्यक्तवान्"	श्रीरामः सीतां परित्यक्तवान् इति श्रुत्वा क्रुद्धः हनुमान् गुप्तचरस्य शिरः छेत्तुम् उद्युक्तः तदा गुप्तचरेण स्वन	मारीच	दूषखः
9	कैकेय्याः दायविवाहेन सह या दासी आगता तस्याः किं नाम आसीत् ?	मन्थरा		मन्थरा	मन्थरा	मन्तरा	मंथरा	मंथरा	तस्याः नाम मन्दोदरी आसीत्	तानि आदेशानि अभिप्रेषय	मनथरा	मणिकर्णिका	मण्डोदरी	मंथरा
10	यस्य्मिन् तीर्थक्षेत्रे निमज्जनं कृत्वा श्रीरामः परमं धाम प्रस्थितवान् तस्य तीर्थस्य किं नाम आसीत् ?	गोप्रतारः		सरयू	"सरयू नदी

श्रीरामः सरयू नद्यां निमज्जनं कृत्वा परमं धाम प्रस्थितवान् इति रामायणे वर्"	सरयू	सरयूतीर्थः	गुप्तारघाट	"यस्य्मिन् तीर्थक्षेत्रे निमज्जनं कृत्वा श्रीरामः परमं धाम प्रस्थितवान् तस्य तीर्थस्य नाम ""पम्पासर"" अस्ति"	तस्य तीर्थस्य नाम त्र्यम्बकं आसीत्	सरयू	महाप्रभासः	यस्य्मिन् तीर्थक्षेत्रे निमज्जनं कृत्वा श्रीरामः परमं धाम प्रस्थितवान् तस्य तीर्थस्य किं नाम आसीत् ?	सरयू
