ID	QUESTION	ANSWER	CHOICES	gpt-4o	claude-3-5-sonnet-20240620	gemini-1.5-pro	mistral-large-latest	llama-v3p1-405b-instruct
1	श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामन्याख्यातु।	नलनीलौ		नलः, नीलः	"नलः सुग्रीवश्च

नलः वानरसेनायाः महान् शिल्पी आसीत्, यः सेतुनिर्माणे प्रमुखभूम"	अङ्गदः, हनुमान् च	नील-नलौ	श्रीरामस्य सेनायाः द्वयोः अभियन्तृवानरयोः नामनी अङ्गदः नीलश्च
2	येन विमानेन श्रीरामः सीतालक्ष्मणाभ्यां सहितः लङ्कातः अयोध्यामागच्छत्, तस्य किं नाम आसीत् ?	पुष्पकम्		पुष्पकम्	पुष्पकम्	"पुष्पकः  
विभीषणेन दत्तः आसीत्"	पुष्पकम्	पुष्पकम्
3	हनुमान् लक्ष्मणस्य मूर्च्छानिवारणाय लङ्कायाः यं प्रसिद्धं वैद्यमानयत्, तस्य नाम किम् ?	सुषेणः		सुषेणः	सुषेणः	संजीवनीम् लक्ष्मणस्य प्राण-रक्षणार्थम्	सुषेणः	सुषेणः
4	लक्ष्मणस्य मूर्च्छायाः दूरीकरणाय हनुमान् याम् औषधिम् आनयत् तस्य किं नाम आसीत् ?	सञ्जीवनी		सञ्जीवनी	सञ्जीवनी	सञ्जीवनीम्	सञ्जीवनी	संजीवनी
5	राज्ञः जनकस्य किं मूलं नाम आसीत् ?	सीरध्वज		सीरध्वजः	"सीरध्वजः

जनकस्य मूलं नाम सीरध्वजः आसीत् जनकः इति तस्य उपनामम् स विदेहराज्यस"	शिराध्वजः	सीता	विदेहः
6	या कैकेयीं रामस्य वनवासः तथा भरतस्य कृते राजसिंहासनं एष्टुं मन्त्रितवती कैकेय्याः तस्याः दास्याः नाम किम् ?	मन्थरा		मन्थरा	मन्थरा	मन्थरा	मंथरा	मंथरा
7	वाल्मीकि-रामायणस्य रचना यस्मिन् छन्दसि जाता तस्य किं नाम आसीत् ?	अनुष्टुप्		अनुष्टुप्	अनुष्टुप्	अनुष्टुप्	अनुष्टुप्	श्लोक
8	यस्य कथनात् श्रीरामः सीतां परित्यक्तवान् तस्य गुप्तचरस्य नाम किम् ?	दुर्मुखः		भूतिभूषणः	"धोबी

श्रीरामः सीतां परित्यक्तवान् धोब्या उक्त-वचनात् रामायणे, एकः सामान्यः नागरिकः"	नन्दनः	सुमन्त्रः	दुर्मुख
9	कैकेय्याः दायविवाहेन सह या दासी आगता तस्याः किं नाम आसीत् ?	मन्थरा		मन्थरा	मन्थरा	मन्तरा	मन्थरा	मंथरा
10	यस्य्मिन् तीर्थक्षेत्रे निमज्जनं कृत्वा श्रीरामः परमं धाम प्रस्थितवान् तस्य तीर्थस्य किं नाम आसीत् ?	गोप्रतारः		सर्वतीर्थम्	"सरयू

यस्मिन् तीर्थक्षेत्रे निमज्जनं कृत्वा श्रीरामः परमं धाम प्रस्थितवान्, त"	सर्वतीर्थेषु  यतः रामेश्वरं प्रति गमनात् पूर्वं श्रीरामः सर्वतीर्थेषु स्नानं कृतवान्	सरयू	गुप्तारघाट
11	महर्षेः विश्वामित्रस्य क्षत्रियावस्थायाः किं नाम आसीत् ?	विश्वरथः		गाधि	"त्रिशङ्कुः

महर्षेः विश्वामित्रस्य क्षत्रियावस्थायाः नाम काशिराजः त्रिशङ्कुः"	गदिः	गाधि	विश्वामित्रः क्षत्रियावस्थायाम् कुशिकः इति नाम्ना परिचितः आसीत्
12	वालिसुग्रीवयोः उत्पत्तिः यास्मात् वानरात् अभवत् तस्य किं नाम आसीत् ?	ऋक्षराजः		ऋक्षराजः	ऋक्षरजः	ऋक्षराजः	ऋक्षराजः	मारीचात्
13	रामायणकालीनसरयूनद्याः वर्तमानं नाम किं अस्ति ?	घाघरा		सरयू	"घाघरा

रामायणकालीनसरयूनद्याः वर्तमानं नाम घाघरा अस्ति एषा नदी उत्तरप्रदेशे व"	"घग्गर 

बहुभिः भूगोलविद्भिः रामायणकालीनस्य सरस्वत्याः अवशेषरूपेण घग्गरनदीम् एव परिगणितम्"	सरयू	घाघरा
14	समुद्रे निवसन्त्याः तस्याः नागमातुः किं नाम आसीत् या हनुमतः समुद्रलङ्घनम् अवारयत्, तं ग्रसितुं उद्धता च आसीत् ?	सुरसा		सुरसा	सुरसा	"सुरसा  

हनुमता रक्षितुम् इच्छन्ती सागरदेवस्य आज्ञया तम् अवरुद्धवती"	सुरसा	सुरसा
15	राज्ञः दशरथः पुत्रोत्पत्तये यं यज्ञं कृतवान् तस्य किं नाम आसीत् ?	पुुत्रेष्टिः		पुत्रकामेष्टि	"पुत्रेष्टि यज्ञः

राजा दशरथः पुत्रप्राप्त्यर्थं पुत्रेष्टि नामकं यज्ञं क"	पुत्रकामेष्टि	पुत्रकामेष्टिः	पुत्रकामेष्टि
16	राज्ञः जनकस्य पुरोहितस्य किं नाम आसीत्?	शतानन्दः		शतानन्दः	शतानन्दः	शतानन्दः	शतानन्दः	शतानंदः
17	महर्षेः विश्वामित्रस्य तपः या अप्सराः विखण्डितवती तस्या: किं नाम आसीत्?	मेनका		मेना	मेनका	मेनका	मेनका	मेनका
18	श्रीरामः येषां वृक्षाणाम् आच्छादनम् आदाय वानरराजं वालिनं जघान, तेषां वृक्षाणां किं नाम आसीत्?	सालवृक्षः		सालः	"वट-वृक्षाः

श्रीरामः वट-वृक्षाणाम् पत्राणि आच्छादनरूपेण उपयुज्य वालिनं जघान"	शाल्मलीनाम्	सालाः	सालवृक्षाः
19	राज्ञः जनकस्य कनिष्ठभ्रातुः किं नाम आसीत्?	कुशध्वजः		कुशध्वजः	कुशध्वजः	कुशध्वजः	कुशध्वजः	कुशध्वजः
20	शत्रुघ्नस्य पुरोहितस्य किं नाम आसीत्?	काञ्चनः		ऋतुज्ञः	प्रश्नस्य उत्तरं मया न ज्ञायते रामायणे शत्रुघ्नस्य पुरोहितस्य नाम स्पष्टतया न	वशिष्ठः  राम-लक्ष्मण-भरत-शत्रुघ्नानां  सर्वेषाम्  वशिष्ठः एव  कुलगुरुः आसीत्	सुमन्त्रः	शत्रुघ्नस्य पुरोहितस्य किं नाम आसीत्?
21	रामायणं येन युगेन सह सम्बद्धः सः केन नाम्ना प्रसिद्धः अस्ति ?	त्रेतायुगः		त्रेतायुगम्	रामायणम् त्रेतायुगेन सह सम्बद्धम् अस्ति त्रेतायुगः हिन्दू धर्मशास्त्रेषु वर्	**त्रेतायुगः**	त्रेतायुगेन	त्रेतायुगेन
22	समुद्रमन्थनात् यः अश्वः निर्गतः तस्य नाम किम् आसीत् ?	उच्चैःश्रवाः		उच्चैःश्रवाः	उच्चैःश्रवाः	उच्चैःश्रवाः	उच्चैःश्रवस्	उच्चैःश्रवाः
23	अशोकवाटिकायाः द्वितीयं नाम किम् आसीत्?	प्रमदावनम्		अशोकवनम्	अशोकवाटिकायाः द्वितीयं नाम सीतोपवनम् आसीत्	**सीतावनम्**  अशोकवाटिकायाम् सीतां स्थाप्य हनुमान् प्रथमदर्शनं प्राप्तवान् तत्र तया सह सीतावनम् इति नाम्नापि तत् स्थानम् आहूतम्	नलिनी	मैथिली
24	महर्षेः वाल्मीकेः बाल्ये किं नाम आसीत्?	रत्नाकरः		प्रचेतसः	महर्षेः वाल्मीकेः बाल्ये नाम रत्नाकरः आसीत्	रत्नाकरः  वाल्मीकेः पूर्वं नाम रत्नाकरः आसीत्	रत्नाकरम्	रत्नाकरः
25	तस्य महर्षेः किं नाम यस्य विषये उक्तं यत् स जीवनस्य पूर्वार्धे दस्युः आसीत्?	वाल्मीकिः		वाल्मीकि	"वाल्मीकिः

वाल्मीकि ऋषिः पूर्वजीवने रत्नाकर नाम्ना दस्युः आसीत् ततः पश्"	वसिष्ठः	वाल्मीकिः	वाल्मीकिः
26	तस्य हस्तिनः नाम किं यं सगरपुत्राः पृथ्वीं धारयन्तम् अपश्यन्?	विरूपाक्षः		धर्म	"विरूपाक्षः

सगरपुत्राः पृथ्वीं धारयन्तं हस्तिनं दृष्टवन्तः, यस्य नाम विरूप"	गजः  भगवता विष्णुना शापेन तेन रूपेण तत्र तिष्ठति स्म	सुपर्णः	दिग्गजः
27	लङ्कादाहात् अनन्तरं हनुमान् यं पर्वतं आरुह्य समुद्रं उल्लङ्घ्य पुनरागतवान्, तस्य किं नाम आसीत्?	अरिष्टः		महेन्द्रः	अरिष्टपर्वतः	मलयः	मैन्दम्	अरिष्ट
28	महर्षेः वसिष्ठस्य धेन्वाः किं नाम आसीत्?	सुरभिः		शबला	महर्षेः वसिष्ठस्य धेन्वाः नाम नन्दिनी आसीत्	कामधेनुः  कामधेनुः सर्वान् कामान् पूरयितुं शक्नोति, तेन तस्याः नाम  कामधेनुः इति	नन्दिनी	शबला
29	अवधीभाषायां विरचितस्य रामायणस्य नाम किम् ?	रामचरितमानसम्		रामचरितमानस	"गोस्वामितुलसीदासविरचितस्य रामायणस्य नाम ""रामचरितमानस"" इति"	श्रीरामचरितमानसम्  तुलसीदासेन रचितम्	रामचरितमानसम्	रामचरितमानस
30	कुबेरस्य सेनापतेः किं नाम आसीत्?	मणिभद्रः		मणिभद्रः	रावणः	रावणः रावणः कुबेरस्य सौतेरः भ्राता आसीत् यः तस्य पुष्पकविमानं स्वर्णलङ्कां च बलात् जितवान् |	मणिभद्रः	पुष्पकविमानेन रावणः सीतां हृत्वा गतवान्
31	देवासुरैः यस्य सागरस्य मन्थनं कृतं तस्य किं नाम आसीत्?	क्षीरोदसागरः		क्षीरसागरः	क्षीरसागरः	क्षीरसागरः	क्षीरसागरः	क्षीरसागरः
32	सेतुनिर्माणसमये श्रीरामः यस्य शिवलिङ्गस्य स्थापम् अकरोत् तस्य किं नाम अस्ति ?	रामेश्वरः		रामेश्वरम्	रामेश्वरम्	**रामेश्वरम्** स्थापनानन्तरम् भगवता शिवेन स्वयम् अत्र वासः इति रामेश्वर-ज्योतिर्लिङ्गम् इति ख्यातिः	रामेश्वरम्	रामेश्वरम्
33	विभीषणस्य सः अनुचरः कः आसीत् यः पक्षिरूपं धृत्वा लङ्कां गत्वा रावणस्य रक्षाव्यवस्थां सैन्यशक्तिं च अन्विष्टवान्?	अनलः		शुकः	शुकः	शुकः	सुग्रीवः	शारदः
34	यः सर्वपर्वतानां राजा अस्ति तस्य पर्वतस्य किं नाम अस्ति?	हिमालयः		सुमेरुः	हिमालयः	हिमवान्	हिमवान्	हिमालयः
35	रामायणस्य प्रथमकाण्डस्य किं नाम अस्ति?	बालकाण्डम्		बालकाण्ड:	रामायणस्य प्रथमकाण्डस्य नाम बालकाण्डम् अस्ति	**बालकाण्डम्**	बालकाण्डम्	बालकाण्डम्
36	रामायणस्य अन्तिमकाण्डस्य नाम किम् अस्ति?	उत्तरकाण्डम्		उत्तरकाण्डः	रामायणस्य अन्तिमकाण्डस्य नाम उत्तरकाण्डम् अस्ति	उत्तरकाण्डम्	उत्तरकाण्डम्	उत्तरकाण्डम्
37	तस्य गजस्य किं नाम यः स्वेतवर्णीयः आसीत्?	ऐरावतः		ऐरावतः	ऐरावतः	ऐरावतः	गजेन्द्रः	इन्द्रजानुः
38	लक्ष्मणस्य मूर्च्छामोचनाय वैद्यः यम् ओषधिम् आनेतुम् उक्तवान् तस्य नाम किम् आसीत् ?	सञ्जीवनी		विशल्या	संजीवनी	सञ्जीवनीम्	सञ्जीवनी	संजीवनी
39	तृतीयस्य प्रजापतेः किं नाम अस्ति?	शेषः		कश्यपः	पुलस्त्यः	कश्यपः	विश्वकर्मा	भृगुः
40	तस्य ब्राह्मणस्य किं नाम आसीत् यं श्रीरामः अवदत् सः यावद्दुरं स्वदण्डं क्षेप्स्यति तावतां गवां लाभः भविष्यति ?	त्रिजटः		त्रिजटः	प्रत्युत्तरम्: जावालिः	"**वसिष्ठः** 

वसिष्ठेन एव रामः दण्डप्रक्षेपणेन गोलभूभागदानस्य आश्वासनं प्राप्तवान्"	अगस्त्यः	श्रीरामः तं ब्राह्मणं शम्बूकम् अवदत्
41	कुबेराय ब्रह्मा यं विमानं दत्तवान् तस्य नाम किम् आसीत् ?	पुष्पकम्		पुष्पकम्	"पुष्पकविमानम्

कुबेराय ब्रह्मणा दत्तं विमानं पुष्पकविमानम् इति नाम्ना प्रसिद्ध"	पुष्पकः	पुष्पकम्	पुष्पकम्
42	कस्य देवस्य एकं नाम 'सर्पमाली' अस्ति?	शिवस्य		शेषस्य	शिवस्य	शिवस्य सर्पाणां माला गले धारणं करोति इति कारणतः	शिवस्य	शिव
43	कं ऋषिं समुद्रचलुकः इति कथयन्ति ?	अगस्त्यम्		अगस्त्यम्	अगस्त्यम्	वाल्मीकिम्	विश्वामित्रम्	अगस्त्यं
44	पूर्वजन्मनि रावणस्य नाम किम् आसीत्?	प्रतापभानुः		जय	जयः	विभीषणेन	दशग्रीवः	प्रजापतेः पुत्रः
45	राज्ञः निमेः राजधानिनाम किम्?	वैजयन्तः		मिथिला	जनकपुरम्	अयोध्या |	मिथिला	अयोध्या
46	कस्य देवस्य एकं नाम 'स्थाणुः' अस्ति?	शिवस्य		शिवस्य	शिवस्य	शिवस्य  शिवस्य अपरं नाम स्थाणुः अस्ति	शिवस्य	शिवस्य
47	या मणिः समुद्रमन्थनात् उत्पन्ना तस्याः नाम किम्?	कौस्तुभः		कौस्तुभः	कौस्तुभः	कौस्तुभः	कौस्तुभः	कौस्तुभमणिः
48	नलकुबरः यस्याम् अप्सरसि आसक्तः आसीत् तस्याः नाम किम्?	रम्भा		रम्भा	रम्भा	रम्भायाम्	रम्भा	रम्भा
49	हनुुमान् यदा अशोकवाटिकायां सीतया सह मेलितुम् अगच्छत् तस्मिन् समये सः यस्मिन् वृक्षे गुप्तवान् तस्य नाम किम् आसीत् ?	अशोकः		सिंशपा	शिंशपा	शिमशुपे	सिंशुपावृक्षः	शिंशुपा
50	इन्द्रस्य प्रसिद्धगजस्य नाम किम् ?	ऐरावतः		ऐरावतः	ऐरावतः	ऐरावतः	ऐरावतम्	ऐरावतः
51	कुबेरस्य गजस्य किम् नाम?	पुष्पकर्णः		ऐरावतः	"सार्वभौमः

कुबेरस्य गजस्य नाम सार्वभौमः आसीत् रामायणे कुबेरः धनदः इति प्रसिद्"	पुष्पकः	कुबेरस्य गजस्य नाम पुष्पकविमानम्	शत्रुघ्नः
52	यमस्य गजस्य किम् नाम?	महापद्मः		ऐरावतः	"वैवस्वतः

यमस्य गजस्य नाम वैवस्वतः आसीत् रामायणे यमदेवस्य वाहनं वैवस्वतः न"	पुष्पकः	कुम्भकर्णः	महापद्म
53	वरुणस्य गजस्य किम् नाम?	सौमनसः		ऐरावतः	ऐरावत:	पुष्पक:	एरावतः	पुष्पदन्त
54	तस्य समुद्रस्य किम् नाम यस्य जलं रक्तवर्णीयम् आसीत्?	लोहितसागरः		लङ्का-सागरः	"लवणोदः

रामायणे वर्णितं यत् रामः सीतां अन्वेषयन् दक्षिणदिशं गतः तत्र गच्छन् सः"	रक्तसमुद्रः   रावणस्य तपस्यायाः फलतः	लवण	लोहितसागरः
55	श्रीरामादीनाम् चतुर्णां भ्रातॄणां विवाहकर्म यः ऋषिः अकुरुत तस्य किम् नाम?	वसिष्ठः		वसिष्ठः	वसिष्ठः	विश्वामित्रः  सीतास्वयंवरस्य आयोजनं विश्वामित्रेण कृतम्	वशिष्ठः	वशिष्ठः
56	यः महर्षिः श्रीरामस्य दुःखपूर्णजीवनस्य भविष्यकथनम् अकरोत् तस्य किम् नाम?	दुुर्वासाः		वसिष्ठः	वाल्मीकिः	वाल्मीकिः  वाल्मीकिना स्वप्ने नारदस्य द्वारा रामस्य जीवनस्य कथां श्रुत्वा दुःखितः सन् तस्य भविष्यवाणी कृता	वाल्मीकिः	नारदः
57	यः काकः गरुडाय रामकथां अश्रावयत् तस्य किम् नाम?	काकभुशुण्डिः		काकभुशुण्डिः	भुशुण्डिः	सम्पातिकः	ककभुशुण्डिः	काकभुशुण्डिः
58	अमरावती कस्य पुर्याः नाम आसीत्?	इन्द्रस्य		अयोध्यायाः	अमरावती इन्द्रस्य पुर्याः नाम आसीत्	इन्द्रस्य	इन्द्रस्य	इन्द्रस्य
59	अश्वमेधयज्ञस्य अश्वस्य मस्तके यत् पत्रं बध्यते तस्य किम् नाम?	जयपत्रम्		यूपः	"अश्वमेधयज्ञस्य अश्वस्य मस्तके बध्यमानस्य पत्रस्य नाम ""स्वर्णपत्रम्"" अथवा"	शिप्रपत्रम्	विजयनन्दनः	चर्त्र
60	शत्रुणा प्रयुक्तम् अस्त्रं निष्फलीकर्तुं यः विधिः तस्य नाम किम् ?	रभसः		प्रत्यस्त्रम्	प्रत्यस्त्रम्	अस्त्रसंहारः  शत्रुणा प्रयुक्तम् अस्त्रं निष्क्रियम् कर्तुम् अस्त्रसंहारविधिः उपयुज्यते	ब्रह्मास्त्रम्	स्तम्भनम्
61	तस्य राक्षसस्य किं नाम आसीत् यः रावणं सीतायाः हत्यां मा कुरु इति बोधितवान् ?	सुपार्श्वः		विभीषणः	मारीचः	विभीषणः	विभीषणः	मारीचः
62	समुद्रमन्थनात् यत् भीषणं विषं निर्गतं तस्य नाम किम् ?	हलाहलम्		कालकूटम्	हालाहलम्	हालाहलम्	हालाहलम्	हालाहलम्
63	समुद्रमन्थनाय यः पर्वतः मथनीकृतः, तस्य नाम किम्?	मन्दरः		मन्दरः	मन्दरः	मन्दरः	मन्दरः	मंदरः
64	रामायणस्य प्रमुखतमस्य काण्डस्य नाम किम्?	युद्धकाण्डम्		बालकाण्डः	"अयोध्याकाण्डम्

रामायणस्य प्रमुखतमं काण्डं अयोध्याकाण्डम् इति मन्यते अस्मिन् का"	युद्धकाण्डम्  यतोऽस्मिन् काण्डे रामरावणयोर्मध्ये युद्धं वर्तते	बालकाण्डम्	युद्धकाण्डम्
65	रामायणस्य लघुतमस्य काण्डस्य नाम किम्?	अरण्यकाण्डम्		किष्किन्धा-काण्डः	रामायणस्य लघुतमस्य काण्डस्य नाम फल-काण्डः अस्ति	उत्तरम् : किष्किन्धाकाण्डम्	बालकाण्डम्	उत्तरकाण्डम्
66	राजा जनकस्य सः मन्त्री कः आसीत् यः जनकस्य आज्ञया राजानं दशरथं आह्वातुं अयोध्यां गतः?	सुदामा		शतानन्दः	सुधामा राजा जनकस्य मन्त्री सुधामा नाम आसीत्, यः दशरथं आह्वातुं अयोध्यां गतः	शतानन्दः	सुदामन्	शतानंदः
67	तस्य सरोवरस्य किं नाम आसीत् यः योजनपरिमितः दीर्घः तावदेव विस्तृतः च ?	पञ्चाप्सरः		पंपा	"तस्य सरोवरस्य नाम पम्पा आसीत्

पम्पा सरोवरः रामायणे प्रसिद्धः अयं सरोवरः किष"	पुष्करः तत्रैव तस्य सरोवरस्य वर्णनं रामायणे विद्यते	पम्पा	पम्पासरः
